Random seed, 10,training loss, 3.4590163230895996, training defu, -6.287620435442244, training opt, -5.465714114052909, validating loss, 3.4172414779663085, validating defu, -6.16893892288208, validating opt, -5.417941665649414,testing loss, 3.377398872375488, testing defu, -6.25637993812561, testing opt, -5.471749353408813
Random seed, 4,training loss, 2.0956360340118407, training defu, -5.863282367161342, training opt, -5.2806106703622, validating loss, 2.4599661827087402, validating defu, -5.79538860321045, validating opt, -5.146362018585205,testing loss, 2.050256586074829, testing defu, -5.830924940109253, testing opt, -5.292423295974731
Random seed, 18,training loss, 2.9557006427219936, training defu, -5.817344352177211, training opt, -5.133338328770229, validating loss, 2.7093579292297365, validating defu, -5.622578430175781, validating opt, -5.082259845733643,testing loss, 2.906086874008179, testing defu, -5.680644798278808, testing opt, -5.13204607963562
Random seed, 19,training loss, 4.594706644330706, training defu, -5.53017486844744, training opt, -4.779537800380162, validating loss, 4.316997528076172, validating defu, -5.681575775146484, validating opt, -4.9814887046813965,testing loss, 4.46958475112915, testing defu, -5.591210985183716, testing opt, -4.860250949859619
Random seed, 1,training loss, 3.325378199986049, training defu, -6.643749741145543, training opt, -5.934407479422433, validating loss, 3.366339015960693, validating defu, -6.502345848083496, validating opt, -5.9818521499633786,testing loss, 3.5059167385101317, testing defu, -6.5588469982147215, testing opt, -5.948822736740112
Random seed, 3,training loss, 2.8171354838779994, training defu, -5.388500118255616, training opt, -4.840815026419503, validating loss, 2.7759784698486327, validating defu, -5.375119876861572, validating opt, -4.848139095306396,testing loss, 2.7680952072143556, testing defu, -5.4073957920074465, testing opt, -4.949918985366821
Random seed, 22,training loss, 2.538288266318185, training defu, -6.108086967468262, training opt, -5.4098827770778115, validating loss, 2.3967592239379885, validating defu, -5.933081436157226, validating opt, -5.2116169929504395,testing loss, 2.466992902755737, testing defu, -6.050116872787475, testing opt, -5.340116930007935
Random seed, 21,training loss, 4.805652386801583, training defu, -6.028516278948103, training opt, -5.100522177559989, validating loss, 4.3473615646362305, validating defu, -6.042268466949463, validating opt, -5.270665454864502,testing loss, 4.7858246803283695, testing defu, -5.8091573238372805, testing opt, -4.880028772354126
Random seed, 15,training loss, 2.848468794141497, training defu, -7.208836214882987, training opt, -6.55032275063651, validating loss, 2.9936813354492187, validating defu, -7.232577896118164, validating opt, -6.60719575881958,testing loss, 2.8615482330322264, testing defu, -7.145731019973755, testing opt, -6.489955949783325
Random seed, 6,training loss, 3.717016547066825, training defu, -5.338524314335414, training opt, -4.812524911335537, validating loss, 3.8743874549865724, validating defu, -5.364007568359375, validating opt, -4.900107192993164,testing loss, 3.694907712936401, testing defu, -5.382636594772339, testing opt, -4.920016431808472
Random seed, 13,training loss, 3.2986333710806712, training defu, -5.738264506203787, training opt, -5.154866436549596, validating loss, 3.0104902267456053, validating defu, -5.857661342620849, validating opt, -5.314883136749268,testing loss, 3.309953737258911, testing defu, -5.620127248764038, testing opt, -5.061475610733032
