Random seed, 3,training loss, 1.1058522156306676, training defu, -4.283444152559553, training opt, -3.5074960231781005, validating loss, 1.2337676525115966, validating defu, -4.478036499023437, validating opt, -3.599518871307373,testing loss, 1.3997673749923707, testing defu, -4.316922521591186, testing opt, -3.4817602157592775
Random seed, 12,training loss, 1.2392272233963013, training defu, -5.352515179770333, training opt, -4.968929617745536, validating loss, 1.3204754829406737, validating defu, -5.3284319877624515, validating opt, -4.853942203521728,testing loss, 1.197076940536499, testing defu, -5.368911504745483, testing opt, -4.9156165599823
Random seed, 15,training loss, 1.1365495477403913, training defu, -5.03106039592198, training opt, -4.458765860966274, validating loss, 1.3105549812316895, validating defu, -5.224595069885254, validating opt, -4.535891723632813,testing loss, 1.250127124786377, testing defu, -5.074082851409912, testing opt, -4.502015161514282
Random seed, 14,training loss, 0.8860364811761039, training defu, -3.9114536694117956, training opt, -3.5118199484688897, validating loss, 0.8445698738098144, validating defu, -3.9356173515319823, validating opt, -3.6499757289886476,testing loss, 0.9009227752685547, testing defu, -3.8996968984603884, testing opt, -3.5348353385925293
Random seed, 13,training loss, 1.180521638052804, training defu, -4.113181413922991, training opt, -3.551091344015939, validating loss, 1.3922112464904786, validating defu, -4.278217411041259, validating opt, -3.524067449569702,testing loss, 1.2077740669250487, testing defu, -4.11595356464386, testing opt, -3.4320854902267457
Random seed, 11,training loss, 1.146840694972447, training defu, -3.4715538569859095, training opt, -3.028973742893764, validating loss, 1.2975636959075927, validating defu, -3.789221429824829, validating opt, -3.163617420196533,testing loss, 1.285811424255371, testing defu, -3.5921335935592653, testing opt, -3.073749303817749
Random seed, 7,training loss, 0.8782823017665318, training defu, -4.4484457015991214, training opt, -4.214652177265712, validating loss, 0.8595706939697265, validating defu, -4.475631332397461, validating opt, -4.271365451812744,testing loss, 0.9428145408630371, testing defu, -4.490613031387329, testing opt, -4.3143397808074955
Random seed, 21,training loss, 1.2434206894465856, training defu, -5.19772983278547, training opt, -4.6303464208330425, validating loss, 1.3323356628417968, validating defu, -5.299825382232666, validating opt, -4.512125682830811,testing loss, 1.4026938199996948, testing defu, -5.02513952255249, testing opt, -4.427756500244141
Random seed, 2,training loss, 1.54940733228411, training defu, -2.3396366221564158, training opt, -1.9472010680607388, validating loss, 1.9839351654052735, validating defu, -2.4059697151184083, validating opt, -1.8147347688674926,testing loss, 1.84246826171875, testing defu, -2.408128893375397, testing opt, -1.9278536558151245
Random seed, 18,training loss, 1.4730096340179444, training defu, -5.914334092821393, training opt, -5.06693605695452, validating loss, 1.62716703414917, validating defu, -5.926118850708008, validating opt, -4.989599800109863,testing loss, 1.727089262008667, testing defu, -5.832556056976318, testing opt, -4.8540668964385985
Random seed, 27,training loss, 0.7578623601368495, training defu, -4.382328919001988, training opt, -3.7058241844177244, validating loss, 0.7653779029846192, validating defu, -4.21103868484497, validating opt, -3.6770036697387694,testing loss, 0.7751637101173401, testing defu, -4.316120243072509, testing opt, -3.7046734571456907
Random seed, 20,training loss, 0.9583674498966762, training defu, -3.7312426567077637, training opt, -3.342254706791469, validating loss, 0.9184890747070312, validating defu, -3.8515154838562013, validating opt, -3.372125768661499,testing loss, 0.9500322580337525, testing defu, -3.7375985622406005, testing opt, -3.3062628269195558
Random seed, 22,training loss, 1.2684263229370116, training defu, -5.269124017442976, training opt, -4.76967443057469, validating loss, 1.222483253479004, validating defu, -5.457649803161621, validating opt, -5.031602954864502,testing loss, 1.2651788949966432, testing defu, -5.291360759735108, testing opt, -4.905820226669311
Random seed, 9,training loss, 0.9081358432769775, training defu, -3.5199115889413015, training opt, -3.1726859297071184, validating loss, 0.890251636505127, validating defu, -3.5117587566375734, validating opt, -3.249553155899048,testing loss, 0.8734139442443848, testing defu, -3.6023587703704836, testing opt, -3.313411259651184
Random seed, 4,training loss, 0.8575724227087839, training defu, -4.762355354854039, training opt, -4.212441199166435, validating loss, 0.9265751838684082, validating defu, -4.916303634643555, validating opt, -4.220001983642578,testing loss, 0.8966172456741333, testing defu, -4.735630941390991, testing opt, -4.0597885847091675
Random seed, 23,training loss, 1.5387383665357317, training defu, -4.318379122870309, training opt, -3.8124158450535366, validating loss, 1.5589962005615234, validating defu, -4.472810935974121, validating opt, -3.9263113021850584,testing loss, 1.5701237678527833, testing defu, -4.481557130813599, testing opt, -3.941050148010254
Random seed, 10,training loss, 1.4824088641575404, training defu, -4.659185286930629, training opt, -3.9376137937818254, validating loss, 1.634519624710083, validating defu, -4.890065002441406, validating opt, -3.7843178272247315,testing loss, 1.8044853210449219, testing defu, -4.945514345169068, testing opt, -4.038832259178162
Random seed, 5,training loss, 1.3109872681753976, training defu, -3.924449062347412, training opt, -3.599308817727225, validating loss, 1.495511531829834, validating defu, -3.9873868465423583, validating opt, -3.610508918762207,testing loss, 1.4379473447799682, testing defu, -4.091494464874268, testing opt, -3.6080724000930786
Random seed, 17,training loss, 1.4850181988307407, training defu, -1.4992863655090332, training opt, -1.3167559215000697, validating loss, 1.6204519271850586, validating defu, -1.4899677515029908, validating opt, -1.252455186843872,testing loss, 1.8092504501342774, testing defu, -1.5705906629562378, testing opt, -1.3440381169319153
Random seed, 1,training loss, 1.1901055199759347, training defu, -4.549193239212036, training opt, -3.9695822375161307, validating loss, 1.2560565948486329, validating defu, -4.758820343017578, validating opt, -4.124019384384155,testing loss, 1.426487922668457, testing defu, -4.882768034934998, testing opt, -3.9172210693359375
Random seed, 29,training loss, 2.2547623225620814, training defu, -2.8864447798047745, training opt, -2.1566636630467007, validating loss, 2.6287322998046876, validating defu, -2.6970844745635985, validating opt, -2.033755564689636,testing loss, 2.4682857036590575, testing defu, -2.7613001585006716, testing opt, -2.0991429686546326
Random seed, 6,training loss, 0.9778524466923305, training defu, -4.71490832737514, training opt, -4.378358568464007, validating loss, 0.9924475669860839, validating defu, -4.707174777984619, validating opt, -4.216444730758667,testing loss, 0.8973812818527221, testing defu, -4.7359801769256595, testing opt, -4.40707836151123
Random seed, 25,training loss, 1.1083561284201486, training defu, -4.565914372035436, training opt, -4.1881616524287635, validating loss, 1.2072566509246827, validating defu, -4.6875299453735355, validating opt, -4.2536674499511715,testing loss, 1.3557806491851807, testing defu, -4.737865734100342, testing opt, -4.168579816818237
