Random seed, 5,training loss, 16.19784585407802, training defu, -4.372125468935285, training opt, -3.7686483928135464, validating loss, 20.37337064743042, validating defu, -4.270289707183838, validating opt, -3.6420638084411623,testing loss, 12.451967334747314, testing defu, -4.325089478492737, testing opt, -3.6074939489364626
Random seed, 4,training loss, 18.162567002432688, training defu, -5.727573571886335, training opt, -5.2806106703622, validating loss, 22.541317749023438, validating defu, -5.639087104797364, validating opt, -5.146361541748047,testing loss, 19.748954486846923, testing defu, -5.739242506027222, testing opt, -5.292423295974731
Random seed, 8,training loss, 20.473109218052457, training defu, -5.993054321834019, training opt, -5.576329939705985, validating loss, 22.046175003051758, validating defu, -6.015992832183838, validating opt, -5.574236583709717,testing loss, 18.827428150177003, testing defu, -6.024079370498657, testing opt, -5.484938859939575
Random seed, 2,training loss, 26.155665261404856, training defu, -4.845291587284633, training opt, -4.611748736245292, validating loss, 35.55911521911621, validating defu, -4.8074822425842285, validating opt, -4.552027034759521,testing loss, 26.740027618408202, testing defu, -4.8399309635162355, testing opt, -4.585558605194092
Random seed, 10,training loss, 8.284589944567, training defu, -6.0853180204119, training opt, -5.465714182172503, validating loss, 8.433611869812012, validating defu, -6.011915016174316, validating opt, -5.417941761016846,testing loss, 8.433969116210937, testing defu, -6.121408939361572, testing opt, -5.471749305725098
Random seed, 6,training loss, 9.337398379189628, training defu, -5.151219517844064, training opt, -4.812524836403983, validating loss, 8.13811731338501, validating defu, -5.124978065490723, validating opt, -4.900107097625733,testing loss, 10.010842609405518, testing defu, -5.192335414886474, testing opt, -4.920016241073609
Random seed, 13,training loss, 7.952449226379395, training defu, -5.618140207018171, training opt, -5.154866463797433, validating loss, 6.461118888854981, validating defu, -5.796630859375, validating opt, -5.31488265991211,testing loss, 8.081890296936034, testing defu, -5.591105794906616, testing opt, -5.061475229263306
Random seed, 18,training loss, 34.61385231018066, training defu, -5.6402349880763465, training opt, -5.133338356018067, validating loss, 33.124322509765626, validating defu, -5.523277282714844, validating opt, -5.082260322570801,testing loss, 39.08546028137207, testing defu, -5.593741321563721, testing opt, -5.132045936584473
Random seed, 15,training loss, 20.939804104396273, training defu, -7.119656658172607, training opt, -6.550322832380022, validating loss, 22.83821544647217, validating defu, -7.195279216766357, validating opt, -6.607195472717285,testing loss, 18.763077354431154, testing defu, -7.117225456237793, testing opt, -6.489955615997315
Random seed, 20,training loss, 43.956254959106445, training defu, -5.5223773547581265, training opt, -5.030692904336112, validating loss, 45.27066421508789, validating defu, -5.548716068267822, validating opt, -4.912472152709961,testing loss, 37.77243614196777, testing defu, -5.632696199417114, testing opt, -5.151198196411133
Random seed, 1,training loss, 7.074592658451626, training defu, -6.506233160836356, training opt, -5.934407315935407, validating loss, 6.690004825592041, validating defu, -6.485729122161866, validating opt, -5.981850624084473,testing loss, 6.509511137008667, testing defu, -6.501349639892578, testing opt, -5.948822546005249
Random seed, 22,training loss, 14.870593316214425, training defu, -5.976237010955811, training opt, -5.4098830359322685, validating loss, 14.618103981018066, validating defu, -5.811936092376709, validating opt, -5.2116166114807125,testing loss, 13.276735591888428, testing defu, -5.9440820693969725, testing opt, -5.340117168426514
Random seed, 19,training loss, 22.12153091430664, training defu, -5.409465898786272, training opt, -4.779537868499756, validating loss, 18.83118438720703, validating defu, -5.61429271697998, validating opt, -4.98148889541626,testing loss, 18.207706642150878, testing defu, -5.508640003204346, testing opt, -4.860251474380493
Random seed, 11,training loss, 21.879607909066337, training defu, -5.100935963221959, training opt, -4.5602231706891745, validating loss, 18.437366485595703, validating defu, -5.191526603698731, validating opt, -4.573566341400147,testing loss, 21.49712791442871, testing defu, -5.062190675735474, testing opt, -4.556043863296509
Random seed, 7,training loss, 19.16618447984968, training defu, -4.022863156454903, training opt, -3.8775502817971366, validating loss, 16.821506118774415, validating defu, -4.335084342956543, validating opt, -4.151155996322632,testing loss, 23.164078617095946, testing defu, -4.075405812263488, testing opt, -3.9046822071075438
Random seed, 23,training loss, 13.865159007481166, training defu, -5.846010180882045, training opt, -5.297822148459298, validating loss, 11.82210807800293, validating defu, -5.830656051635742, validating opt, -5.361371421813965,testing loss, 11.940865325927735, testing defu, -5.845586442947388, testing opt, -5.311641693115234
Random seed, 3,training loss, 3.8610538482666015, training defu, -5.312468106406076, training opt, -4.840815026419503, validating loss, 3.9726850509643556, validating defu, -5.281947898864746, validating opt, -4.848138618469238,testing loss, 3.734984350204468, testing defu, -5.326439666748047, testing opt, -4.949918985366821
Random seed, 24,training loss, 85.2783324105399, training defu, -5.22591325214931, training opt, -4.777451583317348, validating loss, 135.02565307617186, validating defu, -5.178327751159668, validating opt, -4.712165260314942,testing loss, 134.82404823303222, testing defu, -5.237041854858399, testing opt, -4.792105054855346
Random seed, 25,training loss, 19.460295050484792, training defu, -5.61775951385498, training opt, -5.073841326577323, validating loss, 18.806937408447265, validating defu, -5.551830768585205, validating opt, -4.922097301483154,testing loss, 18.102257823944093, testing defu, -5.56084041595459, testing opt, -4.965523433685303
Random seed, 21,training loss, 11.668742438725063, training defu, -5.612566580091204, training opt, -5.100522218431745, validating loss, 9.30751304626465, validating defu, -5.862354278564453, validating opt, -5.270665168762207,testing loss, 13.275452518463135, testing defu, -5.3667150974273685, testing opt, -4.880028820037841
Random seed, 16,training loss, 8.789282403673445, training defu, -5.907038606916156, training opt, -5.3418514387948175, validating loss, 8.168974494934082, validating defu, -5.847708225250244, validating opt, -5.245408535003662,testing loss, 10.893314409255982, testing defu, -5.893761253356933, testing opt, -5.312045860290527
Random seed, 12,training loss, 42.64392078944615, training defu, -5.365441104343959, training opt, -5.052143601008824, validating loss, 36.00460968017578, validating defu, -5.41492223739624, validating opt, -5.164769458770752,testing loss, 35.75604934692383, testing defu, -5.3006280899047855, testing opt, -4.932791090011596
Random seed, 29,training loss, 3.744380065373012, training defu, -5.158019610813686, training opt, -4.733322409221104, validating loss, 3.5758588790893553, validating defu, -5.182668018341064, validating opt, -4.84126091003418,testing loss, 3.7977273941040037, testing defu, -5.076209783554077, testing opt, -4.7605267524719235
Random seed, 26,training loss, 33.83913789476667, training defu, -6.028496415274484, training opt, -5.308802441188267, validating loss, 43.88594436645508, validating defu, -5.893700981140137, validating opt, -5.310071754455566,testing loss, 65.29061393737793, testing defu, -5.855951261520386, testing opt, -5.203327560424805
Random seed, 14,training loss, 21.635207993643625, training defu, -5.591720621926444, training opt, -5.29211186000279, validating loss, 22.004487609863283, validating defu, -5.748536682128906, validating opt, -5.347507667541504,testing loss, 21.54866886138916, testing defu, -5.744187593460083, testing opt, -5.427893400192261
Random seed, 28,training loss, 14.088510322570801, training defu, -4.594394288744245, training opt, -4.064556094578334, validating loss, 15.318489074707031, validating defu, -4.284379291534424, validating opt, -3.6275831699371337,testing loss, 13.287592029571533, testing defu, -4.879740476608276, testing opt, -4.341192817687988
Random seed, 9,training loss, inf, training defu, -4.778610719953265, training opt, -3.9064791883741106, validating loss, inf, validating defu, -4.486230754852295, validating opt, -3.7533724308013916,testing loss, inf, testing defu, -4.595821952819824, testing opt, -3.7825707674026487
Random seed, 17,training loss, 30.905703517368863, training defu, -4.328897932597569, training opt, -4.00765471458435, validating loss, 29.369169616699217, validating defu, -4.260721874237061, validating opt, -3.889237070083618,testing loss, 32.96273651123047, testing defu, -4.430165004730225, testing opt, -3.8049820184707643
Random seed, 30,training loss, 66.84954528808593, training defu, -4.984199660164969, training opt, -4.578956781114851, validating loss, 70.60602569580078, validating defu, -4.9484258651733395, validating opt, -4.544615745544434,testing loss, 75.24760932922364, testing defu, -4.928821182250976, testing opt, -4.450583553314209
Random seed, 27,training loss, 74.8110852922712, training defu, -5.311835929325649, training opt, -4.902682672228132, validating loss, 67.92522048950195, validating defu, -5.117102336883545, validating opt, -4.734570693969727,testing loss, 77.86629447937011, testing defu, -5.346008253097534, testing opt, -4.8853167533874515
