Random seed, 100
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 1.1920928955078126e-08, -3.8864928245544434, 0
validating, -1, -1.430511474609375e-07, -3.899589109420776, 0
testing, -1, 5.960464477539063e-08, -3.8235056519508364, 0
training, 0, 1.678817239829472, -6.9231418473379955, 0
validating, 0, 1.6397038459777833, -6.931058311462403, 0
testing, 0, 1.6388381481170655, -6.798875451087952, 0
training, 1, 1.6358701825141906, -5.450233152934483, 0
validating, 1, 1.5592846035957337, -4.637783575057983, 0
testing, 1, 1.5558151006698608, -4.667229223251343, 0
training, 2, 1.3857578771454948, -4.404105278423854, 0
validating, 2, 1.1039553999900817, -4.241789627075195, 0
testing, 2, 1.1001104593276978, -4.218104183673859, 0
training, 3, 0.9517605015209742, -4.119602884565081, 0
validating, 3, 0.9134479880332946, -4.101876425743103, 0
testing, 3, 0.9221711397171021, -4.044888687133789, 0
training, 4, 0.9003661819866725, -4.03629982812064, 0
validating, 4, 0.8797295689582825, -4.038213801383972, 0
testing, 4, 0.8977201581001282, -3.996322500705719, 0
training, 5, 0.902713794367654, -4.033406914983477, 0
validating, 5, 0.889728057384491, -4.049932909011841, 0
testing, 5, 0.9019021630287171, -3.9896471977233885, 0
training, 6, 0.899653354712895, -4.0044727836336405, 0
validating, 6, 0.8520405411720275, -4.003408145904541, 0
testing, 6, 0.9511148452758789, -3.9616677284240724, 0
training, 7, 0.9332275169236319, -3.9868677990777153, 0
validating, 7, 0.9169242262840271, -4.064216899871826, 0
testing, 7, 0.9934844017028809, -4.011713194847107, 0
training, 8, 0.9574307015963963, -3.9829064130783083, 0
validating, 8, 0.9654833436012268, -3.984202170372009, 0
testing, 8, 1.057032310962677, -3.939670133590698, 0
training, 9, 1.0233434898512703, -3.9786891766956876, 0
validating, 9, 0.9603482127189636, -4.055490255355835, 0
testing, 9, 1.0584889769554138, -4.00153169631958, 0
training, 10, 0.9915164589881897, -3.9674361058643886, 0
validating, 10, 0.9847758173942566, -3.9991793870925902, 0
testing, 10, 1.110622727870941, -3.944415509700775, 0
training, 11, 1.1395596078463963, -3.967257625716073, 0
validating, 11, 1.0709442019462585, -3.949399161338806, 0
testing, 11, 1.1921718001365662, -3.9097057342529298, 0
training, 12, 1.1507366231509617, -3.953118698937552, 0
validating, 12, 1.042284119129181, -3.97917697429657, 0
testing, 12, 1.156174099445343, -3.930692934989929, 0
training, 13, 1.1363467369760787, -3.949079142298017, 0
validating, 13, 1.0894152045249939, -3.975647521018982, 0
testing, 13, 1.2152008056640624, -3.9301218390464783, 0
training, 14, 1.1585835610117232, -3.9705414158957346, 0
validating, 14, 1.0069417595863341, -3.96239857673645, 0
testing, 14, 1.1197258591651917, -3.928422522544861, 0
training, 15, 0.9282979948180062, -3.9551437650408063, 0
validating, 15, 0.8415978074073791, -3.963519072532654, 0
testing, 15, 0.9050524234771729, -3.9152419328689576, 0
training, 16, 0.9177426866122654, -3.9402633803231377, 0
validating, 16, 0.8843517661094665, -3.947453022003174, 0
testing, 16, 0.9478320121765137, -3.92199524641037, 0
training, 17, 0.8876073207174029, -3.941798976489476, 0
validating, 17, 0.8628154873847962, -3.9604995965957643, 0
testing, 17, 0.8889695167541504, -3.922690951824188, 0
training, 18, 0.8831517815589904, -3.93429251738957, 0
validating, 18, 0.8591349720954895, -3.960436964035034, 0
testing, 18, 0.8878937482833862, -3.9172333240509034, 0
training, 19, 0.8938419018472944, -3.9487325940813336, 0
validating, 19, 0.9157829403877258, -3.9768078565597533, 0
testing, 19, 0.9935847163200379, -3.941047704219818, 0
Random seed, 100
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 1.1920928955078126e-08, -3.8864928007125856, 0
validating, -1, -1.430511474609375e-07, -3.8995891571044923, 0
testing, -1, 5.960464477539063e-08, -3.823505532741547, 0
training, 0, 1.678817239829472, -4.114992952346801, 0
validating, 0, 1.6397038459777833, -4.0968070983886715, 0
testing, 0, 1.6388381481170655, -4.077089941501617, 0
training, 1, 1.5074344992637634, -4.053271198272705, 0
validating, 1, 1.4013476490974426, -3.986869740486145, 0
testing, 1, 1.3957010746002196, -3.9893005967140196, 0
training, 2, 1.239218805517469, -3.997689632007054, 0
validating, 2, 1.0482917189598084, -3.985308790206909, 0
testing, 2, 1.0395686149597168, -3.9660229444503785, 0
training, 3, 1.0088254298482622, -3.9863054956708637, 0
validating, 3, 0.9760859370231628, -3.9887757301330566, 0
testing, 3, 0.9686739921569825, -3.965636944770813, 0
training, 4, 0.9796696066856384, -3.9855958802359446, 0
validating, 4, 1.048549973964691, -3.985785126686096, 0
