Random seed, 1234
mode, epoch, average loss, defender utility
training, -1, -1.362391880580357e-07, -3.554807152066912, 0
validating, -1, 0.0, -3.1377763748168945, 0
testing, -1, 0.0, -3.330328941345215, 0
training, 0, 4.364958763122559, -3.7105321884155273, 0
validating, 0, 4.317655563354492, -3.2801642417907715, 0
testing, 0, 4.390755653381348, -3.5763096809387207, 0
training, 1, 4.63234451838902, -3.7297800609043668, 0
validating, 1, 4.230525970458984, -3.2539725303649902, 0
testing, 1, 4.286298751831055, -3.5639243125915527, 0
training, 2, 4.297142028808594, -3.7158262048448836, 0
validating, 2, 4.273624420166016, -3.2496585845947266, 0
testing, 2, 4.313820838928223, -3.5662165880203247, 0
training, 3, 4.171290397644043, -3.704877035958426, 0
validating, 3, 4.235313415527344, -3.2536067962646484, 0
testing, 3, 4.200409412384033, -3.565558910369873, 0
training, 4, 4.124289921351841, -3.712327548435756, 0
validating, 4, 4.234222412109375, -3.252208948135376, 0
testing, 4, 4.182216167449951, -3.565325617790222, 0
training, 5, 4.111459732055664, -3.714911835534232, 0
validating, 5, 4.232868194580078, -3.2513036727905273, 0
testing, 5, 4.165568828582764, -3.5652339458465576, 0
training, 6, 4.0413921901157925, -3.7046172278267995, 0
validating, 6, 4.289091110229492, -3.2513439655303955, 0
testing, 6, 4.2481560707092285, -3.558892011642456, 0
training, 7, 4.332880701337542, -3.763214247567313, 0
validating, 7, 4.25450325012207, -3.256509780883789, 0
testing, 7, 4.211179256439209, -3.558358669281006, 0
training, 8, 3.960576738630022, -3.720257043838501, 0
validating, 8, 4.302925109863281, -3.2711541652679443, 0
testing, 8, 4.1262993812561035, -3.577188730239868, 0
training, 9, 3.9590823309762135, -3.7165987151009694, 0
validating, 9, 4.228607177734375, -3.2738614082336426, 0
testing, 9, 4.070791244506836, -3.5587520599365234, 0
training, 10, 3.9853571483067105, -3.7677527836390903, 0
validating, 10, 4.2713775634765625, -3.270664691925049, 0
testing, 10, 4.010249614715576, -3.5650230646133423, 0
training, 11, 3.9400719233921597, -3.729426758629935, 0
validating, 11, 4.154212951660156, -3.2699060440063477, 0
testing, 11, 3.9601292610168457, -3.559149384498596, 0
training, 12, 3.8098457881382535, -3.754154239382063, 0
validating, 12, 4.230558395385742, -3.290408134460449, 0
testing, 12, 3.8982081413269043, -3.570013999938965, 0
training, 13, 3.740575381687709, -3.7777438163757324, 0
validating, 13, 4.255434036254883, -3.2896974086761475, 0
testing, 13, 3.8794941902160645, -3.5724027156829834, 0
training, 14, 3.6814805439540317, -3.7632926191602434, 0
validating, 14, 4.037382125854492, -3.3016085624694824, 0
testing, 14, 3.754396438598633, -3.5761998891830444, 0
training, 15, 3.5887938908168246, -3.7707531111580983, 0
validating, 15, 4.218452453613281, -3.2759323120117188, 0
testing, 15, 3.777843475341797, -3.571970820426941, 0
training, 16, 3.527274949210031, -3.7590200219835554, 0
validating, 16, 3.9233951568603516, -3.3010571002960205, 0
testing, 16, 3.563448429107666, -3.578963279724121, 0
training, 17, 3.4975012370518277, -3.779815299170358, 0
validating, 17, 4.961797714233398, -3.2450902462005615, 0
testing, 17, 4.0895915031433105, -3.552340507507324, 0
training, 18, 3.730689457484654, -3.785155773162842, 0
validating, 18, 4.106685638427734, -3.3503527641296387, 0
testing, 18, 3.751523017883301, -3.5913896560668945, 0
training, 19, 3.678414753505162, -3.7768455914088657, 0
validating, 19, 4.728998184204102, -3.2440569400787354, 0
testing, 19, 3.912937641143799, -3.5485440492630005, 0
