Random seed, 1
mode, epoch, average loss, defender utility
training, -1, 2.7247837611607142e-08, -5.412016555241176, 0
validating, -1, 0.0, -5.51832914352417, 0
testing, -1, -2.86102294921875e-07, -5.471337175369262, 0
training, 0, 3.785239887237549, -6.385940224783761, 0
validating, 0, 3.8450215339660643, -6.56781702041626, 0
testing, 0, 3.808499574661255, -6.469989967346192, 0
training, 1, 3.2000060626438684, -5.9547152382986885, 0
validating, 1, 3.095010280609131, -6.012255001068115, 0
testing, 1, 3.004254865646362, -5.937951231002808, 0
training, 2, 3.153870269230434, -5.937220805031913, 0
validating, 2, 3.2229361534118652, -6.065607929229737, 0
testing, 2, 3.1237967014312744, -6.001637744903564, 0
training, 3, 3.180360562460763, -5.9499850136893135, 0
validating, 3, 3.110279941558838, -6.019677639007568, 0
testing, 3, 3.008392000198364, -5.934400177001953, 0
training, 4, 3.1480458804539273, -5.918004213060652, 0
validating, 4, 3.0805750846862794, -6.008045196533203, 0
testing, 4, 2.9950297832489015, -5.93839464187622, 0
training, 5, 3.1985587665012907, -5.962435953957694, 0
validating, 5, 3.199514293670654, -6.082211303710937, 0
testing, 5, 3.082182836532593, -5.964403772354126, 0
training, 6, 3.171298830849784, -5.923098223549979, 0
validating, 6, 3.140356731414795, -6.030919933319092, 0
testing, 6, 3.0249197483062744, -5.9314577102661135, 0
training, 7, 3.1791098322187152, -5.940874181474958, 0
validating, 7, 3.159049892425537, -6.001827144622803, 0
testing, 7, 3.0700583934783934, -5.943456172943115, 0
training, 8, 3.1601274626595632, -5.923730032784598, 0
validating, 8, 3.116282558441162, -5.976958179473877, 0
testing, 8, 3.028679704666138, -5.919508218765259, 0
training, 9, 3.158518559592111, -5.920602185385568, 0
validating, 9, 3.213867664337158, -6.060332107543945, 0
testing, 9, 3.1164844036102295, -5.9966295719146725, 0
training, 10, 3.142416204724993, -5.914094230106898, 0
validating, 10, 3.1114447593688963, -5.989843654632568, 0
testing, 10, 3.0168989658355714, -5.914765405654907, 0
training, 11, 3.1419542993818013, -5.912767314910889, 0
validating, 11, 3.232515811920166, -6.082616233825684, 0
testing, 11, 3.1376210689544677, -6.019513320922852, 0
training, 12, 3.1923845972333638, -5.942824295588902, 0
validating, 12, 3.1182827949523926, -6.004646110534668, 0
testing, 12, 3.0210973262786864, -5.922605848312378, 0
training, 13, 3.184875365665981, -5.974730014801025, 0
validating, 13, 3.0712218284606934, -6.020529174804688, 0
testing, 13, 2.993705987930298, -5.947685575485229, 0
training, 14, 3.1578341211591447, -5.935262829916818, 0
validating, 14, 3.102110195159912, -5.9959025382995605, 0
testing, 14, 3.0082457065582275, -5.92033953666687, 0
training, 15, 3.147083377838135, -5.9187026160103935, 0
validating, 15, 3.117464542388916, -6.002365589141846, 0
testing, 15, 3.0433982372283936, -5.955599021911621, 0
training, 16, 3.165056596483503, -5.936910247802734, 0
validating, 16, 3.1288424491882325, -5.986360931396485, 0
testing, 16, 3.037150430679321, -5.915972423553467, 0
training, 17, 3.18705415725708, -5.957702486855643, 0
validating, 17, 3.273304843902588, -6.195886421203613, 0
testing, 17, 3.177924299240112, -6.1025244235992435, 0
training, 18, 3.162879684993199, -5.924147401537214, 0
validating, 18, 3.0799019813537596, -5.977982807159424, 0
testing, 18, 2.995962381362915, -5.91739239692688, 0
training, 19, 3.1453642300197058, -5.9162061963762556, 0
validating, 19, 3.125688076019287, -5.975398445129395, 0
testing, 19, 3.0401238918304445, -5.917934226989746, 0
training, 20, 3.171306024278913, -5.936582837785993, 0
validating, 20, 3.087926959991455, -5.9768448829650875, 0
testing, 20, 3.004661130905151, -5.914556312561035, 0
training, 21, 3.1433170454842703, -5.923543807438442, 0
validating, 21, 3.153134250640869, -6.007810878753662, 0
testing, 21, 3.0710525035858156, -5.957818794250488, 0
training, 22, 3.147270107269287, -5.916504260471889, 0
validating, 22, 3.175618839263916, -6.021147060394287, 0
testing, 22, 3.0953297138214113, -5.975677013397217, 0
training, 23, 3.155985001155308, -5.939199093409947, 0
validating, 23, 3.20115327835083, -6.052227592468261, 0
testing, 23, 3.1044101238250734, -5.9898487567901615, 0
training, 24, 3.1527047157287598, -5.922878905705043, 0
validating, 24, 3.1291157722473146, -5.996358108520508, 0
testing, 24, 3.032245397567749, -5.923937559127808, 0
training, 25, 3.14714754649571, -5.9267416817801335, 0
validating, 25, 3.174330806732178, -6.0364948272705075, 0
testing, 25, 3.089656686782837, -5.985839700698852, 0
training, 26, 3.1947241510663713, -5.973513099125453, 0
validating, 26, 3.2676880836486815, -6.194236087799072, 0
testing, 26, 3.1959739208221434, -6.105315828323365, 0
training, 27, 3.137636607033866, -5.932694775717599, 0
validating, 27, 3.1147799491882324, -5.9741129875183105, 0
testing, 27, 3.035049486160278, -5.916979837417602, 0
training, 28, 3.205102825164795, -5.981491770063128, 0
