Random seed, 8
mode, epoch, average loss, defender utility
training, -1, -8.514949253627232e-09, -2.199674333844866, 0
validating, -1, 0.0, -2.143652009963989, 0
testing, -1, 1.0728836059570313e-07, -2.2213733911514284, 0
training, 0, 1.000718241078513, -2.630099296569824, 0
validating, 0, 0.9919404029846192, -2.5581258296966554, 0
testing, 0, 1.281435775756836, -2.7183541536331175, 0
training, 1, 0.6606786506516593, -2.3938359328678676, 0
validating, 1, 0.5528816223144531, -2.227479028701782, 0
testing, 1, 0.6666394710540772, -2.3082438945770263, 0
training, 2, 0.5269051960536412, -2.26856233051845, 0
validating, 2, 0.5679312705993652, -2.1859729290008545, 0
testing, 2, 0.6647536277770996, -2.2850701093673704, 0
training, 3, 0.5201249769755772, -2.2629312447139194, 0
validating, 3, 0.5405265092849731, -2.2055959701538086, 0
testing, 3, 0.6198893666267395, -2.301473379135132, 0
training, 4, 0.5172122188976833, -2.260103729793004, 0
validating, 4, 0.5413768291473389, -2.199497413635254, 0
testing, 4, 0.6218426704406739, -2.296009635925293, 0
training, 5, 0.5150893586022514, -2.2559381348746164, 0
validating, 5, 0.5225655794143677, -2.201196050643921, 0
testing, 5, 0.6092798709869385, -2.2990493059158323, 0
training, 6, 0.5166921343122209, -2.2463074343545095, 0
validating, 6, 0.5105272769927979, -2.214783763885498, 0
testing, 6, 0.5883522272109986, -2.3067121505737305, 0
training, 7, 0.496944192477635, -2.247754921231951, 0
validating, 7, 0.5152752876281739, -2.1862361907958983, 0
testing, 7, 0.5986691474914551, -2.287251091003418, 0
training, 8, 0.4911749822752816, -2.243941490990775, 0
validating, 8, 0.4937958002090454, -2.181854486465454, 0
testing, 8, 0.574842894077301, -2.2835553646087647, 0
training, 9, 0.4744971139090402, -2.2440755912235804, 0
validating, 9, 0.4796383142471313, -2.170331287384033, 0
testing, 9, 0.5668411731719971, -2.2737603187561035, 0
training, 10, 0.4687609808785575, -2.2410565171922956, 0
validating, 10, 0.4931777000427246, -2.1544514656066895, 0
testing, 10, 0.6004740953445434, -2.261681056022644, 0
training, 11, 0.46150392634528026, -2.23702529498509, 0
validating, 11, 0.47371535301208495, -2.153002166748047, 0
testing, 11, 0.5850241661071778, -2.261261296272278, 0
training, 12, 0.4473832641329084, -2.2313059602464946, 0
validating, 12, 0.4523938655853271, -2.1517648696899414, 0
testing, 12, 0.5611780762672425, -2.2594265222549437, 0
training, 13, 0.44749060358319964, -2.234042344774519, 0
validating, 13, 0.4399160146713257, -2.1848612308502195, 0
testing, 13, 0.5018252015113831, -2.2812740802764893, 0
training, 14, 0.4244359901973179, -2.2363162313188827, 0
validating, 14, 0.41457357406616213, -2.150285243988037, 0
testing, 14, 0.5292046189308166, -2.2573772430419923, 0
training, 15, 0.4178107942853655, -2.2301601341792514, 0
validating, 15, 0.40502309799194336, -2.1509959220886232, 0
testing, 15, 0.49772698879241944, -2.2610172510147093, 0
training, 16, 0.4121831672532218, -2.2277920246124268, 0
validating, 16, 0.38212406635284424, -2.1528689861297607, 0
testing, 16, 0.4806756734848022, -2.262158989906311, 0
training, 17, 0.4052148256983076, -2.2274592535836355, 0
validating, 17, 0.3848226308822632, -2.161570358276367, 0
testing, 17, 0.4778300166130066, -2.267852783203125, 0
training, 18, 0.4025041835648673, -2.226222780772618, 0
validating, 18, 0.37751433849334715, -2.14803466796875, 0
testing, 18, 0.489324688911438, -2.2560367822647094, 0
training, 19, 0.38745229244232177, -2.2265874930790495, 0
validating, 19, 0.3668781518936157, -2.1480405807495115, 0
testing, 19, 0.47103114128112794, -2.2566818475723265, 0
training, 20, 0.3867649095399039, -2.2275493008749825, 0
validating, 20, 0.37486562728881834, -2.1555926322937013, 0
testing, 20, 0.44937087297439576, -2.2632394075393676, 0
training, 21, 0.3913722310747419, -2.226263053076608, 0
validating, 21, 0.3816507339477539, -2.145835113525391, 0
testing, 21, 0.494036066532135, -2.253035306930542, 0
training, 22, 0.3829645480428423, -2.2257355213165284, 0
validating, 22, 0.3529996156692505, -2.145783805847168, 0
testing, 22, 0.46053911447525026, -2.2527634620666506, 0
training, 23, 0.3924280660493033, -2.2257007598876952, 0
validating, 23, 0.3512425899505615, -2.1522522926330567, 0
testing, 23, 0.441231906414032, -2.2600062608718874, 0
training, 24, 0.3820361409868513, -2.2257909297943117, 0
validating, 24, 0.34114115238189696, -2.1472856521606447, 0
testing, 24, 0.45012239217758176, -2.2562979221343995, 0
training, 25, 0.379904191834586, -2.224808543069022, 0
validating, 25, 0.3656163692474365, -2.1463178157806397, 0
testing, 25, 0.5019900798797607, -2.252628302574158, 0
training, 26, 0.37983051879065377, -2.2298151424952914, 0
validating, 26, 0.34069769382476806, -2.1501596450805662, 0
testing, 26, 0.43620105981826784, -2.257728672027588, 0
training, 27, 0.3776996782847813, -2.2251918179648262, 0
validating, 27, 0.33194220066070557, -2.147334575653076, 0
testing, 27, 0.43420822620391847, -2.255687117576599, 0
training, 28, 0.36616689137050085, -2.2255162034715923, 0
validating, 28, 0.33684072494506834, -2.148322820663452, 0
testing, 28, 0.4350395560264587, -2.2587084054946898, 0
training, 29, 0.3690211994307382, -2.2270474433898926, 0
validating, 29, 0.3427670955657959, -2.14599232673645, 0
testing, 29, 0.42679656744003297, -2.2540130615234375, 0
training, 30, 0.37575760909489225, -2.2256819793156217, 0
validating, 30, 0.33005213737487793, -2.1457510471343992, 0
