Random seed, 3
mode, epoch, average loss, defender utility
training, -1, -3.4059797014508927e-08, -3.318443053109305, 0
validating, -1, 2.384185791015625e-08, -3.3885638236999513, 0
testing, -1, -1.1920928955078126e-08, -3.3014079570770263, 0
training, 0, 0.9447260686329433, -4.625457927158901, 0
validating, 0, 0.9442460060119628, -4.589063739776611, 0
testing, 0, 0.9765041589736938, -4.553627824783325, 0
training, 1, 0.8489290612084525, -4.319386264256068, 0
validating, 1, 0.7719592094421387, -4.052826595306397, 0
testing, 1, 0.8223458766937256, -4.06292200088501, 0
training, 2, 0.8014775616782052, -4.037570129122053, 0
validating, 2, 0.7959880828857422, -3.983137512207031, 0
testing, 2, 0.8388267040252686, -3.9861939907073975, 0
training, 3, 0.9537452663694109, -3.8989351000104633, 0
validating, 3, 1.2139654636383057, -3.905758094787598, 0
testing, 3, 1.2027724504470825, -3.907319974899292, 0
training, 4, 1.130127808025905, -3.8417962687356133, 0
validating, 4, 1.2975311756134034, -3.8088730335235597, 0
testing, 4, 1.2923837423324585, -3.8439316749572754, 0
training, 5, 1.4793827329363143, -3.796866246632167, 0
validating, 5, 1.7414051055908204, -3.845026636123657, 0
testing, 5, 1.6646308422088623, -3.862825059890747, 0
training, 6, 1.4649416140147618, -3.7877977234976634, 0
validating, 6, 1.8147789478302, -3.8517142295837403, 0
testing, 6, 1.7427947521209717, -3.8656871557235717, 0
training, 7, 1.5636700868606568, -3.785486650466919, 0
validating, 7, 1.7608907222747803, -3.823555088043213, 0
testing, 7, 1.6664659023284911, -3.858389115333557, 0
training, 8, 1.824338218144008, -3.8247155598231726, 0
validating, 8, 1.6677754878997804, -3.842450571060181, 0
testing, 8, 1.6011393547058106, -3.8713979005813597, 0
training, 9, 1.49283299105508, -3.773837436948504, 0
validating, 9, 1.7172605037689208, -3.821808433532715, 0
testing, 9, 1.6446442365646363, -3.8360935926437376, 0
training, 10, 1.394244010107858, -3.7951645987374443, 0
validating, 10, 1.3164192676544189, -3.8122660160064696, 0
testing, 10, 1.2993406772613525, -3.8442209005355834, 0
training, 11, 1.2440894501549857, -3.7596817765917097, 0
validating, 11, 1.7258639335632324, -3.8004643440246584, 0
testing, 11, 1.6604060649871826, -3.832824158668518, 0
training, 12, 1.612390286581857, -3.742263984680176, 0
validating, 12, 1.7770211696624756, -3.7974394798278808, 0
testing, 12, 1.698565411567688, -3.821510410308838, 0
training, 13, 1.327529239654541, -3.750440686089652, 0
validating, 13, 1.2525835037231445, -3.7942535400390627, 0
testing, 13, 1.2149871587753296, -3.830553102493286, 0
training, 14, 1.1561084066118512, -3.7525730541774203, 0
validating, 14, 1.2087627410888673, -3.797160816192627, 0
testing, 14, 1.1845541954040528, -3.8320362091064455, 0
training, 15, 1.1668164764131819, -3.745035375867571, 0
validating, 15, 1.3710304260253907, -3.79482159614563, 0
testing, 15, 1.3306345462799072, -3.8249435901641844, 0
training, 16, 1.3072801760264805, -3.7532693317958286, 0
validating, 16, 1.385932731628418, -3.8111297607421877, 0
testing, 16, 1.3385526657104492, -3.8475486278533935, 0
training, 17, 1.250342549596514, -3.765556676047189, 0
validating, 17, 1.7941770076751709, -3.8352606296539307, 0
testing, 17, 1.7174063205718995, -3.8437341690063476, 0
training, 18, 1.5298944234848022, -3.761180979864938, 0
validating, 18, 1.4092008590698242, -3.796116065979004, 0
testing, 18, 1.3551921606063844, -3.82463481426239, 0
training, 19, 1.4032638617924282, -3.7475580011095317, 0
validating, 19, 1.6925477027893066, -3.853801393508911, 0
testing, 19, 1.6221404790878295, -3.8641385793685914, 0
training, 20, 1.279168895312718, -3.757445464815412, 0
validating, 20, 1.3419205665588378, -3.827099657058716, 0
testing, 20, 1.3182592630386352, -3.8520732164382934, 0
training, 21, 1.290003170285906, -3.7534009865352087, 0
validating, 21, 1.5839945793151855, -3.8039504051208497, 0
testing, 21, 1.540889358520508, -3.823354625701904, 0
training, 22, 1.5674961226327078, -3.740403856549944, 0
validating, 22, 1.4980307579040528, -3.81721715927124, 0
testing, 22, 1.4536993503570557, -3.8334105968475343, 0
training, 23, 1.3260148899895805, -3.743812186377389, 0
validating, 23, 1.3774828910827637, -3.806987762451172, 0
testing, 23, 1.3338990211486816, -3.8428714513778686, 0
training, 24, 1.174926291193281, -3.7606654167175293, 0
validating, 24, 1.6660335540771485, -3.8012513637542726, 0
testing, 24, 1.6025364875793457, -3.8357913732528686, 0
training, 25, 1.523793087686811, -3.725857959474836, 0
validating, 25, 1.6771055221557618, -3.7916210651397706, 0
testing, 25, 1.613759446144104, -3.8269607782363892, 0
training, 26, 1.5237921782902308, -3.7159881932394847, 0
validating, 26, 1.6798640727996825, -3.7908082485198973, 0
testing, 26, 1.6173752307891847, -3.8274377584457397, 0
training, 27, 1.519420920099531, -3.715228114809309, 0
validating, 27, 1.6695231914520263, -3.7891776084899904, 0
testing, 27, 1.6083107709884643, -3.827262830734253, 0
training, 28, 1.5040880032948085, -3.714997856957572, 0
validating, 28, 1.6526941776275634, -3.7865314960479735, 0
testing, 28, 1.5939853191375732, -3.8253607749938965, 0
training, 29, 1.491030444417681, -3.7136054379599437, 0
validating, 29, 1.622532558441162, -3.786803150177002, 0
testing, 29, 1.567500901222229, -3.825615382194519, 0
training, 30, 1.469606750352042, -3.7196532249450684, 0
validating, 30, 1.5931017398834229, -3.7859238624572753, 0
testing, 30, 1.5394716262817383, -3.8273884534835814, 0
training, 31, 1.4287475279399326, -3.7158236912318636, 0
validating, 31, 1.547913122177124, -3.7897270202636717, 0
testing, 31, 1.498568320274353, -3.8257078647613527, 0
training, 32, 1.391589447430202, -3.7186547551836284, 0
validating, 32, 1.4987455368041993, -3.78293776512146, 0
testing, 32, 1.4536863803863525, -3.8210344314575195, 0
training, 33, 1.3677082640784128, -3.712804651260376, 0
validating, 33, 1.4905542850494384, -3.7851235389709474, 0
testing, 33, 1.446114993095398, -3.8231838941574097, 0
training, 34, 1.3742905173982893, -3.714375366483416, 0
validating, 34, 1.4938645362854004, -3.7868987560272216, 0
testing, 34, 1.4494162321090698, -3.8292672872543334, 0
training, 35, 1.3626560381480626, -3.7193259102957588, 0
validating, 35, 1.4754079818725585, -3.7826283454895018, 0
testing, 35, 1.4328189849853517, -3.8266315698623656, 0
training, 36, 1.3646984474999564, -3.7143600804465158, 0
validating, 36, 1.4886070728302, -3.7850311279296873, 0
testing, 36, 1.4436360120773315, -3.823458170890808, 0
training, 37, 1.355447711263384, -3.712418113436018, 0
validating, 37, 1.4743196010589599, -3.784211254119873, 0
testing, 37, 1.4323679208755493, -3.8244484663009644, 0
training, 38, 1.3665724311556136, -3.7134226049695696, 0
validating, 38, 1.474069595336914, -3.7844714164733886, 0
testing, 38, 1.4326478004455567, -3.825245499610901, 0
training, 39, 1.327701667376927, -3.715392426082066, 0
validating, 39, 1.426554536819458, -3.7824493885040282, 0
testing, 39, 1.3894080638885498, -3.8254460096359253, 0
training, 40, 1.3304977655410766, -3.7125736032213483, 0
validating, 40, 1.4539628982543946, -3.7854187965393065, 0
testing, 40, 1.4144931077957152, -3.8233573913574217, 0
training, 41, 1.327383405821664, -3.7119452953338623, 0
validating, 41, 1.4251784801483154, -3.780184841156006, 0
testing, 41, 1.3882757425308228, -3.823698711395264, 0
training, 42, 1.3133209535053798, -3.7123181751796177, 0
validating, 42, 1.407153606414795, -3.7804907321929933, 0
testing, 42, 1.371468997001648, -3.8275808095932007, 0
training, 43, 1.302957388332912, -3.7151419912065777, 0
validating, 43, 1.4474408626556396, -3.7822288990020754, 0
testing, 43, 1.4079652786254884, -3.8208683013916014, 0
training, 44, 1.3209746326719012, -3.713794367653983, 0
validating, 44, 1.4243985652923583, -3.7885013103485106, 0
testing, 44, 1.3897953987121583, -3.822317028045654, 0
training, 45, 1.3164933851787022, -3.7113231386457173, 0
validating, 45, 1.4520094871520997, -3.782753038406372, 0
testing, 45, 1.4127252101898193, -3.8216597557067873, 0
training, 46, 1.3493308441979543, -3.712118033000401, 0
validating, 46, 1.4434964656829834, -3.785159111022949, 0
testing, 46, 1.403272271156311, -3.8253989696502684, 0
training, 47, 1.3233763183866227, -3.711690970829555, 0
validating, 47, 1.4359892845153808, -3.784571981430054, 0
testing, 47, 1.3969481706619262, -3.8230527877807616, 0
training, 48, 1.3169034787586757, -3.7112133094242643, 0
validating, 48, 1.4377622604370117, -3.787133312225342, 0
testing, 48, 1.398077917098999, -3.8242278814315798, 0
training, 49, 1.304182049206325, -3.7125056743621827, 0
validating, 49, 1.4092468738555908, -3.7835145950317384, 0
testing, 49, 1.371270227432251, -3.8254631757736206, 0
training, 50, 1.27865195614951, -3.7226676327841624, 0
validating, 50, 1.3869358062744142, -3.7869569778442385, 0
testing, 50, 1.3515179872512817, -3.8264181137084963, 0
training, 51, 1.2856611490249634, -3.7144589356013706, 0
validating, 51, 1.3590812683105469, -3.781414031982422, 0
testing, 51, 1.3259801387786865, -3.827949857711792, 0
training, 52, 1.2688825368881225, -3.7140894412994383, 0
validating, 52, 1.3984033107757567, -3.781981372833252, 0
testing, 52, 1.3609354972839356, -3.8221322536468505, 0
training, 53, 1.287720458848136, -3.710110248838152, 0
validating, 53, 1.3984950065612793, -3.7818744659423826, 0
testing, 53, 1.3611340045928955, -3.8220662593841555, 0
training, 54, 1.2885269539696829, -3.709684201649257, 0
validating, 54, 1.4007231712341308, -3.7832412242889406, 0
testing, 54, 1.3631712675094605, -3.8227724552154543, 0
training, 55, 1.2918613604136875, -3.7094270501817976, 0
validating, 55, 1.404801845550537, -3.7823511123657227, 0
testing, 55, 1.3671668767929077, -3.821871852874756, 0
training, 56, 1.2935850381851197, -3.7087899003710065, 0
validating, 56, 1.405406379699707, -3.782590055465698, 0
testing, 56, 1.3678427934646606, -3.821902561187744, 0
training, 57, 1.2953867673873902, -3.708667026247297, 0
validating, 57, 1.4088573932647706, -3.7828064441680906, 0
testing, 57, 1.3710992813110352, -3.8218953609466553, 0
training, 58, 1.2982550178255354, -3.7086435999189105, 0
validating, 58, 1.409489631652832, -3.782054138183594, 0
testing, 58, 1.3719472885131836, -3.8222550630569456, 0
training, 59, 1.2973113025937761, -3.708575541632516, 0
validating, 59, 1.4090751171112061, -3.782970905303955, 0
testing, 59, 1.3716417312622071, -3.8226062774658205, 0
training, 60, 1.2998450108936854, -3.7087025846753803, 0
validating, 60, 1.4117202758789062, -3.7826969146728517, 0
testing, 60, 1.3741364479064941, -3.8224136352539064, 0
training, 61, 1.301449819973537, -3.7080339772360666, 0
validating, 61, 1.4147615909576416, -3.7828649997711183, 0
testing, 61, 1.3768290042877198, -3.8224870443344114, 0
training, 62, 1.3042740242821829, -3.7085860320499964, 0
validating, 62, 1.4173325538635253, -3.7830180168151855, 0
testing, 62, 1.3792989253997803, -3.822141170501709, 0
training, 63, 1.3074589831488472, -3.70834014075143, 0
validating, 63, 1.4200382232666016, -3.7825036525726317, 0
testing, 63, 1.3820202350616455, -3.822454404830933, 0
training, 64, 1.3078122649874007, -3.707682616370065, 0
validating, 64, 1.4197805881500245, -3.782556915283203, 0
testing, 64, 1.3818026781082153, -3.8224420070648195, 0
training, 65, 1.3077629259654453, -3.70777564729963, 0
validating, 65, 1.4198316574096679, -3.7825145721435547, 0
testing, 65, 1.3818500518798829, -3.822357702255249, 0
training, 66, 1.307902067048209, -3.7076373440878734, 0
validating, 66, 1.4200725555419922, -3.7827092170715333, 0
testing, 66, 1.3820744037628174, -3.8223058700561525, 0
training, 67, 1.30812201159341, -3.7077250889369417, 0
validating, 67, 1.4201077461242675, -3.7830716133117677, 0
testing, 67, 1.3821047782897948, -3.8224233627319335, 0
training, 68, 1.307891413143703, -3.7076459884643556, 0
validating, 68, 1.4199904918670654, -3.7829423904418946, 0
testing, 68, 1.3819944143295289, -3.8221720933914183, 0
training, 69, 1.3082276378359114, -3.7075133459908622, 0
validating, 69, 1.4202768325805664, -3.783071279525757, 0
testing, 69, 1.3822685480117798, -3.8220500469207765, 0
training, 70, 1.3084552662713187, -3.7076103959764755, 0
