Random seed, 10
mode, epoch, average loss, defender utility
training, -1, -1.3623918805803571e-08, -4.814283043997628, 0
validating, -1, 0.0, -4.77761173248291, 0
testing, -1, -9.5367431640625e-08, -4.802965354919434, 0
training, 0, 13.01971345629011, -5.376942130497524, 0
validating, 0, 14.001762580871581, -5.359630489349366, 0
testing, 0, 12.29275951385498, -5.4460399627685545, 0
training, 1, 4.830150318145752, -5.366073254176548, 0
validating, 1, 3.777984142303467, -5.355726718902588, 0
testing, 1, 3.6826988697052, -5.38124647140503, 0
training, 2, 3.591069153376988, -5.352521569388253, 0
validating, 2, 3.722397518157959, -5.357227420806884, 0
testing, 2, 3.6316060543060305, -5.406397342681885, 0
training, 3, 3.5436049461364747, -5.356159932272774, 0
validating, 3, 3.667419910430908, -5.3518900871276855, 0
testing, 3, 3.605024576187134, -5.388526248931885, 0
training, 4, 3.5311478069850377, -5.350104727063861, 0
validating, 4, 3.6841404914855955, -5.343026065826416, 0
testing, 4, 3.61004958152771, -5.388518190383911, 0
training, 5, 3.512135328565325, -5.347753797258649, 0
validating, 5, 3.723730373382568, -5.354029655456543, 0
testing, 5, 3.641087007522583, -5.408009672164917, 0
training, 6, 3.5222340038844515, -5.347059168134417, 0
validating, 6, 3.6526577949523924, -5.347390937805176, 0
testing, 6, 3.579356050491333, -5.390069627761841, 0
training, 7, 3.4991509982517788, -5.348172269548688, 0
validating, 7, 3.6454392433166505, -5.359157848358154, 0
testing, 7, 3.5624292850494386, -5.4032087326049805, 0
training, 8, 3.4999468530927387, -5.3448720523289275, 0
validating, 8, 3.637128734588623, -5.341868782043457, 0
testing, 8, 3.57033486366272, -5.389176893234253, 0
training, 9, 3.4748889786856516, -5.352707590375628, 0
validating, 9, 3.613646221160889, -5.346081066131592, 0
testing, 9, 3.5352555751800536, -5.396682500839233, 0
training, 10, 3.4763420241219656, -5.353438663482666, 0
validating, 10, 3.591673564910889, -5.349477672576905, 0
testing, 10, 3.531196641921997, -5.399422454833984, 0
training, 11, 3.463073607853481, -5.349548803056989, 0
validating, 11, 3.617320919036865, -5.356250190734864, 0
testing, 11, 3.520868158340454, -5.406247949600219, 0
training, 12, 3.4767209325517925, -5.346339729854039, 0
validating, 12, 3.6286519050598143, -5.354534530639649, 0
testing, 12, 3.53667893409729, -5.408784961700439, 0
training, 13, 3.4493997165134975, -5.34846236365182, 0
validating, 13, 3.5953640937805176, -5.344846248626709, 0
testing, 13, 3.504999208450317, -5.394973516464233, 0
training, 14, 3.450626632145473, -5.350442232404436, 0
validating, 14, 3.58348970413208, -5.349642372131347, 0
testing, 14, 3.5027208805084227, -5.4031730651855465, 0
training, 15, 3.4660904884338377, -5.348026520865304, 0
validating, 15, 3.590585803985596, -5.350994873046875, 0
testing, 15, 3.491099405288696, -5.405306673049926, 0
training, 16, 3.4419389588492257, -5.350529248373849, 0
validating, 16, 3.6387015342712403, -5.351531982421875, 0
testing, 16, 3.5698073863983155, -5.388494205474854, 0
training, 17, 3.452484743935721, -5.363934203556606, 0
validating, 17, 3.6051644325256347, -5.34844274520874, 0
testing, 17, 3.510938596725464, -5.391573762893676, 0
training, 18, 3.4193511826651437, -5.351676900046212, 0
validating, 18, 3.6782786369323732, -5.355188655853271, 0
testing, 18, 3.562553358078003, -5.418721771240234, 0
