Random seed, 28
mode, epoch, average loss, defender utility
training, -1, 1.5667506626674107e-07, -0.8854655350957598, 0
validating, -1, 0.0, -0.923820436000824, 0
testing, -1, 1.9073486328125e-07, -0.8672423124313354, 0
training, 0, 2.491955280303955, -1.248481936114175, 0
validating, 0, 2.4678735733032227, -1.296994161605835, 0
testing, 0, 2.4541744709014894, -1.209019088745117, 0
training, 1, 1.8436575617109026, -1.0832992928368705, 0
validating, 1, 1.481046199798584, -1.0526849269866942, 0
testing, 1, 1.649379348754883, -1.0215430915355683, 0
training, 2, 1.563228784288679, -1.015034786292485, 0
validating, 2, 1.3833170890808106, -1.0092199921607972, 0
testing, 2, 1.5650278091430665, -0.9880306422710419, 0
training, 3, 1.4551343645368304, -0.9859119193894522, 0
validating, 3, 1.24508695602417, -0.9891440629959106, 0
testing, 3, 1.4229420661926269, -0.9529448568820953, 0
training, 4, 1.3936699186052595, -0.979005651814597, 0
validating, 4, 1.358878231048584, -0.9908798336982727, 0
testing, 4, 1.6068516731262208, -0.9700474798679352, 0
training, 5, 1.371116760798863, -0.9775824104036603, 0
validating, 5, 1.2156490325927733, -1.0324824333190918, 0
testing, 5, 1.3230459690093994, -0.9742753863334656, 0
training, 6, 1.3571758542742047, -0.9692842994417463, 0
validating, 6, 1.1795150756835937, -0.9842382073402405, 0
testing, 6, 1.3841845512390136, -0.9485005617141724, 0
training, 7, 1.3611896923610143, -0.9652907524790083, 0
validating, 7, 1.147525691986084, -0.9910609722137451, 0
testing, 7, 1.3477707862854005, -0.9497627019882202, 0
training, 8, 1.343035180228097, -0.9613964523587908, 0
validating, 8, 1.2059686660766602, -0.9707377433776856, 0
testing, 8, 1.4649718761444093, -0.9488177001476288, 0
training, 9, 1.3185338973999023, -0.960767834527152, 0
validating, 9, 1.1437236785888671, -0.9740339279174804, 0
testing, 9, 1.3822211742401123, -0.9455401659011841, 0
training, 10, 1.2979848725455148, -0.9572093759264265, 0
validating, 10, 1.1164607048034667, -0.9775792837142945, 0
testing, 10, 1.3041183948516846, -0.9379621863365173, 0
training, 11, 1.2930948666163853, -0.9506473745618548, 0
validating, 11, 1.1327792167663575, -0.9664276957511901, 0
testing, 11, 1.3896092891693115, -0.9442524969577789, 0
training, 12, 1.2821489470345633, -0.949416560786111, 0
