Random seed, 4
mode, epoch, average loss, defender utility
training, -1, -1.2261526925223213e-07, -5.2806106703622, 0
validating, -1, -1.9073486328125e-07, -5.146361541748047, 0
testing, -1, 2.384185791015625e-07, -5.292423295974731, 0
training, 0, 2.9036303997039794, -6.683810356685093, 0
validating, 0, 3.3701961517333983, -6.659299278259278, 0
testing, 0, 2.9248280048370363, -6.70695390701294, 0
training, 1, 3.1309471266610283, -6.04916319165911, 0
validating, 1, 8.450924682617188, -5.713099193572998, 0
testing, 1, 7.241229438781739, -5.784270095825195, 0
training, 2, 12.03546586717878, -5.7612392016819545, 0
validating, 2, 21.162779235839842, -5.663850975036621, 0
testing, 2, 18.226277828216553, -5.741370582580567, 0
training, 3, 21.73211490086147, -5.74177051271711, 0
validating, 3, 33.15088577270508, -5.649889755249023, 0
testing, 3, 28.782000732421874, -5.738582038879395, 0
training, 4, 28.39852910723005, -5.743287508828299, 0
validating, 4, 39.467091751098636, -5.6426310539245605, 0
testing, 4, 34.39197425842285, -5.735687494277954, 0
training, 5, 34.56973408290318, -5.734207357679095, 0
validating, 5, 40.32435073852539, -5.674152183532715, 0
testing, 5, 35.13184795379639, -5.762066745758057, 0
training, 6, 33.382199914114814, -5.7438005992344445, 0
validating, 6, 44.928148651123045, -5.640746212005615, 0
testing, 6, 39.21387920379639, -5.7332761764526365, 0
training, 7, 38.46613807678223, -5.72592807497297, 0
validating, 7, 47.64728546142578, -5.649129962921142, 0
testing, 7, 41.619220924377444, -5.740852117538452, 0
training, 8, 39.4266465323312, -5.73000751222883, 0
validating, 8, 49.27714233398437, -5.649463176727295, 0
testing, 8, 42.91994571685791, -5.746882581710816, 0
training, 9, 40.603049414498464, -5.736748804364885, 0
validating, 9, 50.42519416809082, -5.654923343658448, 0
testing, 9, 43.88273677825928, -5.745258092880249, 0
training, 10, 40.8450800214495, -5.798483507973807, 0
validating, 10, 50.71031265258789, -5.669989013671875, 0
testing, 10, 44.13689022064209, -5.75050163269043, 0
training, 11, 42.239602661132814, -5.735853045327323, 0
validating, 11, 52.45009536743164, -5.645009326934814, 0
testing, 11, 45.67435836791992, -5.738919067382812, 0
training, 12, 42.69997956412179, -5.750777871268136, 0
validating, 12, 53.088090133666995, -5.647833156585693, 0
testing, 12, 46.247534942626956, -5.740845203399658, 0
training, 13, 42.49008037022182, -5.730173233577183, 0
validating, 13, 50.690982055664065, -5.64910478591919, 0
testing, 13, 44.05739421844483, -5.736830472946167, 0
training, 14, 40.75742732456752, -5.7307228769574845, 0
validating, 14, 50.28864860534668, -5.644721221923828, 0
testing, 14, 43.69953517913818, -5.7419548511505125, 0
training, 15, 40.689228548322404, -5.7332350730896, 0
validating, 15, 50.38176078796387, -5.648183727264405, 0
testing, 15, 43.781540107727054, -5.74555926322937, 0
training, 16, 40.82212780543736, -5.736412048339844, 0
validating, 16, 50.50053329467774, -5.648750591278076, 0
