Random seed, 2
mode, epoch, average loss, defender utility
training, -1, -8.174351283482143e-08, -2.03287741456713, 0
validating, -1, -9.5367431640625e-08, -2.030733013153076, 0
testing, -1, 4.76837158203125e-08, -2.0378973722457885, 0
training, 0, 4.2788405418396, -3.9758227348327635, 0
validating, 0, 4.087810420989991, -3.9185027122497558, 0
testing, 0, 4.422198390960693, -4.04713008403778, 0
training, 1, 2.7650229726518902, -2.6707010064806256, 0
validating, 1, 2.3715365409851072, -2.4454112529754637, 0
testing, 1, 2.520059585571289, -2.427287292480469, 0
training, 2, 2.4444566999162944, -2.395807123184204, 0
validating, 2, 2.2513680458068848, -2.361601543426514, 0
testing, 2, 2.382747268676758, -2.312132716178894, 0
training, 3, 2.291395705086844, -2.255962317330497, 0
validating, 3, 2.163953113555908, -2.3066386699676515, 0
testing, 3, 2.2409176349639894, -2.2245595932006834, 0
training, 4, 2.179745033809117, -2.206070784160069, 0
validating, 4, 2.037817192077637, -2.224989414215088, 0
testing, 4, 2.1251283168792723, -2.163623070716858, 0
training, 5, 2.1162799971444266, -2.1733856541769847, 0
validating, 5, 1.9828332901000976, -2.2101486206054686, 0
testing, 5, 2.0623716354370116, -2.1654479026794435, 0
training, 6, 2.0516319002423966, -2.1735518387385775, 0
validating, 6, 1.9646596908569336, -2.194461297988892, 0
testing, 6, 2.0125449657440186, -2.159701132774353, 0
training, 7, 2.0052195412772043, -2.150776324953352, 0
validating, 7, 1.957209014892578, -2.1709999561309816, 0
testing, 7, 2.0305253982543947, -2.132091689109802, 0
training, 8, 1.997173854282924, -2.152098955426897, 0
validating, 8, 1.9204933166503906, -2.151767110824585, 0
testing, 8, 2.0134642124176025, -2.1255130767822266, 0
training, 9, 1.9859892981392997, -2.149158341544015, 0
validating, 9, 1.9013486862182618, -2.153273868560791, 0
testing, 9, 1.9281231880187988, -2.1288663864135744, 0
training, 10, 1.945139925820487, -2.1442400455474853, 0
validating, 10, 1.9031726837158203, -2.15683650970459, 0
testing, 10, 1.9468831539154052, -2.1265680313110353, 0
training, 11, 1.9490290778023855, -2.1406621319907053, 0
validating, 11, 1.9114667892456054, -2.166066884994507, 0
testing, 11, 1.9306734085083008, -2.1384294748306276, 0
training, 12, 1.9125555038452149, -2.14574442590986, 0
validating, 12, 1.9108084678649901, -2.148820161819458, 0
testing, 12, 1.9345599174499513, -2.1173118591308593, 0
training, 13, 1.8990749904087612, -2.1379290172031946, 0
validating, 13, 1.9137028694152831, -2.1676586151123045, 0
testing, 13, 1.8972535610198975, -2.1247925043106077, 0
training, 14, 1.8904281752450125, -2.1387870652335033, 0
validating, 14, 1.8432778358459472, -2.150851821899414, 0
testing, 14, 1.8873291015625, -2.11930627822876, 0
training, 15, 1.8830005373273577, -2.1415370328085763, 0
validating, 15, 1.8703014373779296, -2.169587755203247, 0
testing, 15, 1.8717779159545898, -2.129662823677063, 0
training, 16, 1.8604459081377303, -2.13824405670166, 0
validating, 16, 1.861826229095459, -2.1779274463653566, 0
testing, 16, 1.8736870765686036, -2.1356924533843995, 0
training, 17, 1.8585417475019181, -2.131344059535435, 0
validating, 17, 1.8452937126159668, -2.165953540802002, 0
testing, 17, 1.8542613506317138, -2.1227603197097777, 0
training, 18, 1.8354032788957868, -2.136643750326974, 0
validating, 18, 1.8437336921691894, -2.1571661949157717, 0
testing, 18, 1.8574349880218506, -2.1169466018676757, 0
training, 19, 1.8354984964643206, -2.1395118168422154, 0
validating, 19, 1.8892934799194336, -2.1529581546783447, 0
testing, 19, 1.8727932929992677, -2.1138174772262572, 0
training, 20, 1.8247712816510882, -2.1339165346963065, 0
