Random seed, 21,training loss, 3.050735453196934, training defu, -3.778205033711025, training opt, -3.3071768965039934, validating loss, 2.4918349266052244, validating defu, -3.7267929553985595, validating opt, -3.2771420955657957,testing loss, 2.9595058441162108, testing defu, -3.915212035179138, testing opt, -3.2763122797012327
Random seed, 17,training loss, 1.9142834390912737, training defu, -4.292372608184815, training opt, -3.9518530981881277, validating loss, 2.0131312370300294, validating defu, -4.367717361450195, validating opt, -4.071712636947632,testing loss, 1.8998254776000976, testing defu, -4.256622982025147, testing opt, -3.944074583053589
Random seed, 5,training loss, 1.882515675680978, training defu, -5.273982783726283, training opt, -4.619761616843087, validating loss, 1.8524245262145995, validating defu, -5.560003280639648, validating opt, -4.90171365737915,testing loss, 1.9693605661392213, testing defu, -5.3407549381256105, testing opt, -4.675697469711304
Random seed, 10,training loss, 1.1974154949188232, training defu, -3.759068182536534, training opt, -3.5147620814187186, validating loss, 1.244185495376587, validating defu, -3.7300956726074217, validating opt, -3.5224365234375,testing loss, 1.2543396949768066, testing defu, -3.7406862020492553, testing opt, -3.5490261793136595
Random seed, 29,training loss, 2.4575652531215124, training defu, -4.386364310128348, training opt, -3.6862761429377966, validating loss, 2.489297103881836, validating defu, -4.417382717132568, validating opt, -3.599795436859131,testing loss, 2.4279580116271973, testing defu, -4.403356409072876, testing opt, -3.683598518371582
Random seed, 25,training loss, 0.7604508263724191, training defu, -4.356305892126901, training opt, -3.8659981523241314, validating loss, 0.6942715644836426, validating defu, -4.240499114990234, validating opt, -3.649270009994507,testing loss, 0.7596541404724121, testing defu, -4.269718670845032, testing opt, -3.736514186859131
Random seed, 16,training loss, 2.769571426936558, training defu, -3.4989665167672293, training opt, -2.9815481526511056, validating loss, 3.3339177131652833, validating defu, -3.6120834350585938, validating opt, -3.004710149765015,testing loss, 2.936637592315674, testing defu, -3.548232388496399, testing opt, -3.130102586746216
Random seed, 8,training loss, 1.6266183989388603, training defu, -6.317342403956822, training opt, -5.554748739515032, validating loss, 1.643935203552246, validating defu, -6.169180107116699, validating opt, -5.364007568359375,testing loss, 1.5454825401306151, testing defu, -6.216072845458984, testing opt, -5.580596446990967
Random seed, 26,training loss, 2.044363525935582, training defu, -6.082505021776472, training opt, -5.2392440523420065, validating loss, 2.116311264038086, validating defu, -6.017713832855224, validating opt, -5.151831817626953,testing loss, 1.9546204090118409, testing defu, -6.082262372970581, testing opt, -5.235185003280639
Random seed, 3,training loss, 1.9097520419529506, training defu, -5.618915230887277, training opt, -5.2053188051496235, validating loss, 1.9321626663208007, validating defu, -5.597944164276123, validating opt, -5.1806896209716795,testing loss, 2.0198874473571777, testing defu, -5.62933030128479, testing opt, -5.259846019744873
Random seed, 22,training loss, 5.615185151781355, training defu, -5.438369192395892, training opt, -4.625222492218017, validating loss, 5.749038600921631, validating defu, -5.482769393920899, validating opt, -4.582539749145508,testing loss, 5.376167106628418, testing defu, -5.404491424560547, testing opt, -4.605615901947021
Random seed, 7,training loss, 1.8545755522591727, training defu, -5.231485952649797, training opt, -4.551165417262486, validating loss, 1.8246624946594239, validating defu, -5.115035057067871, validating opt, -4.429339742660522,testing loss, 1.8447861194610595, testing defu, -5.326986026763916, testing opt, -4.499456763267517
Random seed, 23,training loss, 2.0908420835222516, training defu, -5.161088848114014, training opt, -4.47701495034354, validating loss, 2.072989082336426, validating defu, -5.065158176422119, validating opt, -4.29381160736084,testing loss, 2.115799903869629, testing defu, -5.1785375595092775, testing opt, -4.630437564849854
Random seed, 28,training loss, 3.0111267634800503, training defu, -3.31988696370806, training opt, -2.9229241847991942, validating loss, 2.9460715293884276, validating defu, -3.290717029571533, validating opt, -3.0067893505096435,testing loss, 3.296511697769165, testing defu, -3.0357606649398803, testing opt, -2.662502145767212
Random seed, 2,training loss, 2.1160158021109443, training defu, -2.280550309589931, training opt, -2.03287741456713, validating loss, 2.026625156402588, validating defu, -2.1365537643432617, validating opt, -2.030733013153076,testing loss, 2.195252513885498, testing defu, -2.264328193664551, testing opt, -2.0378973722457885
Random seed, 11,training loss, 2.1209413255964007, training defu, -3.150365345818656, training opt, -3.0765282562800818, validating loss, 2.056374454498291, validating defu, -3.1416501998901367, validating opt, -3.0701128959655763,testing loss, 1.9314434051513671, testing defu, -3.162977147102356, testing opt, -3.106361222267151
Random seed, 24,training loss, 1.96647082056318, training defu, -4.068875789642334, training opt, -3.4663662093026297, validating loss, 1.9979445457458496, validating defu, -4.063906288146972, validating opt, -3.3992634296417235,testing loss, 2.055398178100586, testing defu, -4.1736139297485355, testing opt, -3.504858636856079
Random seed, 9,training loss, 2.212955243246896, training defu, -4.743677997589112, training opt, -4.267937019893101, validating loss, 2.1554538726806642, validating defu, -4.798984050750732, validating opt, -4.325920867919922,testing loss, 2.2013665676116942, testing defu, -4.734481573104858, testing opt, -4.218779301643371
Random seed, 27,training loss, 5.291059030805315, training defu, -1.2657561830111912, training opt, -1.0391058206558228, validating loss, 5.242822074890137, validating defu, -1.3224223852157593, validating opt, -1.2359938859939574,testing loss, 5.239119052886963, testing defu, -1.3367372512817384, testing opt, -1.2356898486614227
Random seed, 13,training loss, 1.5239734240940639, training defu, -4.43741421018328, training opt, -3.8153795037950786, validating loss, 1.7232133865356445, validating defu, -4.405788326263428, validating opt, -3.7096292972564697,testing loss, 1.4247345447540283, testing defu, -4.507454490661621, testing opt, -3.8702141523361204
Random seed, 19,training loss, 2.358455330984933, training defu, -3.5847005026681082, training opt, -3.3408275944846015, validating loss, 2.460819053649902, validating defu, -3.477401876449585, validating opt, -3.1254952430725096,testing loss, 2.4050029277801515, testing defu, -3.589445972442627, testing opt, -3.334482288360596
