Random seed, 24,training loss, 2.041283859525408, training defu, -4.188207033702305, training opt, -3.4663662093026297, validating loss, 2.0480671882629395, validating defu, -4.206481790542602, validating opt, -3.3992634296417235,testing loss, 2.020570659637451, testing defu, -4.199862480163574, testing opt, -3.504858636856079
Random seed, 8,training loss, 1.6060749326433454, training defu, -6.335160391671317, training opt, -5.554748739515032, validating loss, 1.6339823722839355, validating defu, -6.175964450836181, validating opt, -5.364007568359375,testing loss, 1.536571741104126, testing defu, -6.23014349937439, testing opt, -5.580596446990967
Random seed, 25,training loss, 0.7436963694436209, training defu, -4.392529555729458, training opt, -3.8659981523241314, validating loss, 0.6878697395324707, validating defu, -4.240902137756348, validating opt, -3.649270009994507,testing loss, 0.7376549959182739, testing defu, -4.3106201171875, testing opt, -3.736514186859131
Random seed, 29,training loss, 2.37838933127267, training defu, -4.444830417633057, training opt, -3.6862761429377966, validating loss, 2.4397775650024416, validating defu, -4.4663472175598145, validating opt, -3.599795436859131,testing loss, 2.3453784465789793, testing defu, -4.449588298797607, testing opt, -3.683598518371582
Random seed, 9,training loss, 2.115092018672398, training defu, -4.749380234309605, training opt, -4.267937019893101, validating loss, 2.073524570465088, validating defu, -4.846458148956299, validating opt, -4.325920867919922,testing loss, 2.0690329551696776, testing defu, -4.726352739334106, testing opt, -4.218779301643371
Random seed, 21,training loss, 2.0344471454620363, training defu, -3.7378714288984027, training opt, -3.3071768965039934, validating loss, 1.852469539642334, validating defu, -3.73736515045166, validating opt, -3.2771420955657957,testing loss, 2.2382508277893067, testing defu, -3.8659573554992677, testing opt, -3.2763122797012327
Random seed, 19,training loss, 2.782765715462821, training defu, -4.162942375455584, training opt, -3.3408275944846015, validating loss, 2.926765251159668, validating defu, -4.084444236755371, validating opt, -3.1254952430725096,testing loss, 2.655247926712036, testing defu, -3.9240806102752686, testing opt, -3.334482288360596
Random seed, 26,training loss, 1.8582833290100098, training defu, -6.1795726639883855, training opt, -5.2392440523420065, validating loss, 1.923395824432373, validating defu, -6.085140514373779, validating opt, -5.151831817626953,testing loss, 1.8256549835205078, testing defu, -6.1805112838745115, testing opt, -5.235185003280639
Random seed, 20,training loss, 1.492425046648298, training defu, -5.013122844696045, training opt, -4.371474804197039, validating loss, 1.2250909328460693, validating defu, -4.814281940460205, validating opt, -4.424273586273193,testing loss, 1.3684983491897582, testing defu, -4.728864669799805, testing opt, -4.213541078567505
Random seed, 5,training loss, 1.7990853718348911, training defu, -5.296584742409842, training opt, -4.619761616843087, validating loss, 1.7404065132141113, validating defu, -5.545366382598877, validating opt, -4.90171365737915,testing loss, 1.9231690168380737, testing defu, -5.352821493148804, testing opt, -4.675697469711304
Random seed, 10,training loss, 1.1578788825443813, training defu, -3.7658123356955393, training opt, -3.5147620814187186, validating loss, 1.235139751434326, validating defu, -3.7204880237579347, validating opt, -3.5224365234375,testing loss, 1.224779725074768, testing defu, -3.7388431072235107, testing opt, -3.5490261793136595
Random seed, 14,training loss, 2.010958392279489, training defu, -4.792935303279331, training opt, -4.390463747297015, validating loss, 2.0925846099853516, validating defu, -4.753762912750244, validating opt, -4.4737732887268065,testing loss, 1.9494501113891602, testing defu, -4.888355493545532, testing opt, -4.269270491600037
Random seed, 18,training loss, 1.334748683656965, training defu, -5.785653972625733, training opt, -5.240257889883859, validating loss, 1.279517650604248, validating defu, -5.750085735321045, validating opt, -5.177595901489258,testing loss, 1.4684927225112916, testing defu, -5.8177210807800295, testing opt, -5.1767966747283936
Random seed, 12,training loss, 3.332986150469099, training defu, -4.31748857498169, training opt, -3.847731535775321, validating loss, 3.6588718414306642, validating defu, -4.2520308017730715, validating opt, -3.8302610874176026,testing loss, 3.3449405670166015, testing defu, -4.320681762695313, testing opt, -3.8386117935180666
Random seed, 28,training loss, 2.56589822769165, training defu, -3.5819737502506803, training opt, -2.9229241847991942, validating loss, 2.4986294746398925, validating defu, -3.352287769317627, validating opt, -3.0067893505096435,testing loss, 2.578649139404297, testing defu, -3.160730171203613, testing opt, -2.662502145767212
Random seed, 30,training loss, 1.2452312673841204, training defu, -5.697947897229876, training opt, -5.141732951572963, validating loss, 1.0299283027648927, validating defu, -5.697301292419434, validating opt, -5.203760433197021,testing loss, 1.289651131629944, testing defu, -5.718458223342895, testing opt, -5.109920692443848
Random seed, 4,training loss, 1.7398082869393485, training defu, -2.481391736439296, training opt, -2.445542212894985, validating loss, 1.966838264465332, validating defu, -2.5064801216125487, validating opt, -2.442524242401123,testing loss, 1.7698938846588135, testing defu, -2.4719932317733764, testing opt, -2.424410271644592
Random seed, 13,training loss, 1.51040620803833, training defu, -4.485116597584316, training opt, -3.8153795037950786, validating loss, 1.631220531463623, validating defu, -4.371954536437988, validating opt, -3.7096292972564697,testing loss, 1.402785634994507, testing defu, -4.550691175460815, testing opt, -3.8702141523361204
Random seed, 7,training loss, 1.7871530396597726, training defu, -5.341082995278494, training opt, -4.551165417262486, validating loss, 1.8805012702941895, validating defu, -5.177114105224609, validating opt, -4.429339742660522,testing loss, 1.8574442863464355, testing defu, -5.36364631652832, testing opt, -4.499456763267517
Random seed, 3,training loss, 1.7193494524274553, training defu, -5.614486421857562, training opt, -5.2053188051496235, validating loss, 1.7597753524780273, validating defu, -5.582598686218262, validating opt, -5.1806896209716795,testing loss, 1.8682082653045655, testing defu, -5.641137981414795, testing opt, -5.259846019744873
Random seed, 23,training loss, 1.935430553981236, training defu, -5.156197254998343, training opt, -4.47701495034354, validating loss, 1.9134233474731446, validating defu, -5.08689546585083, validating opt, -4.29381160736084,testing loss, 1.9202187061309814, testing defu, -5.185944557189941, testing opt, -4.630437564849854
