Random seed, 2,training loss, 5.563896451677595, training defu, -5.807162870679583, training opt, -5.183158711024693, validating loss, 5.499520111083984, validating defu, -5.67040786743164, validating opt, -5.153999614715576,testing loss, 5.004235029220581, testing defu, -5.774077653884888, testing opt, -5.29794716835022
Random seed, 30,training loss, 7.4132529122488835, training defu, -5.601156861441476, training opt, -5.082445199148996, validating loss, 6.642205810546875, validating defu, -5.646602153778076, validating opt, -5.176900386810303,testing loss, 7.191396331787109, testing defu, -5.5743695259094235, testing opt, -5.162518119812011
Random seed, 24,training loss, 5.365008899143764, training defu, -6.395469106946673, training opt, -5.632891505105155, validating loss, 5.671868133544922, validating defu, -6.3980659484863285, validating opt, -5.53297233581543,testing loss, 5.292410755157471, testing defu, -6.25306339263916, testing opt, -5.559116983413697
Random seed, 26,training loss, 5.328233582632882, training defu, -5.17205604825701, training opt, -4.588118307931083, validating loss, 5.119611549377441, validating defu, -5.206317043304443, validating opt, -4.6842316627502445,testing loss, 5.623071956634521, testing defu, -5.243476676940918, testing opt, -4.604901123046875
Random seed, 13,training loss, 7.9172395297459195, training defu, -5.75274259022304, training opt, -5.015370055607387, validating loss, 8.07599697113037, validating defu, -5.424168872833252, validating opt, -4.789272212982178,testing loss, 7.934114742279053, testing defu, -5.7578465938568115, testing opt, -4.9968235969543455
Random seed, 28,training loss, 7.62891229901995, training defu, -6.014211790902274, training opt, -5.610088757106236, validating loss, 7.506843948364258, validating defu, -6.003408336639405, validating opt, -5.67685079574585,testing loss, 7.144021987915039, testing defu, -5.9686439037323, testing opt, -5.652543687820435
Random seed, 20,training loss, 6.296737807137625, training defu, -5.701862457820347, training opt, -5.001341002328055, validating loss, 5.938316535949707, validating defu, -5.829409980773926, validating opt, -5.32733907699585,testing loss, 6.282282161712646, testing defu, -5.792502355575562, testing opt, -5.134693288803101
Random seed, 3,training loss, 6.140161432538714, training defu, -7.299148614065988, training opt, -6.519284847804478, validating loss, 6.489896965026856, validating defu, -7.138954448699951, validating opt, -6.402734851837158,testing loss, 6.193282222747802, testing defu, -7.267092990875244, testing opt, -6.504604816436768
Random seed, 7,training loss, 6.206256893702916, training defu, -5.620316219329834, training opt, -5.456033624921527, validating loss, 6.093199729919434, validating defu, -5.510251808166504, validating opt, -5.417104625701905,testing loss, 6.136297941207886, testing defu, -5.560619497299195, testing opt, -5.414183664321899
Random seed, 25,training loss, 6.8815377371651785, training defu, -5.946368857792446, training opt, -5.372127996172224, validating loss, 6.870128440856933, validating defu, -5.904963779449463, validating opt, -5.3219313621521,testing loss, 6.54812183380127, testing defu, -6.0216700553894045, testing opt, -5.449143505096435
Random seed, 23,training loss, 6.116516848972865, training defu, -4.609352275303432, training opt, -4.340332153865269, validating loss, 6.270893096923828, validating defu, -4.554864597320557, validating opt, -4.3417637825012205,testing loss, 5.8835978507995605, testing defu, -4.5643213272094725, testing opt, -4.345041561126709
Random seed, 16,training loss, 7.794344983782087, training defu, -4.975619384220669, training opt, -4.437081841060094, validating loss, 7.652769279479981, validating defu, -5.06186466217041, validating opt, -4.523061466217041,testing loss, 7.867404651641846, testing defu, -4.960257911682129, testing opt, -4.413214778900146
Random seed, 21,training loss, 6.118408993312291, training defu, -5.863600758143834, training opt, -5.336530358450753, validating loss, 6.075886154174805, validating defu, -5.8278216361999515, validating opt, -5.326621055603027,testing loss, 6.070724582672119, testing defu, -5.902045869827271, testing opt, -5.374270009994507
Random seed, 8,training loss, 6.675628362383161, training defu, -5.537782805306571, training opt, -4.819786814280919, validating loss, 6.863714027404785, validating defu, -5.499312210083008, validating opt, -4.68738374710083,testing loss, 6.382389259338379, testing defu, -5.55821213722229, testing opt, -4.832888841629028
