Random seed, 20, forward time, 403.4464318752289, qp time, 1166.4718718528748, backward_time, 36.172507762908936
Random seed, 17, forward time, 370.8884902000427, qp time, 1260.160888671875, backward_time, 37.69550633430481
Random seed, 11, forward time, 348.86939573287964, qp time, 1342.4389803409576, backward_time, 36.95594573020935
Random seed, 23, forward time, 637.1262063980103, qp time, 1173.6475307941437, backward_time, 36.6904673576355
Random seed, 21, forward time, 654.9845781326294, qp time, 1277.475869178772, backward_time, 37.71595311164856
Random seed, 26, forward time, 683.0904948711395, qp time, 1323.052619934082, backward_time, 38.06082320213318
Random seed, 3, forward time, 728.1320955753326, qp time, 1335.7828583717346, backward_time, 38.71604108810425
Random seed, 16, forward time, 619.9641995429993, qp time, 1466.450954914093, backward_time, 40.05770444869995
Random seed, 18, forward time, 828.9274833202362, qp time, 1285.9991099834442, backward_time, 38.58685231208801
Random seed, 9, forward time, 595.0245044231415, qp time, 1549.2617995738983, backward_time, 41.834874391555786
Random seed, 1, forward time, 572.8678817749023, qp time, 1627.371309518814, backward_time, 44.32983899116516
Random seed, 27, forward time, 652.8329668045044, qp time, 1647.3518764972687, backward_time, 42.77125668525696
Random seed, 25, forward time, 641.5988545417786, qp time, 1663.1455790996552, backward_time, 42.27383589744568
Random seed, 15, forward time, 618.1593511104584, qp time, 1773.131540775299, backward_time, 42.09538674354553
Random seed, 28, forward time, 764.0438611507416, qp time, 1675.2613246440887, backward_time, 42.730807304382324
Random seed, 14, forward time, 806.4913830757141, qp time, 1809.2857134342194, backward_time, 43.86669182777405
Random seed, 10, forward time, 824.1869077682495, qp time, 1911.4617376327515, backward_time, 50.51611685752869
Random seed, 13, forward time, 478.71176958084106, qp time, 2266.392058610916, backward_time, 64.15814352035522
Random seed, 19, forward time, 878.5180914402008, qp time, 1932.9213366508484, backward_time, 45.05004358291626
Random seed, 29, forward time, 971.1660180091858, qp time, 1969.859022140503, backward_time, 45.527184009552
Random seed, 8, forward time, 745.7396578788757, qp time, 2374.8263142108917, backward_time, 50.698816537857056
Random seed, 6, forward time, 1036.4115734100342, qp time, 2144.6879172325134, backward_time, 49.16767358779907
Random seed, 30, forward time, 827.2894854545593, qp time, 2401.023796081543, backward_time, 49.44170832633972
Random seed, 24, forward time, 881.7562711238861, qp time, 2328.7585322856903, backward_time, 63.029799699783325
Random seed, 12, forward time, 1038.2639212608337, qp time, 2379.010725736618, backward_time, 53.34376406669617
Random seed, 22, forward time, 717.045382976532, qp time, 2708.727479696274, backward_time, 51.69426107406616
Random seed, 4, forward time, 1100.8814759254456, qp time, 2410.7955329418182, backward_time, 54.69918155670166
Random seed, 2, forward time, 1147.8377969264984, qp time, 2468.3982379436493, backward_time, 54.25860643386841
Random seed, 7, forward time, 904.5096309185028, qp time, 2759.2043492794037, backward_time, 54.26338171958923
Random seed, 5, forward time, 981.4203460216522, qp time, 3126.94091296196, backward_time, 60.80115795135498
