Random seed, 12, forward time, 590.1929731369019, qp time, 453.2880218029022, backward_time, 66.38807535171509
Random seed, 28, forward time, 743.5271828174591, qp time, 437.11494541168213, backward_time, 64.92435884475708
Random seed, 16, forward time, 890.1086027622223, qp time, 471.92286682128906, backward_time, 77.41672110557556
Random seed, 26, forward time, 980.8193964958191, qp time, 411.2944493293762, backward_time, 62.570770502090454
Random seed, 9, forward time, 1092.5342621803284, qp time, 471.7350380420685, backward_time, 80.84876346588135
Random seed, 10, forward time, 1072.633526802063, qp time, 504.43986654281616, backward_time, 84.17677330970764
Random seed, 19, forward time, 1227.6793949604034, qp time, 413.9192142486572, backward_time, 64.31596851348877
Random seed, 7, forward time, 1199.2515349388123, qp time, 446.0186948776245, backward_time, 87.88785219192505
Random seed, 5, forward time, 1232.3506028652191, qp time, 473.02234959602356, backward_time, 78.95468306541443
Random seed, 13, forward time, 1342.094025850296, qp time, 395.6260316371918, backward_time, 57.07912993431091
Random seed, 17, forward time, 1307.724800825119, qp time, 425.8116500377655, backward_time, 76.2838659286499
Random seed, 11, forward time, 1356.6270349025726, qp time, 427.37294697761536, backward_time, 75.17582273483276
Random seed, 6, forward time, 1238.5000488758087, qp time, 514.7811436653137, backward_time, 98.32853817939758
Random seed, 30, forward time, 1384.6721603870392, qp time, 421.0316491127014, backward_time, 72.81728529930115
Random seed, 18, forward time, 1347.0055224895477, qp time, 472.7885730266571, backward_time, 79.23698830604553
Random seed, 8, forward time, 1454.7524523735046, qp time, 445.39841628074646, backward_time, 58.71962809562683
Random seed, 20, forward time, 1365.7396984100342, qp time, 468.6494677066803, backward_time, 86.40409517288208
Random seed, 23, forward time, 1438.452803850174, qp time, 436.92306685447693, backward_time, 71.39205169677734
Random seed, 24, forward time, 1305.5956466197968, qp time, 543.5061647891998, backward_time, 96.80067467689514
Random seed, 14, forward time, 1505.646729707718, qp time, 467.76792335510254, backward_time, 72.64216589927673
Random seed, 27, forward time, 1468.7157063484192, qp time, 459.73392820358276, backward_time, 77.32965040206909
Random seed, 2, forward time, 1617.5902483463287, qp time, 462.0611445903778, backward_time, 66.80252766609192
Random seed, 15, forward time, 1504.4619960784912, qp time, 504.78066849708557, backward_time, 88.88447332382202
Random seed, 21, forward time, 1490.9144101142883, qp time, 496.384122133255, backward_time, 94.59054040908813
Random seed, 29, forward time, 1582.4306693077087, qp time, 467.59153008461, backward_time, 91.58437299728394
Random seed, 25, forward time, 1634.6379339694977, qp time, 462.53451704978943, backward_time, 73.28315138816833
Random seed, 4, forward time, 1739.346417427063, qp time, 480.4761469364166, backward_time, 86.7265522480011
Random seed, 22, forward time, 1700.7767181396484, qp time, 552.2782032489777, backward_time, 109.90810322761536
Random seed, 1, forward time, 2192.620196580887, qp time, 511.9709641933441, backward_time, 71.58775591850281
Random seed, 3, forward time, 1920.1491162776947, qp time, 744.0888919830322, backward_time, 119.13469123840332
