Random seed, 21, forward time, 229.14208483695984, qp time, 3567.4650485515594, backward_time, 29.090373277664185
Random seed, 17, forward time, 332.7146666049957, qp time, 5799.030798912048, backward_time, 43.8714017868042
Random seed, 5, forward time, 227.24775314331055, qp time, 6403.15855717659, backward_time, 43.194700956344604
Random seed, 10, forward time, 453.0377006530762, qp time, 7227.631718158722, backward_time, 57.79152846336365
Random seed, 29, forward time, 309.9366970062256, qp time, 7690.468027353287, backward_time, 52.58779239654541
Random seed, 25, forward time, 435.58268785476685, qp time, 8104.354271411896, backward_time, 62.2368278503418
Random seed, 8, forward time, 371.7317416667938, qp time, 9480.514908075333, backward_time, 66.24485993385315
Random seed, 16, forward time, 460.87990975379944, qp time, 9919.301581144333, backward_time, 62.02959752082825
Random seed, 26, forward time, 613.2749953269958, qp time, 10459.825800180435, backward_time, 73.39211964607239
Random seed, 3, forward time, 432.28165793418884, qp time, 11765.182510137558, backward_time, 77.45803570747375
Random seed, 22, forward time, 525.9939200878143, qp time, 12479.30923628807, backward_time, 77.86716651916504
Random seed, 7, forward time, 717.8618178367615, qp time, 13492.097535848618, backward_time, 99.00239753723145
Random seed, 23, forward time, 667.471328496933, qp time, 15208.868871212006, backward_time, 98.45203733444214
Random seed, 28, forward time, 825.5527503490448, qp time, 15637.888429164886, backward_time, 109.54367756843567
Random seed, 2, forward time, 736.0192699432373, qp time, 17171.38513803482, backward_time, 125.52561092376709
Random seed, 11, forward time, 898.488067150116, qp time, 16838.569416046143, backward_time, 125.26179361343384
Random seed, 24, forward time, 707.8945260047913, qp time, 18641.699780464172, backward_time, 129.10781264305115
Random seed, 9, forward time, 274.91730284690857, qp time, 19774.782306671143, backward_time, 107.95791363716125
Random seed, 27, forward time, 375.7944531440735, qp time, 22684.56271624565, backward_time, 153.37369751930237
Random seed, 13, forward time, 949.8452234268188, qp time, 23236.872131109238, backward_time, 160.0586278438568
Random seed, 30, forward time, 1199.2556614875793, qp time, 26950.33819961548, backward_time, 185.10070729255676
Random seed, 6, forward time, 1160.0108239650726, qp time, 27578.39795589447, backward_time, 185.2913088798523
Random seed, 19, forward time, 1247.3868987560272, qp time, 27588.10987997055, backward_time, 193.03403639793396
Random seed, 1, forward time, 1523.690931558609, qp time, 31382.796447515488, backward_time, 217.15121388435364
Random seed, 15, forward time, 1217.7361254692078, qp time, 31681.19880580902, backward_time, 182.37433528900146
Random seed, 4, forward time, 875.4054038524628, qp time, 33001.494678497314, backward_time, 237.97566199302673
Random seed, 14, forward time, 968.2708370685577, qp time, 36656.05796980858, backward_time, 212.3611867427826
Random seed, 20, forward time, 1384.3992311954498, qp time, 42799.62727475166, backward_time, 272.51164650917053
Random seed, 12, forward time, 770.9685297012329, qp time, 45067.95763587952, backward_time, 276.23920130729675
