n,two-stage,decision-focused,surrogate
20,-0.00362196,-0.00362196,-0.00362196,0.00000000
30,0.00621436,0.00621436,0.00621436,0.00000000
40,0.01133894,0.01133894,0.01133894,0.00000000
50,0.01491866,0.01491866,0.01491866,0.00000000
60,0.01773561,0.01773561,0.01773561,0.00000000
80,0.02206972,0.02206972,0.02206972,0.00000000
100,0.02536004,0.02536004,0.02536004,0.00000000
120,0.02811674,0.02811674,0.02811674,0.00000000
150,0.03153011,0.03153011,0.03153011,0.00000000
200,0.03611683,0.03611683,0.03611683,0.00000000
n,two-stage,decision-focused,surrogate
20,0.00000000,-0.07739763,-0.05881358,0.00000000
30,0.00000000,-0.05755254,-0.04115953,0.00000000
40,0.00000000,-0.04505055,-0.03180731,0.00000000
50,0.00000000,-0.03734314,-0.02635316,0.00000000
60,0.00000000,-0.03139607,-0.02304735,0.00000000
80,0.00000000,-0.02241720,-0.01814664,0.00000000
100,0.00000000,-0.01771355,-0.01505902,0.00000000
120,0.00000000,-0.01489608,-0.01290220,0.00000000
150,0.00000000,-0.01263222,-0.01092211,0.00000000
200,0.00000000,-0.01096814,-0.00879352,0.00000000
