n,two-stage,decision-focused,surrogate
20,1.37049460,1.88605762,1.80780578
30,1.48915601,2.24015069,2.26057529
40,1.68887591,2.60539651,2.58512735
50,1.81598806,3.09392428,3.02667212
60,2.15202570,3.58945680,3.45193052
80,2.60357094,4.38168740,4.46543622
100,3.02033091,5.33572602,5.51514030
120,3.50091624,0.00000000,6.79032469
150,3.97602201,8.16332889,7.94958019
200,5.29617858,10.25961256,0.00000000
n,two-stage,decision-focused,surrogate
20,7.83728027,8.12747145,4.69253731
30,11.83344460,12.61547208,6.34777284
40,20.52047992,20.69045734,8.33807778
50,28.09036326,34.26283860,11.05110598
60,49.11319518,54.01849723,14.14141893
80,86.24760842,76.18736863,23.84384632
100,139.76816773,128.61911225,40.88983536
120,241.74427032,0.00000000,66.23137569
150,323.13879108,352.03374839,83.71134233
200,771.03622770,689.57216954,0.00000000
n,two-stage,decision-focused,surrogate
20,0.00000000,0.00000000,0.00000000
30,0.00000000,0.00000000,0.00000000
40,0.00000000,0.00000000,0.00000000
50,0.00000000,0.00000000,0.00000000
60,0.00000000,0.00000000,0.00000000
80,0.00000000,0.00000000,0.00000000
100,0.00000000,0.00000000,0.00000000
120,0.00000000,0.00000000,0.00000000
150,0.00000000,0.00000000,0.00000000
200,0.00000000,0.00000000,0.00000000
n,two-stage,decision-focused,surrogate
20,1.99259257,3.61013556,3.71741891
30,1.95558405,3.99595976,4.31337976
40,2.10772681,4.58814716,4.84209228
50,2.08196735,5.26345682,5.45367742
60,2.26940060,6.24808383,6.20426035
80,2.46718669,7.35591078,7.76076746
100,2.59215975,8.89594579,9.51889563
120,2.74038601,0.00000000,11.71265197
150,2.81491160,14.24188304,13.43098021
200,3.36650562,19.97753358,0.00000000
