mode, epoch, average loss, defender utility,
training,-1,0,-4.885932432,-4.623156071
validating,-1,0,-5.032515049,-2.679028034
testing,-1,0,-4.786828995,-4.960216522
training,0,2.629137421,-4.770295511,-4.8084445
validating,0,2.80893507,-4.808778286,-4.768735886
testing,0,2.605722499,-4.801486254,-4.809990883
training,1,2.587616866,-4.757195868,-4.902732849
validating,1,2.651934242,-4.73119545,-4.40933466
testing,1,2.450176692,-4.760025072,-4.645814896
training,2,2.109264289,-4.56849872,-4.386817932
validating,2,1.859614825,-4.489751434,-4.976425171
testing,2,1.660417974,-4.341417789,-4.404036045
training,3,1.864385152,-4.334278563,-4.409246445
validating,3,2.034887004,-4.364414454,-4.391544342
testing,3,1.778358448,-4.157820129,-3.595828295
training,4,2.080542452,-4.283209767,-4.222952366
validating,4,2.02037127,-4.387457752,-5.497975349
testing,4,1.76880585,-4.157788992,-4.416391373
training,5,1.954081089,-4.277795124,-4.428576946
validating,5,1.980363822,-4.340382862,-4.42128849
testing,5,1.725833833,-4.140447307,-3.511901379
training,6,1.900353381,-4.276025438,-4.231017113
validating,6,1.970099282,-4.362195778,-4.171988487
testing,6,1.721370137,-4.147592187,-4.280250072
training,7,1.970965018,-4.275032806,-4.280281544
validating,7,1.901480985,-4.335211945,-4.331084251
testing,7,1.654626834,-4.133296442,-4.198822975
training,8,1.865418581,-4.269609458,-4.024050236
validating,8,1.79971745,-4.336870766,-3.877776384
testing,8,1.560639679,-4.133641195,-5.164429665
training,9,1.857110395,-4.266418403,-4.212900639
validating,9,1.885352635,-4.340629292,-4.58267498
testing,9,1.644061792,-4.126284695,-4.198775291
training,10,1.814421412,-4.270559781,-3.996085405
validating,10,1.738716769,-4.332271099,-3.824223995
testing,10,1.5031371,-4.12048645,-3.953193188
training,11,1.811421766,-4.267584481,-4.333399296
validating,11,1.811561322,-4.329700375,-4.356347084
testing,11,1.579469001,-4.125340819,-4.60336256
training,12,1.716880366,-4.262443999,-4.373591423
validating,12,1.774806714,-4.310504627,-4.441472054
testing,12,1.541384327,-4.116067123,-3.771694183
training,13,1.757611901,-4.258882236,-4.15058136
validating,13,1.768103576,-4.318941689,-4.110075474
testing,13,1.536214864,-4.119340944,-3.789824724
training,14,1.740864127,-4.258721202,-4.345497608
validating,14,1.752116799,-4.316105843,-4.555613518
testing,14,1.521760476,-4.118571091,-4.843266487
training,15,1.733083561,-4.258802748,-4.169181824
validating,15,1.734111714,-4.316085339,-4.318940163
testing,15,1.505305421,-4.117319679,-3.791403532
training,16,1.703397802,-4.257660804,-3.96336937
validating,16,1.729966474,-4.320654297,-3.192418575
testing,16,1.502013457,-4.117677593,-4.102005959
training,17,1.707282349,-4.260229329,-4.517428875
validating,17,1.73691566,-4.312796307,-3.851266861
testing,17,1.508043373,-4.11857512,-4.396120071
training,18,1.698641958,-4.257377468,-4.071692944
validating,18,1.720638204,-4.316409111,-5.582893372
testing,18,1.493199003,-4.118578959,-3.753238201
training,19,1.7155742,-4.257068259,-4.056670666
validating,19,1.738748288,-4.313446999,-4.665402412
testing,19,1.510686576,-4.11799159,-3.93059659
mode, epoch, average loss, defender utility,
training,-1,0,-2.720739542,-2.526464939
validating,-1,0,-2.669401932,-3.36204195
testing,-1,0,-2.68301363,-2.250397205
training,0,1.601575071,-2.464185401,-2.483346224
validating,0,2.302769136,-2.441697502,-2.428630352
testing,0,1.411454415,-2.477780485,-2.37326026
training,1,1.600811369,-2.464085599,-2.441749811
validating,1,2.298175478,-2.44086585,-2.427297115
testing,1,1.408744931,-2.477342653,-2.57231617
training,2,1.58747922,-2.461775017,-2.495983362
validating,2,2.238376427,-2.429167366,-2.509083271
testing,2,1.375108862,-2.471574569,-2.513446569
training,3,1.511971739,-2.444103186,-2.432524443
validating,3,2.00388813,-2.384085846,-2.30106926
testing,3,1.254444051,-2.450005817,-2.554768085
training,4,1.367764762,-2.416061967,-2.367147684
validating,4,1.715353847,-2.342519331,-2.470126629
testing,4,1.161336935,-2.436271715,-2.47285533
training,5,1.270660319,-2.408438083,-2.380753517
validating,5,1.624164414,-2.344507551,-2.48351717
testing,5,1.089454949,-2.429841423,-2.148439884
training,6,1.216327977,-2.405182736,-2.340778351
validating,6,1.630041957,-2.345387316,-2.152764797
testing,6,1.062481415,-2.428821754,-2.33570981
training,7,1.193294937,-2.403657096,-2.41297245
validating,7,1.573205733,-2.344026232,-2.225976944
testing,7,1.038314044,-2.427912831,-2.227594852
training,8,1.149847756,-2.401949011,-2.478407621
validating,8,1.534287858,-2.343340349,-2.665246487
testing,8,1.004867017,-2.425762486,-2.314480543
training,9,1.111824059,-2.401013429,-2.30276823
validating,9,1.523070979,-2.342778397,-2.618097544
testing,9,0.976961267,-2.426415586,-2.325294256
training,10,1.070040345,-2.399484103,-2.331918716
validating,10,1.448880792,-2.342563915,-2.478875637
testing,10,0.929060137,-2.423918748,-2.338440418
training,11,1.005531999,-2.397963217,-2.338768959
validating,11,1.391541553,-2.341418505,-2.264567852
testing,11,0.883413374,-2.422568035,-2.502904892
training,12,0.957084353,-2.397063344,-2.266266584
validating,12,1.333860087,-2.339151669,-2.198370934
testing,12,0.829549444,-2.422295213,-2.485802889
training,13,0.917503463,-2.395668745,-2.464573622
validating,13,1.3249789,-2.338633204,-2.392021656
testing,13,0.824821794,-2.422679973,-2.290916681
training,14,0.908925813,-2.395555122,-2.327943087
validating,14,1.313738561,-2.33834033,-2.10058856
testing,14,0.818034613,-2.422406125,-2.462554455
training,15,0.901478904,-2.395106799,-2.304025412
validating,15,1.303255439,-2.337928295,-2.459862232
testing,15,0.812345159,-2.420897365,-2.458058119
training,16,0.893281473,-2.395066568,-2.341944695
validating,16,1.292301345,-2.337602377,-1.995770454
testing,16,0.806185615,-2.420543885,-2.459544897
training,17,0.886133579,-2.395020335,-2.395185232
