mode, epoch, average loss, defender utility,
training,-1,0.353086032,-2.54247545,0
validating,-1,0.356050444,-3.066741133,0
testing,-1,0.356418055,-3.042352092,0
training,0,2.997135196,-3.538449294,0
validating,0,2.917189693,-3.540738869,0
testing,0,2.99312253,-3.525122261,0
training,1,2.551763374,-3.430982815,0
validating,1,1.650216246,-3.023493099,0
testing,1,1.698253524,-2.966096425,0
training,2,1.353646687,-2.572876433,0
validating,2,1.160760736,-2.986981487,0
testing,2,1.255648124,-2.795500612,0
training,3,0.990104124,-2.49837732,0
validating,3,0.660919404,-2.91821146,0
testing,3,0.706187624,-2.75108614,0
training,4,0.517738625,-2.456271412,0
validating,4,0.441083264,-3.025017357,0
testing,4,0.451681143,-2.977598095,0
training,5,0.444368822,-2.46387211,0
validating,5,0.419500208,-2.960771465,0
testing,5,0.421102744,-2.942367673,0
training,6,0.430352565,-2.463758931,0
validating,6,0.416258192,-2.868541908,0
testing,6,0.405246395,-2.88560375,0
training,7,0.421084898,-2.468220122,0
validating,7,0.408825135,-2.980958748,0
testing,7,0.406094033,-2.983238959,0
training,8,0.417954373,-2.484170204,0
validating,8,0.413426137,-3.053085184,0
testing,8,0.414938599,-3.023317266,0
training,9,0.418600845,-2.479280265,0
validating,9,0.409604287,-2.917020082,0
testing,9,0.395625001,-2.94481622,0
training,10,0.41664051,-2.501652333,0
validating,10,0.411722279,-2.89402585,0
testing,10,0.396238226,-2.92114799,0
training,11,0.414089114,-2.507425922,0
validating,11,0.412342715,-2.893890619,0
testing,11,0.396037906,-2.920394731,0
training,12,0.418565525,-2.489118334,0
validating,12,0.4098557,-3.025586462,0
testing,12,0.407814795,-3.008116722,0
training,13,0.418046495,-2.509201217,0
validating,13,0.41268568,-2.88358469,0
testing,13,0.396594077,-2.905630028,0
training,14,0.419242086,-2.470924503,0
validating,14,0.426674604,-3.135656118,0
testing,14,0.436020344,-3.109185898,0
training,15,0.432373602,-2.546443106,0
validating,15,0.407317591,-2.978894234,0
testing,15,0.401839918,-2.99131186,0
training,16,0.415511778,-2.472115486,0
validating,16,0.408186007,-2.988326693,0
testing,16,0.402289337,-2.998433065,0
training,17,0.41559282,-2.482814604,0
validating,17,0.408347106,-2.910636473,0
testing,17,0.395772403,-2.92247206,0
training,18,0.414583588,-2.473011207,0
validating,18,0.408559656,-3.013457251,0
testing,18,0.407786936,-3.003990352,0
training,19,0.416540367,-2.491777528,0
validating,19,0.410925555,-3.038609171,0
testing,19,0.411287194,-3.018618989,0
mode, epoch, average loss, defender utility,
training,-1,0.415562592,-1.634822318,0
validating,-1,0.448922348,-1.389996569,0
testing,-1,0.458341992,-1.434536822,0
training,0,2.827438157,-1.936825534,0
validating,0,2.906200409,-1.91852808,0
testing,0,2.757993674,-1.957822371,0
training,1,2.781357459,-1.923760496,0
validating,1,2.665355206,-1.860616088,0
testing,1,2.535454202,-1.90798409,0
training,2,1.94562007,-1.773479264,0
validating,2,1.314638662,-1.633268881,0
testing,2,1.269198096,-1.732617879,0
training,3,1.213315027,-1.682151168,0
validating,3,1.238657808,-1.593503225,0
testing,3,1.19187125,-1.688244164,0
training,4,1.120386057,-1.659185396,0
validating,4,1.161887026,-1.627301574,0
testing,4,1.111336267,-1.645383173,0
training,5,1.044224884,-1.659509053,0
validating,5,1.10289712,-1.675881112,0
testing,5,1.046842062,-1.66429069,0
