mode, epoch, average loss, defender utility,
training,-1,0.217972241,-3.711768362,0
validating,-1,0.224244785,-3.48811965,0
testing,-1,0.20643785,-3.742883348,0
training,0,2.608151218,-6.180059678,0
validating,0,3.013929033,-6.137343884,0
testing,0,2.812178993,-6.091849089,0
training,1,2.640439749,-6.116274003,0
validating,1,3.212626886,-5.794860363,0
testing,1,2.961764884,-5.675848484,0
training,2,3.368652875,-5.453595645,0
validating,2,5.715112305,-4.72541337,0
testing,2,5.343720484,-4.486982441,0
training,3,5.101191507,-5.197952557,0
validating,3,5.747413635,-4.762472439,0
testing,3,5.364084148,-4.49409883,0
training,4,5.940417045,-5.071967019,0
validating,4,9.750891685,-4.837573385,0
testing,4,9.1683918,-3.482553637,0
training,5,5.521475751,-5.547601584,0
validating,5,5.800426102,-5.172527218,0
testing,5,5.406605577,-5.127316618,0
training,6,5.020912879,-5.45954865,0
validating,6,5.960471439,-5.175997829,0
testing,6,5.557745504,-5.09549365,0
training,7,5.149771799,-5.407793706,0
validating,7,6.111192608,-5.088434029,0
testing,7,5.700231647,-5.077538967,0
training,8,5.327701746,-5.398622751,0
validating,8,6.334270096,-5.078582191,0
testing,8,5.911194277,-4.987584543,0
training,9,5.520400865,-5.361698723,0
validating,9,6.583898258,-5.017799854,0
testing,9,6.147496367,-4.97148571,0
training,10,5.740237835,-5.309148278,0
validating,10,6.842786503,-4.943680954,0
testing,10,6.392622042,-4.836690807,0
training,11,6.031229728,-5.274204063,0
validating,11,7.228642654,-4.833431578,0
testing,11,6.758262348,-4.401994824,0
training,12,6.149908434,-5.271294859,0
validating,12,6.919451427,-4.951835251,0
testing,12,6.465231848,-4.801314783,0
training,13,5.926889896,-5.305816732,0
validating,13,6.933555603,-4.925934124,0
testing,13,6.478586197,-4.877203178,0
training,14,5.950161811,-5.309888792,0
validating,14,6.963117123,-4.875868034,0
testing,14,6.506587315,-5.021192503,0
training,15,5.976466792,-5.299660301,0
validating,15,7.003771687,-4.904913473,0
testing,15,6.545094299,-4.956355357,0
training,16,6.032119247,-5.274260616,0
validating,16,7.079238892,-4.877082443,0
testing,16,6.616589642,-4.955378389,0
training,17,6.08317025,-5.274533817,0
validating,17,7.123764515,-4.885890961,0
testing,17,6.658765411,-4.734076262,0
training,18,6.121676568,-5.335335616,0
validating,18,7.170807362,-4.800260067,0
