mode, epoch, average loss, defender utility,
training,-1,0.217972263,-3.711946443,0
validating,-1,0.224244761,-3.488108778,0
testing,-1,0.20643779,-3.743210578,0
training,0,2.608151238,-6.180059229,0
validating,0,3.013929033,-6.137343693,0
testing,0,2.812178993,-6.091848326,0
training,1,2.450413084,-6.160050528,0
validating,1,2.227882099,-5.998379421,0
testing,1,2.077537239,-5.771325636,0
training,2,1.425461367,-5.694873851,0
validating,2,0.940041327,-4.766685295,0
testing,2,0.843254548,-5.310472727,0
training,3,0.881835415,-4.860412993,0
validating,3,0.680524516,-4.310131168,0
testing,3,0.619194287,-4.835355473,0
training,4,0.799922296,-4.690311575,0
validating,4,0.647485614,-4.194882393,0
testing,4,0.571043354,-4.602075791,0
training,5,0.780806972,-4.567137384,0
validating,5,0.690285444,-4.077109814,0
testing,5,0.597740257,-4.583206558,0
training,6,0.785662692,-4.45957222,0
validating,6,0.654641175,-4.21281538,0
testing,6,0.564751148,-4.518280101,0
training,7,0.771560063,-4.483690292,0
validating,7,0.617929912,-4.203576803,0
testing,7,0.532223284,-4.527503061,0
training,8,0.758606245,-4.404454511,0
validating,8,0.59968636,-4.042114449,0
testing,8,0.516551125,-4.500415349,0
training,9,0.755802585,-4.395185804,0
validating,9,0.618802547,-3.946406794,0
testing,9,0.531653702,-4.505427718,0
training,10,0.741550815,-4.353503442,0
validating,10,0.587777925,-4.085644531,0
testing,10,0.508813381,-4.393813372,0
training,11,0.747729778,-4.355572455,0
validating,11,0.654591513,-3.913005829,0
testing,11,0.569521523,-4.513152695,0
training,12,0.754751558,-4.371440916,0
validating,12,0.581357336,-4.157481384,0
testing,12,0.505343163,-4.476680875,0
training,13,0.739775913,-4.313163796,0
validating,13,0.593272376,-4.100214672,0
testing,13,0.513473165,-4.446237111,0
training,14,0.733188074,-4.378246144,0
validating,14,0.611094189,-3.897836351,0
testing,14,0.521693754,-4.411683714,0
training,15,0.722858879,-4.32051302,0
validating,15,0.574699497,-3.999801111,0
testing,15,0.494818085,-4.377104008,0
training,16,0.725857776,-4.330369111,0
validating,16,0.606893373,-3.90697875,0
testing,16,0.521960652,-4.443633866,0
training,17,0.712285667,-4.223457176,0
validating,17,0.57236445,-3.922039557,0
testing,17,0.490581262,-4.3940575,0
training,18,0.698592533,-4.170429066,0
validating,18,0.546482968,-4.030535603,0
testing,18,0.471442682,-4.367527032,0
