mode, epoch, average loss, defender utility
training, -1, 0.6804828390479087, -9.097340476512908
testing, -1, 0.6948590576648712, -6.670372676849365
training, 0, 1.880047047138214, -13.88426605463028
testing, 0, 1.9687299311161042, -11.619079303741454
training, 1, 1.8776143938302994, -13.869839334487915
testing, 1, 1.9637185037136078, -11.581756067276
training, 2, 1.8681155771017075, -13.810942268371582
testing, 2, 1.9455520927906036, -11.434427070617676
training, 3, 1.8335394829511642, -13.352944564819335
testing, 3, 1.8993620932102204, -10.118381595611572
training, 4, 1.7645019620656968, -12.456618356704713
testing, 4, 1.8101201355457306, -9.262143611907959
training, 5, 1.6909235090017318, -12.537955713272094
testing, 5, 1.7743830978870392, -9.219173431396484
training, 6, 1.6284910678863525, -12.543208944797517
testing, 6, 1.7040651738643646, -10.238461828231811
training, 7, 1.5639934241771698, -12.542551589012145
testing, 7, 1.6498044908046723, -10.26474471092224
training, 8, 1.5131027713418006, -12.742863607406616
testing, 8, 1.6111224472522736, -10.327147197723388
training, 9, 1.4820164039731025, -12.722543108463288
testing, 9, 1.5899884521961212, -10.449652433395386
training, 10, 1.463623271882534, -12.910248219966888
testing, 10, 1.5792095959186554, -10.491663789749145
training, 11, 1.4489434972405433, -12.697629380226136
testing, 11, 1.575708121061325, -10.446865367889405
training, 12, 1.4386879593133926, -12.699053692817689
testing, 12, 1.5659574568271637, -11.457233428955078
training, 13, 1.4338481307029725, -12.67538343667984
testing, 13, 1.5667468011379242, -11.413967084884643
training, 14, 1.4263162299990655, -12.669036364555359
testing, 14, 1.564024692773819, -11.437576580047608
training, 15, 1.422061450779438, -12.661779916286468
testing, 15, 1.563425999879837, -11.419849729537964
training, 16, 1.421751818060875, -12.651784896850586
testing, 16, 1.561533397436142, -11.445159769058227
training, 17, 1.4122675567865373, -12.904143750667572
testing, 17, 1.5590341150760652, -11.475106477737427
training, 18, 1.4143728911876678, -12.861022019386292
testing, 18, 1.5603505671024323, -11.46311845779419
training, 19, 1.4144362434744835, -12.855354630947113
testing, 19, 1.5601774632930756, -11.43303918838501
