mode, epoch, average loss, defender utility
training, -1, 1.8910496371132988, -6.305076081412179
validating, -1, 1.8422057628631592, -6.534871578216553
mode, epoch, average loss, defender utility
mode, epoch, average loss, defender utility
training, -1, 1.835589119366237, -6.068883623395648
validating, -1, 1.4823952913284302, -6.35423469543457
testing, -1, 1.6765538454055786, -6.460572719573975
training, 0, 3.1016909394945418, -8.528693880353655
validating, 0, 3.1405534744262695, -9.247118949890137
testing, 0, 3.082945227622986, -9.89436388015747
training, 1, 3.1016909394945418, -8.528821400233678
validating, 1, 3.1405534744262695, -9.247180938720703
testing, 1, 3.082945227622986, -9.894186019897461
training, 2, 3.1016909394945418, -8.529050282069615
validating, 2, 3.1405534744262695, -9.247011184692383
testing, 2, 3.082945227622986, -9.894145488739014
training, 3, 3.1016909394945418, -8.528800419398717
validating, 3, 3.1405534744262695, -9.247076034545898
testing, 3, 3.082945227622986, -9.894107341766357
training, 4, 3.1016909394945418, -8.528757095336914
validating, 4, 3.1405534744262695, -9.24703311920166
mode, epoch, average loss, defender utility
training, -1, 1.835589119366237, -6.068883623395648
validating, -1, 1.4823952913284302, -6.35423469543457
testing, -1, 1.6765538454055786, -6.460572719573975
training, 0, 3.1016909394945418, -8.528693880353655
validating, 0, 3.1405534744262695, -9.247118949890137
testing, 0, 3.082945227622986, -9.89436388015747
training, 1, 3.1016909394945418, -8.528821400233678
validating, 1, 3.1405534744262695, -9.247180938720703
testing, 1, 3.082945227622986, -9.894186019897461
training, 2, 3.1016909394945418, -8.529050282069615
validating, 2, 3.1405534744262695, -9.247011184692383
testing, 2, 3.082945227622986, -9.894145488739014
training, 3, 3.1016909394945418, -8.528800419398717
validating, 3, 3.1405534744262695, -9.247076034545898
testing, 3, 3.082945227622986, -9.894107341766357
mode, epoch, average loss, defender utility
training, 0, 3.1016909394945418, -8.528589384896415
validating, 0, 3.1405534744262695, -9.247092247009277
testing, 0, 3.082945227622986, -9.894253253936768
mode, epoch, average loss, defender utility
training, 0, 3.1016909394945418, -8.528589384896415
validating, 0, 3.1405534744262695, -9.247092247009277
testing, 0, 3.082945227622986, -9.894253253936768
training, 1, 3.1016909394945418, -8.528693880353655
validating, 1, 3.1405534744262695, -9.247118949890137
testing, 1, 3.082945227622986, -9.89436388015747
training, 2, 3.1016909394945418, -8.528821400233678
validating, 2, 3.1405534744262695, -9.247180938720703
testing, 2, 3.082945227622986, -9.894186019897461
training, 3, 3.1016909394945418, -8.529050282069615
validating, 3, 3.1405534744262695, -9.247011184692383
testing, 3, 3.082945227622986, -9.894145488739014
mode, epoch, average loss, defender utility
training, 0, 3.1016909394945418, -8.528589384896415
validating, 0, 3.1405534744262695, -9.247092247009277
testing, 0, 3.082945227622986, -9.894253253936768
training, 1, 3.1016909394945418, -8.528693880353655
mode, epoch, average loss, defender utility
training, -1, 1.835589119366237, -6.068883623395648
validating, -1, 1.4823952913284302, -6.35423469543457
testing, -1, 1.6765538454055786, -6.460572719573975
training, 0, 3.1016909394945418, -8.528693880353655
validating, 0, 3.1405534744262695, -9.247118949890137
testing, 0, 3.082945227622986, -9.89436388015747
mode, epoch, average loss, defender utility
training, -1, 1.835589119366237, -6.068883623395648
validating, -1, 1.4823952913284302, -6.35423469543457
testing, -1, 1.6765538454055786, -6.460572719573975
training, 0, 3.10165878704616, -8.528534616742816
validating, 0, 3.1405224800109863, -9.24708080291748
testing, 0, 3.0829237699508667, -9.894082069396973
