mode, epoch, average loss, defender utility
training, -1, 1.2760662521634782, -3.897922364303044
validating, -1, 1.2874519586563111, -3.0101516962051393
testing, -1, 1.2408595144748689, -3.9852145433425905
training, 0, 2.4908389806747437, -4.338869856085096
validating, 0, 2.786668801307678, -3.432099723815918
testing, 0, 2.401911425590515, -4.376676946878433
training, 1, 2.484677733693804, -4.334365199293409
validating, 1, 2.736954426765442, -3.401946496963501
testing, 1, 2.3687369346618654, -4.327175217866897
training, 2, 2.321512358529227, -4.221922196660723
validating, 2, 2.1741066217422484, -3.142844581604004
testing, 2, 1.984404945373535, -4.098486751317978
training, 3, 1.6430649280548095, -3.940854113442557
validating, 3, 1.1516696214675903, -3.0269630771395803
testing, 3, 1.1582495510578155, -3.8254967987537385
training, 4, 1.084420473234994, -3.8638059207371303
validating, 4, 0.973742938041687, -3.039906692504883
testing, 4, 0.9037243068218231, -3.8336847543716432
training, 5, 0.9314837557928902, -3.7429982355662754
validating, 5, 0.9125994920730591, -3.0726516586062553
testing, 5, 0.8721278965473175, -3.8152133941650392
training, 6, 0.9015699488776071, -3.683057527882712
validating, 6, 0.8979839086532593, -3.0748178958892822
testing, 6, 0.8766908466815948, -3.8027405977249145
training, 7, 0.8930392231260027, -3.6770245347704207
validating, 7, 0.8987991571426391, -3.0777741432189942
testing, 7, 0.8777915298938751, -3.8089738726615905
training, 8, 0.8945874009813581, -3.6773638027054925
validating, 8, 0.8957031011581421, -3.0730327367782593
testing, 8, 0.8785236895084381, -3.8079627454280853
training, 9, 0.8907875333513532, -3.6751355137143817
validating, 9, 0.9027567625045776, -3.078398619246209
testing, 9, 0.8780222237110138, -3.99058575630188
training, 10, 0.8909656729016985, -3.6776454738208226
validating, 10, 0.9046930074691772, -3.0805976014849783
testing, 10, 0.8789149582386017, -3.9904343843460084
training, 11, 0.8918101617268154, -3.678477672168187
validating, 11, 0.8970774412155151, -3.076364850997925
testing, 11, 0.8770669400691986, -3.8078534483909605
training, 12, 0.8892880984715053, -3.677708770547594
validating, 12, 0.902999472618103, -3.0802053451538085
testing, 12, 0.8788499772548676, -3.9892810225486754
training, 13, 0.8907067367008754, -3.6732339773859297
validating, 13, 0.9032086610794068, -3.0791996240615847
testing, 13, 0.8763953268527984, -3.989567255973816
training, 14, 0.8925600869315011, -3.673487707546779
validating, 14, 0.902915358543396, -3.0793641090393065
testing, 14, 0.8768490135669709, -3.996462714672089
training, 15, 0.8891602890832083, -3.6750572408948625
validating, 15, 0.9029265642166138, -3.077056860923767
testing, 15, 0.8771362125873565, -3.9960170924663543
training, 16, 0.8902816329683576, -3.6811728511537822
validating, 16, 0.9150208234786987, -3.0818548679351805
testing, 16, 0.8754643261432647, -3.9981591939926147
training, 17, 0.8899169308798653, -3.677773288318089
validating, 17, 0.9037391424179078, -3.07665322835418
testing, 17, 0.8760199844837189, -3.807571452856064
training, 18, 0.8901987382343837, -3.6771186096327644
validating, 18, 0.9054062604904175, -3.078414487838745
testing, 18, 0.8727913558483124, -3.8088567078113558
training, 19, 0.8891448293413434, -3.6815659540040153
validating, 19, 0.904736590385437, -3.078080892562866
testing, 19, 0.8724394857883453, -3.8004232048988342
training, 20, 0.8847422974450248, -3.674783624921526
validating, 20, 0.9050557851791382, -3.0780882835388184
testing, 20, 0.872258871793747, -3.808712363243103
training, 21, 0.8848503351211547, -3.6752865399633134
validating, 21, 0.9059396028518677, -3.0785258293151854
testing, 21, 0.8724746882915497, -3.808724820613861
training, 22, 0.8847594703946795, -3.6749198062079294
validating, 22, 0.9056101083755493, -3.0784995794296264
testing, 22, 0.8725667297840118, -3.808617854118347
training, 23, 0.8846311228615897, -3.6747456789016724
validating, 23, 0.9060901403427124, -3.0786583185195924
testing, 23, 0.8726694405078887, -3.8086018800735473
training, 24, 0.8845623867852347, -3.6749777810914175
validating, 24, 0.9066526174545289, -3.0786396980285646
testing, 24, 0.8722707092761993, -3.8088228046894073
