mode, epoch, average loss, defender utility
training, -1, 1.6499389103480748, -3.5214459555489674
validating, -1, 1.8800812244415284, -4.310426092147827
testing, -1, 1.9820129156112671, -3.4101861238479616
training, 0, 2.182842106478555, -3.3858875819614958
validating, 0, 2.690688133239746, -4.487613725662231
testing, 0, 2.4962570011615752, -3.584042716026306
training, 1, 2.182673021725246, -3.3623726027352467
validating, 1, 2.6892843723297117, -4.487102317810058
testing, 1, 2.4950341880321503, -3.5811087608337404
training, 2, 2.1791620339666093, -3.361073473521641
validating, 2, 2.677618455886841, -4.478845167160034
testing, 2, 2.4848441541194917, -3.5785573959350585
training, 3, 2.1700129611151557, -3.3591733728136335
validating, 3, 2.6515928745269775, -4.468970918655396
testing, 3, 2.4638799905776976, -3.5696584939956666
training, 4, 2.1428963150296894, -3.3523570946284704
validating, 4, 2.5796023845672607, -4.42730598449707
testing, 4, 2.4041352570056915, -3.5422643661499023
training, 5, 2.0989506449018207, -3.341092906679426
validating, 5, 2.4994534969329836, -4.4001177787780765
testing, 5, 2.3470615446567535, -3.511007523536682
training, 6, 2.026710065773555, -3.326742104121617
validating, 6, 2.2991222143173218, -4.349801254272461
testing, 6, 2.1931992411613463, -3.432407188415527
training, 7, 1.868404710292816, -3.302407843726022
validating, 7, 2.005752420425415, -4.27726674079895
testing, 7, 1.9763335049152375, -3.308084487915039
training, 8, 1.713238285269056, -3.661309450335521
validating, 8, 1.825893497467041, -4.247670221328735
testing, 8, 1.85797678232193, -3.245033597946167
training, 9, 1.617698540006365, -3.8340821743939517
validating, 9, 1.7055546283721923, -4.222502422332764
testing, 9, 1.7539692521095276, -3.1877218008041384
training, 10, 1.5463139278548104, -3.8210888463097508
validating, 10, 1.6232226371765137, -4.203546047210693
testing, 10, 1.687171083688736, -3.144677233695984
training, 11, 1.498760894366673, -3.7936796164578652
validating, 11, 1.5723634481430053, -4.205053234100342
testing, 11, 1.617176604270935, -3.0838756561279297
training, 12, 1.4749561999525342, -3.8053681871915095
validating, 12, 1.5364266633987427, -4.104205322265625
testing, 12, 1.5690883159637452, -3.044867753982544
training, 13, 1.4383145579269954, -3.9347772761819653
validating, 13, 1.4820028781890868, -4.076755475997925
testing, 13, 1.5362779438495635, -2.9570329189300537
training, 14, 1.4517165567193713, -3.919212463923863
validating, 14, 1.5062670707702637, -4.126698303222656
testing, 14, 1.5830198049545288, -3.142897200584412
training, 15, 1.4783234332289015, -3.9546446119035994
validating, 15, 1.5281874895095826, -4.191490650177002
testing, 15, 1.6188683331012725, -3.170780062675476
training, 16, 1.4877512182508197, -3.951436310155051
validating, 16, 1.5230171442031861, -4.169188976287842
testing, 16, 1.606170892715454, -3.1603513956069946
training, 17, 1.4660790392330714, -3.9496799332754953
validating, 17, 1.5028140783309936, -4.0886444568634035
testing, 17, 1.5672446250915528, -3.133324670791626
training, 18, 1.4465387914861951, -3.92399863992749
validating, 18, 1.4876940965652465, -4.071285438537598
testing, 18, 1.5320035874843598, -2.9568795204162597
training, 19, 1.438534950358527, -3.951201888493129
validating, 19, 1.4982771158218384, -4.063538885116577
testing, 19, 1.5538293957710265, -2.954901599884033
training, 20, 1.4422767962728227, -3.9157480103628974
validating, 20, 1.5080235004425049, -4.087441635131836
testing, 20, 1.5658639073371887, -2.9632723808288572
training, 21, 1.4698248296976089, -3.906365837369646
validating, 21, 1.649405264854431, -4.326874399185181
testing, 21, 1.7287417471408844, -3.7994727976620197
training, 22, 1.5630844405719213, -4.017341913495745
validating, 22, 1.8072696924209595, -4.526800441741943
testing, 22, 1.8939099550247191, -3.5464901685714723
training, 23, 1.6800147656883513, -4.109220754762954
validating, 23, 1.9088167428970337, -4.871821069717408
testing, 23, 1.9972185134887694, -3.6413875579833985
training, 24, 1.7378497234412602, -4.12146939890725
validating, 24, 1.9647956848144532, -4.934847259521485
testing, 24, 2.0537902116775513, -3.6795233726501464
