mode, epoch, average loss, defender utility
training, -1, 1.6499389103480748, -3.5214459555489674
validating, -1, 1.8800812244415284, -4.310426092147827
testing, -1, 1.9820129156112671, -3.4101861238479616
training, 0, 2.182842106478555, -3.3858875819614958
validating, 0, 2.690688133239746, -4.487613725662231
testing, 0, 2.4962570011615752, -3.584042716026306
training, 1, 2.181554421356746, -3.361447824750628
validating, 1, 2.6807631969451906, -4.479121398925781
testing, 1, 2.485873407125473, -3.5800182104110716
training, 2, 2.1630751388413567, -3.360327502659389
validating, 2, 2.613363027572632, -4.429387474060059
testing, 2, 2.416067236661911, -3.552042293548584
training, 3, 2.0892684119088307, -3.5857311632642257
validating, 3, 2.380966901779175, -4.308650779724121
testing, 3, 2.1822877049446108, -3.429600167274475
training, 4, 1.8952482155391148, -3.8940808905905078
validating, 4, 1.9368996620178223, -4.191350698471069
testing, 4, 1.7830315828323364, -3.1835065364837645
training, 5, 1.6531564610345022, -4.057930312500581
validating, 5, 1.612834358215332, -4.10973801612854
testing, 5, 1.571411234140396, -3.046273183822632
training, 6, 1.5691376728670938, -4.045916554580617
validating, 6, 1.5322538137435913, -4.095544147491455
testing, 6, 1.5723842561244965, -3.279565143585205
training, 7, 1.521148748908724, -4.020000927788871
validating, 7, 1.4848965883255005, -4.09294753074646
testing, 7, 1.5349001169204712, -3.181014895439148
training, 8, 1.450496574810573, -3.9688134942735944
validating, 8, 1.4632506847381592, -4.132300901412964
testing, 8, 1.4979755342006684, -2.9592539072036743
training, 9, 1.4415852435997554, -3.9437860826116613
validating, 9, 1.4840991973876954, -4.128362083435059
testing, 9, 1.517830640077591, -2.9896194458007814
training, 10, 1.4301428147724697, -3.9194654175378534
validating, 10, 1.4858423709869384, -4.114774179458618
testing, 10, 1.531223177909851, -3.00272057056427
training, 11, 1.4295679569244384, -3.921307160847732
validating, 11, 1.4824977159500121, -4.115501117706299
testing, 11, 1.535745269060135, -2.9880991220474242
training, 12, 1.4284204508577074, -3.9208117089985812
validating, 12, 1.4808474063873291, -4.115122222900391
testing, 12, 1.532142996788025, -2.9852100133895876
training, 13, 1.4285778794969832, -3.9161879798641217
validating, 13, 1.4742970705032348, -4.119954776763916
testing, 13, 1.5206887245178222, -2.9768598318099975
training, 14, 1.4270202611173903, -3.911562303134373
validating, 14, 1.475119376182556, -4.124934339523316
testing, 14, 1.511747235059738, -2.978732466697693
training, 15, 1.4265421518257686, -3.9123283999306815
validating, 15, 1.4772402763366699, -4.121837902069092
testing, 15, 1.513691282272339, -2.980468511581421
training, 16, 1.426904445886612, -3.9127509893755863
validating, 16, 1.4743221759796143, -4.120055723190307
testing, 16, 1.5197799801826477, -2.971939778327942
training, 17, 1.428094357252121, -3.9019443403037566
validating, 17, 1.4733681440353394, -4.12543888092041
testing, 17, 1.5114452958106994, -2.972839045524597
training, 18, 1.4319994722093854, -3.9117212295532227
validating, 18, 1.4843838691711426, -4.116076469421387
testing, 18, 1.5197371602058412, -2.986661434173584
training, 19, 1.424824401310512, -3.910832954127654
validating, 19, 1.4783229589462281, -4.117547512054443
testing, 19, 1.5184099435806275, -2.9776637077331545
training, 20, 1.422961172887257, -3.909828466707677
validating, 20, 1.4780311822891234, -4.1177221775054935
testing, 20, 1.5183746933937072, -2.977068781852722
training, 21, 1.42300620504788, -3.9099196601112065
validating, 21, 1.4784021139144898, -4.117869472503662
testing, 21, 1.518704104423523, -2.977599358558655
training, 22, 1.4230104608195169, -3.9098482445241967
validating, 22, 1.478454327583313, -4.117493152618408
testing, 22, 1.5188121676445008, -2.9775919198989866
training, 23, 1.4228778992380415, -3.9097595412621495
validating, 23, 1.478473973274231, -4.11714243888855
testing, 23, 1.5187070786952972, -2.9773615837097167
training, 24, 1.4229613840579987, -3.91005150658083
validating, 24, 1.4781373739242554, -4.118109083175659
testing, 24, 1.5180901408195495, -2.97673499584198
