mode, epoch, average loss, defender utility
training, -1, 2.706518965108054, -2.997216623170035
validating, -1, 3.2802247047424316, -2.6432752097956835
testing, -1, 2.669661271572113, -1.2875978512190187
training, 0, 3.3761515889848983, -3.072313957220953
validating, 0, 4.039626407623291, -3.047506916057597
testing, 0, 3.228622579574585, -1.6778257803171186
training, 1, 3.375138354301453, -3.0721448806652267
validating, 1, 4.034093284606934, -3.0463289852256934
testing, 1, 3.224919581413269, -1.6766293147534213
training, 2, 3.3672967774527414, -3.4955084679348145
validating, 2, 4.006796646118164, -3.039644479751587
testing, 2, 3.206409049034119, -1.6773890135479632
training, 3, 3.3348356212888444, -3.4858243668976945
validating, 3, 3.9237445831298827, -2.780254590045979
testing, 3, 3.1507845163345336, -1.6907017737591787
training, 4, 3.2338047674724035, -3.5261305244416428
validating, 4, 3.718853759765625, -2.728762257564557
testing, 4, 3.018344533443451, -1.7359558820724488
training, 5, 3.103028620992388, -3.725779843433515
validating, 5, 3.4887343406677247, -2.521489679348059
testing, 5, 2.8724208950996397, -1.244096130436435
training, 6, 2.8991638353892735, -3.6017084728832742
validating, 6, 3.1487149238586425, -2.4817183322732945
testing, 6, 2.673116719722748, -1.897483823366639
training, 7, 2.71642940725599, -3.166757299373483
validating, 7, 2.978022050857544, -2.4698277416171663
testing, 7, 2.5690945744514466, -1.906731107307087
training, 8, 2.6513176577431814, -3.1686613204117844
validating, 8, 2.9925143718719482, -2.460303402412376
testing, 8, 2.557471239566803, -1.9013604355546447
training, 9, 2.6128074441637312, -3.1914300645167275
validating, 9, 2.90002384185791, -2.4600583376826535
testing, 9, 2.512010633945465, -1.9085886962128824
training, 10, 2.6227011374064855, -3.1677390563242493
validating, 10, 2.9888607978820803, -2.4598533215465297
testing, 10, 2.5544659972190855, -1.902036044871099
training, 11, 2.6401954344340735, -3.1474284627924036
validating, 11, 2.948677396774292, -2.4596013188362007
testing, 11, 2.5343583941459658, -1.9052346229553223
training, 12, 2.5878632817949567, -3.193615423589058
validating, 12, 2.8309412479400633, -2.4594260754527797
testing, 12, 2.478274238109589, -1.9095266819000245
training, 13, 2.587544345855713, -3.205587167293249
validating, 13, 2.9632264614105224, -2.4574888357886495
testing, 13, 2.5376593708992004, -1.9028595931235486
training, 14, 2.6311858585902623, -3.15082719833517
validating, 14, 2.9788113117218016, -2.4538604497909544
testing, 14, 2.538371503353119, -1.9006336688995362
training, 15, 2.6145998750414168, -3.1518439068812865
validating, 15, 2.9108179569244386, -2.4541431069374027
testing, 15, 2.5066468834877016, -1.9056718309306688
training, 16, 2.6080943516322543, -3.197601456099131
validating, 16, 3.1075227737426756, -2.461146873468394
testing, 16, 2.6155538678169252, -1.8860635042190552
training, 17, 2.8846356187547957, -2.9767144662993212
validating, 17, 3.6768290519714357, -2.7028790063686534
testing, 17, 2.9733666300773622, -1.7286973476409913
training, 18, 3.1341170004435948, -3.284754898992356
validating, 18, 3.7672313690185546, -2.735061997407911
testing, 18, 3.0347092270851137, -1.7328009605407715
training, 19, 3.1760809080941335, -3.105937602213934
validating, 19, 3.798052978515625, -2.742838610474064
testing, 19, 3.0559592127799986, -1.7344771862030028
training, 20, 3.1903264863150462, -3.5299845837614936
validating, 20, 3.8018597602844237, -2.7437471865191925
testing, 20, 3.0586684346199036, -1.7345529317855835
training, 21, 3.17378317969186, -3.5282689302653645
validating, 21, 3.75773229598999, -2.732591432565684
testing, 21, 3.0281742930412294, -1.7321099519729615
training, 22, 3.1494303839547295, -3.0960226491478906
validating, 22, 3.7264395713806153, -2.724008083343506
testing, 22, 3.006860101222992, -1.7308068037033082
training, 23, 3.1170524971825735, -3.5330885478428464
validating, 23, 3.671846103668213, -2.700513357156757
testing, 23, 2.9696043610572813, -1.7289781808853149
training, 24, 3.0914747510637555, -3.2635298491555056
validating, 24, 3.667125034332275, -2.696919894218445
testing, 24, 2.9663867115974427, -1.7283396005630494
