mode, epoch, average loss, defender utility
training, -1, 2.412035243851798, -6.1953253746032715
validating, -1, 2.9186015129089355, -5.410711288452148
testing, -1, 2.358696222305298, -5.356093645095825
training, 0, 3.0364325046539307, -6.12334292275565
validating, 0, 3.4360122680664062, -5.270048141479492
testing, 0, 2.9475221633911133, -5.793479681015015
training, 1, 3.036285298211234, -6.123573235103062
validating, 1, 3.43576717376709, -5.2706170082092285
testing, 1, 2.9469406604766846, -5.794027328491211
training, 2, 3.0353359835488454, -6.122778620038714
validating, 2, 3.4344630241394043, -5.271230697631836
testing, 2, 2.9433951377868652, -5.791274547576904
training, 3, 3.029106855392456, -6.121123654501779
validating, 3, 3.428957462310791, -5.271974563598633
testing, 3, 2.9265573024749756, -5.7827770709991455
training, 4, 3.0071750708988736, -6.114850725446429
validating, 4, 3.4086761474609375, -5.277118682861328
testing, 4, 2.8726062774658203, -5.7553770542144775
training, 5, 2.952544791357858, -6.096846171787807
validating, 5, 3.376702308654785, -5.290667533874512
testing, 5, 2.765110969543457, -5.6992480754852295
training, 6, 2.868542262486049, -6.063305582318987
validating, 6, 3.346339225769043, -5.3205156326293945
testing, 6, 2.612624406814575, -5.61422324180603
training, 7, 2.7662505762917653, -6.039541040148054
validating, 7, 3.3196325302124023, -5.36638069152832
testing, 7, 2.452890396118164, -5.518800258636475
training, 8, 2.7180756500789096, -6.031623976571219
validating, 8, 3.34434175491333, -5.395802974700928
testing, 8, 2.375035285949707, -5.466348648071289
training, 9, 2.707780565534319, -6.016245773860386
validating, 9, 3.451169013977051, -5.370892524719238
testing, 9, 2.435240864753723, -5.482063293457031
training, 10, 2.745844909123012, -6.006828376225063
validating, 10, 3.5734848976135254, -5.355145454406738
testing, 10, 2.505556344985962, -5.496955394744873
training, 11, 2.7806380476270403, -5.999351228986468
validating, 11, 3.74113130569458, -5.374933242797852
testing, 11, 2.5054826736450195, -5.470771312713623
training, 12, 2.8195890358516147, -6.007975782666888
validating, 12, 3.8356752395629883, -5.384419918060303
testing, 12, 2.5045347213745117, -5.453756332397461
training, 13, 2.790646416800363, -6.000753402709961
validating, 13, 3.6291704177856445, -5.361497402191162
testing, 13, 2.460275650024414, -5.467123031616211
training, 14, 2.74484121799469, -5.996562480926514
validating, 14, 3.6492795944213867, -5.3621015548706055
testing, 14, 2.458470582962036, -5.462598085403442
training, 15, 2.7823424679892406, -5.9894578116280695
validating, 15, 3.7919254302978516, -5.360260009765625
testing, 15, 2.522783041000366, -5.476696252822876
training, 16, 2.8463048253740584, -5.988285882132394
validating, 16, 3.895993709564209, -5.360064506530762
testing, 16, 2.563049554824829, -5.481342554092407
training, 17, 2.827428409031459, -5.995970181056431
validating, 17, 3.6889233589172363, -5.355073928833008
testing, 17, 2.4699785709381104, -5.468943357467651
training, 18, 2.801610061100551, -5.987828186580113
validating, 18, 3.790532112121582, -5.359248161315918
testing, 18, 2.5128231048583984, -5.478176832199097
training, 19, 2.8193831784384593, -5.983055319104876
validating, 19, 3.78934383392334, -5.356670379638672
testing, 19, 2.509859800338745, -5.476937770843506
