mode, epoch, average loss, defender utility
training, -1, 1.5071579728807722, -3.500053644180298
validating, -1, 2.3344712257385254, -3.4999961853027344
testing, -1, 1.5208113193511963, -3.4999945163726807
training, 0, 1.9062847750527518, -3.500003065381731
validating, 0, 2.6804962158203125, -3.500000476837158
testing, 0, 2.0029542446136475, -3.5000035762786865
training, 1, 1.9026473590305872, -3.50000330380031
validating, 1, 2.664754867553711, -3.500000476837158
testing, 1, 1.984341025352478, -3.5000040531158447
training, 2, 1.8585569177355086, -3.5000079359327043
validating, 2, 2.575057029724121, -3.5000498294830322
testing, 2, 1.879346251487732, -3.5000323057174683
training, 3, 1.7482349872589111, -3.500002929142543
validating, 3, 2.431400775909424, -3.4999966621398926
testing, 3, 1.7391893863677979, -3.5000005960464478
training, 4, 1.6484249659946986, -3.5000020435878207
validating, 4, 2.413321018218994, -3.4998490810394287
testing, 4, 1.7591768503189087, -3.5
training, 5, 1.6117049029895238, -3.500000204358782
validating, 5, 2.400939464569092, -3.499999761581421
testing, 5, 1.671301007270813, -3.499999523162842
training, 6, 1.5221461824008398, -3.5000036103384837
validating, 6, 2.3835020065307617, -3.499999523162842
testing, 6, 1.5662712454795837, -3.4999992847442627
training, 7, 1.4676203642572676, -3.5000028950827464
validating, 7, 2.392622232437134, -3.4999985694885254
testing, 7, 1.494605302810669, -3.499987244606018
training, 8, 1.4110544153622218, -3.4999197210584367
validating, 8, 2.4950673580169678, -3.4996559619903564
testing, 8, 1.4779319763183594, -3.483027935028076
training, 9, 1.3724876727376665, -3.4996908732822964
validating, 9, 2.6148295402526855, -3.4901928901672363
testing, 9, 1.4805183410644531, -3.457730293273926
training, 10, 1.355212492602212, -3.4995787143707275
validating, 10, 2.666867733001709, -3.4846246242523193
testing, 10, 1.4728037118911743, -3.4681758880615234
training, 11, 1.357647853238242, -3.485980749130249
validating, 11, 2.7362828254699707, -3.4845738410949707
testing, 11, 1.4829455018043518, -3.4942184686660767
training, 12, 1.3531012790543693, -3.4807657514299666
validating, 12, 2.732293128967285, -3.492802143096924
testing, 12, 1.4709879159927368, -3.4929169416427612
training, 13, 1.3501214725630624, -3.4850896426609586
validating, 13, 2.6556615829467773, -3.4976353645324707
testing, 13, 1.440872609615326, -3.466833472251892
training, 14, 1.354322373867035, -3.4955730778830394
validating, 14, 2.6289939880371094, -3.49879789352417
testing, 14, 1.4364217519760132, -3.4605371952056885
training, 15, 1.3490027104105269, -3.4939547947474887
validating, 15, 2.7129764556884766, -3.4855713844299316
testing, 15, 1.4678291082382202, -3.4760777950286865
training, 16, 1.3502863901002067, -3.4905334881373813
validating, 16, 2.6895833015441895, -3.489095687866211
testing, 16, 1.4647888541221619, -3.4678527116775513
training, 17, 1.3500092455318995, -3.4948294843946184
validating, 17, 2.678866386413574, -3.492262840270996
testing, 17, 1.46147620677948, -3.464479446411133
training, 18, 1.3454171844891138, -3.495962142944336
validating, 18, 2.683218479156494, -3.491298198699951
testing, 18, 1.4629008173942566, -3.465293049812317
training, 19, 1.3456903781209673, -3.4960300581795827
validating, 19, 2.680692195892334, -3.499305486679077
testing, 19, 1.4619063138961792, -3.4647510051727295
