mode, epoch, average loss, defender utility
training, -1, 2.4077724558966502, -3.2952855073225303e-06
validating, -1, 2.465179920196533, -1.6093254089355469e-06
testing, -1, 3.0238239765167236, -1.555681046738755e-05
training, 0, 2.914257049560547, -1.8392290712654358e-06
validating, 0, 2.869507074356079, -2.145766984540387e-06
testing, 0, 3.1937508583068848, -1.3411044506028702e-06
training, 1, 2.9122893469674245, -1.6859599847001455e-06
validating, 1, 2.8666017055511475, -1.6093254089355469e-06
testing, 1, 3.1894781589508057, -1.8775462535813858e-06
training, 2, 2.8981449944632396, -1.7625945117418138e-06
validating, 2, 2.8466856479644775, -1.0728834922701935e-06
testing, 2, 3.1593382358551025, -1.6093252952487092e-06
training, 3, 2.8144857542855397, -1.3027872520459432e-06
validating, 3, 2.7821147441864014, -1.0728834922701935e-06
testing, 3, 3.0655760765075684, -2.1457670982272248e-06
training, 4, 2.621968609946115, -1.2261527087632982e-06
validating, 4, 2.6359899044036865, 0.0
testing, 4, 2.875456690788269, -1.6093252952487092e-06
training, 5, 2.285171559878758, -1.9158634683792897e-06
validating, 5, 2.382146120071411, -1.0728834922701935e-06
testing, 5, 2.6345698833465576, -3.486871491986676e-06
training, 6, 1.824763229915074, -4.35284164593343e-05
validating, 6, 2.0838475227355957, 0.0
testing, 6, 2.6161762475967407, -9.548663365421817e-05
training, 7, 1.5079507998057775, -0.0002330456045131411
validating, 7, 1.9111840724945068, 0.0
testing, 7, 2.8890300989151, -0.00044417381286621094
training, 8, 1.3904466458729334, 1.2761055145861715
validating, 8, 1.8258423805236816, -5.364417461350968e-07
testing, 8, 3.146093964576721, -0.013765635900199413
training, 9, 1.3963760478155953, 1.282773724624089
validating, 9, 1.7959578037261963, 0.0
testing, 9, 3.3021498918533325, -0.004312183242404899
