mode, epoch, average loss, defender utility
training, -1, 0.0, -2.9602009023938862
validating, -1, 0.0, -2.9495269298553466
testing, -1, 0.0, nan
training, 0, 1.4304712193352835, -3.4546086311340334
validating, 0, 1.3484448194503784, -3.4864744663238527
testing, 0, 1.2793381810188293, nan
training, 1, 1.4133314166750226, -3.443929706301008
validating, 1, 1.274882698059082, -3.4360846042633058
testing, 1, 1.2099613428115845, nan
training, 2, 1.072320318222046, -3.2048255443572997
validating, 2, 0.577417254447937, -2.9955978393554688
testing, 2, 0.5517115354537964, nan
training, 3, 0.4034706098692758, -2.9020185743059432
validating, 3, 0.2565878927707672, -3.032254362106323
testing, 3, 0.22838757038116456, nan
training, 4, 0.3112164182322366, -2.852345929827009
validating, 4, 0.234991717338562, -3.021247148513794
testing, 4, 0.19256467819213868, nan
training, 5, 0.26384736938135966, -2.8274657249450685
validating, 5, 0.20595331192016603, -3.0081336975097654
testing, 5, 0.14983956515789032, nan
training, 6, 0.22502837862287248, -2.7988951785223826
validating, 6, 0.18887584805488586, -2.977187967300415
testing, 6, 0.1122438669204712, nan
training, 7, 0.18132812253066471, -2.7739830800465177
validating, 7, 0.22211862802505494, -2.932980537414551
testing, 7, 0.13444919288158416, nan
training, 8, 0.1757984106029783, -2.7441076721463884
validating, 8, 0.20176931619644164, -2.901974582672119
testing, 8, 0.08825275003910064, nan
training, 9, 0.1681486359664372, -2.7229898725237165
validating, 9, 0.21272917240858077, -2.880470895767212
testing, 9, 0.08186633884906769, nan
training, 10, 0.14653005599975585, -2.7058191878455027
validating, 10, 0.21660594195127486, -2.8611289978027346
testing, 10, 0.07299039661884307, nan
training, 11, 0.15582073160580226, -2.6962103503090993
validating, 11, 0.21241406947374344, -2.8329728126525877
testing, 11, 0.0533331573009491, nan
training, 12, 0.14785356436456953, -2.6816884347370693
validating, 12, 0.24052633643150328, -2.8477773666381836
testing, 12, 0.08567678034305573, nan
training, 13, 0.1630238320146288, -2.6866622005190166
validating, 13, 0.2346665158867836, -2.839337873458862
testing, 13, 0.07586240917444229, nan
training, 14, 0.15343766808509826, -2.6824413197381154
validating, 14, 0.23125928789377212, -2.837407922744751
testing, 14, 0.06936226785182953, nan
training, 15, 0.14751946670668467, -2.6745097262518747
validating, 15, 0.22926692217588424, -2.8349564552307127
testing, 15, 0.0655380591750145, nan
training, 16, 0.1475523863519941, -2.6740081821169173
validating, 16, 0.23003051429986954, -2.8343034744262696
testing, 16, 0.06611983478069305, nan
training, 17, 0.14597193130425046, -2.6732870272227696
validating, 17, 0.22842598408460618, -2.832283878326416
testing, 17, 0.06318910866975784, nan
training, 18, 0.14392356617110116, -2.672608528818403
validating, 18, 0.22900738269090654, -2.8340155601501467
testing, 18, 0.06457271128892898, nan
training, 19, 0.1456290798527854, -2.672536948748997
validating, 19, 0.2291826382279396, -2.830837678909302
testing, 19, 0.06414680182933807, nan
training, 20, 0.14574389713151115, -2.6723607982907978
validating, 20, 0.22864209860563278, -2.8332362174987793
testing, 20, 0.0637904241681099, nan
training, 21, 0.14400609476225718, -2.6716386897223336
validating, 21, 0.22950844317674637, -2.8322656631469725
testing, 21, 0.06381933987140656, nan
training, 22, 0.1416799302612032, -2.67124741758619
validating, 22, 0.22865555435419083, -2.8301281929016113
testing, 22, 0.06273913681507111, nan
training, 23, 0.14407960389341626, -2.670733049937657
validating, 23, 0.23033648282289504, -2.830891227722168
testing, 23, 0.06551199853420257, nan
training, 24, 0.1455623916217259, -2.670697001048497
validating, 24, 0.23019163757562638, -2.8312775611877443
testing, 24, 0.06524559110403061, nan
training, 25, 0.14546307410512652, -2.670651241711208
validating, 25, 0.23020552545785905, -2.8307181358337403
testing, 25, 0.06528075039386749, nan
training, 26, 0.1456157522542136, -2.6706269468579973
validating, 26, 0.2302839145064354, -2.831191825866699
testing, 26, 0.06541554629802704, nan
training, 27, 0.14558103595461164, -2.670604569571359
validating, 27, 0.23020092099905015, -2.8311742305755616
testing, 27, 0.06521586328744888, nan
training, 28, 0.14520767075674876, -2.670499587059021
validating, 28, 0.2300671473145485, -2.831240177154541
testing, 28, 0.06492177844047546, nan
training, 29, 0.1453464823109763, -2.6704819338662285
validating, 29, 0.23023015707731248, -2.8311077117919923
testing, 29, 0.06517009884119034, -2.739860677719116
