mode, epoch, average loss, defender utility
training, -1, 0.0, nan
validating, -1, 0.0, nan
testing, -1, 0.0, nan
training, 0, 0.7401442340442113, nan
validating, 0, 0.6328362822532654, nan
testing, 0, 0.6566706895828247, nan
training, 1, 0.7195890852383204, nan
validating, 1, 0.5560195326805115, nan
testing, 1, 0.5794732093811035, nan
training, 2, 0.43271329147475107, nan
validating, 2, 0.15606989860534667, nan
testing, 2, 0.18157534301280975, nan
training, 3, 0.1249324632542474, nan
validating, 3, 0.04889235496520996, nan
testing, 3, 0.0693003386259079, nan
training, 4, 0.06022017214979444, nan
validating, 4, 0.03435335159301758, nan
testing, 4, 0.04439913630485535, nan
training, 5, 0.055569709624562945, nan
validating, 5, 0.0391352653503418, nan
testing, 5, 0.04132867455482483, nan
training, 6, 0.05271109129701342, nan
validating, 6, 0.030038368701934815, nan
testing, 6, 0.04172294139862061, nan
training, 7, 0.051880125062806266, nan
validating, 7, 0.02871229648590088, nan
testing, 7, 0.04145503044128418, nan
training, 8, 0.05208270677498409, nan
validating, 8, 0.03423665761947632, nan
testing, 8, 0.037863099575042726, nan
training, 9, 0.05021147855690548, nan
validating, 9, 0.028685450553894043, nan
testing, 9, 0.03675528168678284, nan
training, 10, 0.048425517337662836, nan
validating, 10, 0.02537229061126709, nan
testing, 10, 0.03589251339435577, nan
training, 11, 0.049582291926656454, nan
validating, 11, 0.02268301248550415, nan
testing, 11, 0.03586548566818237, nan
training, 12, 0.04622828321797507, nan
validating, 12, 0.02681311368942261, nan
testing, 12, 0.03324558436870575, nan
training, 13, 0.04424927362373897, nan
validating, 13, 0.022827374935150146, nan
testing, 13, 0.032287153601646426, nan
training, 14, 0.04605997332504817, nan
validating, 14, 0.02455967664718628, nan
testing, 14, 0.031072777509689332, nan
training, 15, 0.04214394560882023, nan
validating, 15, 0.017985594272613526, nan
testing, 15, 0.030019959807395934, nan
training, 16, 0.04028543872492654, nan
validating, 16, 0.017693150043487548, nan
testing, 16, 0.028755006194114686, nan
training, 17, 0.03786083246980395, nan
validating, 17, 0.016733121871948243, nan
testing, 17, 0.027220746874809264, nan
training, 18, 0.03716396902288709, nan
validating, 18, 0.01820993423461914, nan
testing, 18, 0.02638595402240753, nan
training, 19, 0.03602513287748609, nan
validating, 19, 0.013377010822296143, nan
testing, 19, 0.025107958912849428, nan
training, 20, 0.034551749910627094, nan
validating, 20, 0.007586622238159179, nan
testing, 20, 0.024752750992774963, nan
training, 21, 0.033407513584409444, nan
validating, 21, 0.00923750400543213, nan
testing, 21, 0.02366795539855957, nan
training, 22, 0.030794585176876613, nan
validating, 22, 0.006247520446777344, nan
testing, 22, 0.023486188054084776, nan
training, 23, 0.02999160715511867, nan
validating, 23, 0.006505012512207031, nan
testing, 23, 0.023700189590454102, nan
training, 24, 0.028138446382113866, nan
validating, 24, 0.005354666709899902, nan
testing, 24, 0.02385498285293579, nan
training, 25, 0.02614737365927015, nan
validating, 25, 0.004980850219726563, nan
testing, 25, 0.024377763271331787, nan
training, 26, 0.0261211735861642, nan
validating, 26, 0.0036405444145202635, nan
testing, 26, 0.02519361674785614, nan
training, 27, 0.024147734471729822, nan
validating, 27, 0.0016112804412841796, nan
testing, 27, 0.025959086418151856, nan
training, 28, 0.023346381528036936, nan
validating, 28, 0.0018425464630126953, nan
testing, 28, 0.0275217205286026, nan
training, 29, 0.022099021928650993, -2.989683335168021
validating, 29, -0.00035560131072998047, -3.0603309154510496
testing, 29, 0.028450146317481995, -3.165738844871521
mode, epoch, average loss, defender utility
training, -1, 0.0, nan
validating, -1, 0.0, nan
testing, -1, 0.0, nan
training, 0, 1.5286018354552133, nan
validating, 0, 0.9664812445640564, nan
testing, 0, 1.500602161884308, nan
training, 1, 1.5247739502361843, nan
validating, 1, 0.9533144116401673, nan
testing, 1, 1.483258944749832, nan
training, 2, 1.4078461493764605, nan
validating, 2, 0.7695832014083862, nan
testing, 2, 1.248150211572647, nan
training, 3, 0.901346663066319, nan
validating, 3, 0.3083869695663452, nan
testing, 3, 0.7215400874614716, nan
training, 4, 0.42066100069454737, nan
validating, 4, 0.09598215818405151, nan
testing, 4, 0.54199098944664, nan
training, 5, 0.30185585277421134, nan
validating, 5, 0.06258830428123474, nan
testing, 5, 0.49054489731788636, nan
training, 6, 0.26814459562301635, nan
validating, 6, 0.05757125020027161, nan
testing, 6, 0.4547373652458191, nan
training, 7, 0.25140240447861806, nan
validating, 7, 0.05556597709655762, nan
testing, 7, 0.4281828284263611, nan
training, 8, 0.23649935381753104, nan
validating, 8, 0.05250778794288635, nan
testing, 8, 0.39877464771270754, nan
training, 9, 0.22097996643611362, nan
validating, 9, 0.05004553198814392, nan
testing, 9, 0.3715591490268707, nan
training, 10, 0.21058251772608075, nan
validating, 10, 0.04875608086585999, nan
testing, 10, 0.3491582214832306, nan
training, 11, 0.20359023809432983, nan
validating, 11, 0.04794161319732666, nan
testing, 11, 0.32472909688949586, nan
training, 12, 0.1932753997189658, nan
validating, 12, 0.0472712516784668, nan
testing, 12, 0.3071530759334564, nan
training, 13, 0.1844940117427281, nan
validating, 13, 0.04707437753677368, nan
testing, 13, 0.29417120218276976, nan
training, 14, 0.1781303320612226, nan
validating, 14, 0.04662697315216065, nan
testing, 14, 0.27664605975151063, nan
training, 15, 0.17043622987610954, nan
