mode, epoch, average loss, defender utility
training, -1, 0.0, -3.742758744103568
validating, -1, 0.0, -4.277543735504151
testing, -1, 0.0, nan
training, 0, 1.8344110761369978, -4.588582120622907
validating, 0, 1.7515087127685547, -4.671915531158447
testing, 0, 1.6608452558517457, nan
training, 1, 1.8110554592950003, -4.578382192339216
validating, 1, 1.6548274040222168, -4.635094165802002
testing, 1, 1.5740322828292848, nan
training, 2, 1.4067338160106113, -4.239408792768206
validating, 2, 0.8180475831031799, -4.131175136566162
testing, 2, 0.8122024774551392, nan
training, 3, 0.6551204902785165, -3.691917882646833
validating, 3, 0.6038561701774597, -4.038059234619141
testing, 3, 0.617758572101593, nan
training, 4, 0.5576044304030282, -3.6727174282073975
validating, 4, 0.5658881306648255, -4.022858047485352
testing, 4, 0.5758240818977356, nan
training, 5, 0.5468324031148638, -3.65601338659014
validating, 5, 0.5605997204780578, -4.009998798370361
testing, 5, 0.5639570951461792, nan
training, 6, 0.5378869073731559, -3.649469246183123
validating, 6, 0.5172542691230774, -4.0045984268188475
testing, 6, 0.5254720687866211, nan
training, 7, 0.5075418591499329, -3.6269896984100343
validating, 7, 0.48932934999465943, -3.993786430358887
testing, 7, 0.4924206376075745, nan
training, 8, 0.4937656998634338, -3.6079636573791505
validating, 8, 0.4750484347343445, -3.977468729019165
testing, 8, 0.4733789086341858, nan
training, 9, 0.4981477175440107, -3.600800473349435
validating, 9, 0.47066234350204467, -3.9699912548065184
testing, 9, 0.46723254919052126, nan
training, 10, 0.4474239536694118, -3.591436086382185
validating, 10, 0.4303025364875793, -3.964281511306763
testing, 10, 0.4289966821670532, nan
training, 11, 0.4707274453980582, -3.571732589176723
validating, 11, 0.45612870454788207, -3.962972545623779
testing, 11, 0.4447234034538269, nan
training, 12, 0.44693812813077655, -3.5657348837171283
validating, 12, 0.4129969716072083, -3.968091917037964
testing, 12, 0.4057456612586975, nan
training, 13, 0.4407314385686602, -3.554666641780308
validating, 13, 0.4153276562690735, -3.967791223526001
testing, 13, 0.40661457777023313, nan
training, 14, 0.44765770265034266, -3.560259853090559
validating, 14, 0.4206670880317688, -3.9654754638671874
testing, 14, 0.4102265238761902, nan
training, 15, 0.44953006165368214, -3.5571171351841517
validating, 15, 0.4215194582939148, -3.9644618034362793
testing, 15, 0.41010751724243166, nan
training, 16, 0.44882186991827827, -3.555533368246896
validating, 16, 0.4212684273719788, -3.9627546310424804
testing, 16, 0.4085562229156494, nan
training, 17, 0.44573336839675903, -3.5517054149082727
validating, 17, 0.4172631144523621, -3.9641558170318603
testing, 17, 0.4049064040184021, nan
training, 18, 0.444071774823325, -3.5499832357679093
validating, 18, 0.4152563691139221, -3.963543939590454
testing, 18, 0.4021629452705383, nan
training, 19, 0.4447019696235657, -3.55217433656965
validating, 19, 0.4207164168357849, -3.9614569664001467
testing, 19, 0.4060135245323181, -4.188954257965088
mode, epoch, average loss, defender utility
training, -1, 0.0, -2.5421839918409077
validating, -1, 0.0, -2.386709427833557
testing, -1, 0.0, nan
training, 0, 43.041196066992626, -3.0782903262547086
validating, 0, 15.874748420715331, -3.073698043823242
testing, 0, 103.34386577606202, nan
training, 1, 42.881361273356845, -3.074242789404733
validating, 1, 15.706782150268555, -3.0555676460266112
testing, 1, 101.97705116271973, nan
training, 2, 40.90934849466596, -3.0267809459141324
validating, 2, 14.25125732421875, -3.0011149406433106
testing, 2, 90.16965599060059, nan
training, 3, 36.986594329561505, -2.9927795546395437
validating, 3, 12.902444839477539, -2.949206304550171
testing, 3, 79.25775928497315, nan
training, 4, 25.63273983682905, -2.7164103405816213
validating, 4, 7.084099960327149, -2.396013593673706
testing, 4, 35.42423830032349, nan
training, 5, 16.085080289840697, -2.361279831613813
validating, 5, 6.040529251098633, -2.252734971046448
testing, 5, 29.850786113739012, nan
training, 6, 16.839360570907594, -2.342494736398969
validating, 6, 6.161514091491699, -2.2569835901260378
testing, 6, 31.206772232055663, nan
training, 7, 15.905568483897618, -2.321764724595206
validating, 7, 5.693917465209961, -2.2472527980804444
testing, 7, 29.245045375823974, nan
training, 8, 15.347672019686017, -2.3055003336497717
validating, 8, 5.712088012695313, -2.2604660987854004
testing, 8, 29.719067096710205, nan
training, 9, 15.505382762636458, -2.301382957186018
validating, 9, 5.400807571411133, -2.2424652576446533
testing, 9, 28.388645744323732, nan
training, 10, 14.928745589937483, -2.2951054062162126
validating, 10, 5.731008148193359, -2.256136107444763
testing, 10, 30.561427974700926, nan
training, 11, 15.851969902856009, -2.302918359211513
validating, 11, 5.364028549194336, -2.2607001781463625
testing, 11, 28.633550357818603, nan
training, 12, 14.980244752338955, -2.3031564371926443
validating, 12, 5.982846450805664, -2.2385159969329833
testing, 12, 32.62569713592529, nan
training, 13, 15.945639521735055, -2.323374605178833
validating, 13, 5.923053741455078, -2.2348471879959106
testing, 13, 32.28780727386474, nan
training, 14, 15.755334533963884, -2.304327828543527
validating, 14, 5.798202705383301, -2.213694357872009
testing, 14, 31.53296356201172, nan
