mode, epoch, average loss, defender utility
training, -1, 0.0, nan
validating, -1, 0.0, nan
testing, -1, 0.0, nan
training, 0, 1.8344110386712211, nan
validating, 0, 1.7515088081359864, nan
testing, 0, 1.6608452439308166, nan
training, 1, 1.8074150085449219, nan
validating, 1, 1.6389673709869386, nan
testing, 1, 1.5601918578147889, nan
training, 2, 1.3722079277038575, nan
validating, 2, 0.7808269619941711, nan
testing, 2, 0.77809818983078, nan
training, 3, 0.527037911755698, nan
validating, 3, 0.4497525095939636, nan
testing, 3, 0.530198049545288, nan
training, 4, 0.29768142870494296, nan
validating, 4, 0.2517713189125061, nan
testing, 4, 0.30858256816864016, nan
training, 5, 0.19751698034150258, nan
validating, 5, 0.15134230852127076, nan
testing, 5, 0.21910852193832397, nan
training, 6, 0.14348502244268144, nan
validating, 6, 0.09531936645507813, nan
testing, 6, 0.1709951400756836, nan
training, 7, 0.11770685059683664, nan
validating, 7, 0.07800183296203614, nan
testing, 7, 0.13746129274368285, nan
training, 8, 0.10585294876779829, nan
validating, 8, 0.06797190904617309, nan
testing, 8, 0.12435336112976074, nan
training, 9, 0.09082134195736476, nan
validating, 9, 0.06904417276382446, nan
testing, 9, 0.10491666793823243, nan
training, 10, 0.08332202519689287, nan
validating, 10, 0.07216987609863282, nan
testing, 10, 0.09279265403747558, nan
training, 11, 0.07474150742803301, nan
validating, 11, 0.06514989137649536, nan
testing, 11, 0.08611534833908081, nan
training, 12, 0.06805933543613979, nan
validating, 12, 0.0706917405128479, nan
testing, 12, 0.07166988849639892, nan
training, 13, 0.05986659356525966, nan
validating, 13, 0.0574135422706604, nan
testing, 13, 0.070490562915802, nan
training, 14, 0.0531254061630794, nan
validating, 14, 0.06555439233779907, nan
testing, 14, 0.0637640118598938, nan
training, 15, 0.05040221129144941, nan
validating, 15, 0.06381943225860595, nan
testing, 15, 0.057030773162841795, nan
training, 16, 0.04333502990858895, nan
validating, 16, 0.050425481796264646, nan
testing, 16, 0.04625279903411865, nan
training, 17, 0.03675189018249512, nan
validating, 17, 0.04291023015975952, nan
testing, 17, 0.041861438751220705, nan
training, 18, 0.032423551593508036, nan
validating, 18, 0.04357322454452515, nan
testing, 18, 0.03641266822814941, nan
training, 19, 0.027201295750481743, -2.9653561864580427
validating, 19, 0.041982626914978026, -3.0337952613830566
testing, 19, 0.029979169368743896, -3.0363890409469603
mode, epoch, average loss, defender utility
training, -1, 0.0, nan
validating, -1, 0.0, nan
testing, -1, 0.0, nan
training, 0, 43.041196135112216, nan
validating, 0, 15.874748420715331, nan
testing, 0, 103.34386501312255, nan
training, 1, 42.97691969871521, nan
validating, 1, 15.817450714111327, nan
testing, 1, 102.87947731018066, nan
training, 2, 42.437922784260344, nan
validating, 2, 15.305854225158692, nan
testing, 2, 98.69991512298584, nan
training, 3, 38.87815564700535, nan
validating, 3, 13.254219055175781, nan
testing, 3, 82.19436111450196, nan
training, 4, 30.042258283070154, nan
validating, 4, 9.776797866821289, nan
testing, 4, 55.02412414550781, nan
training, 5, 20.176309333528792, nan
validating, 5, 5.848648262023926, nan
testing, 5, 27.874411964416502, nan
training, 6, 15.205788605553764, nan
validating, 6, 4.71683521270752, nan
testing, 6, 22.269322204589844, nan
training, 7, 14.79790325845991, nan
validating, 7, 4.440636062622071, nan
testing, 7, 21.12730464935303, nan
training, 8, 14.284719582966396, nan
validating, 8, 4.417984199523926, nan
testing, 8, 20.956560802459716, nan
training, 9, 14.315575524738856, nan
validating, 9, 4.271925544738769, nan
testing, 9, 20.22793436050415, nan
training, 10, 14.114111975261144, nan
validating, 10, 4.263586044311523, nan
testing, 10, 20.038757705688475, nan
training, 11, 13.862514856883458, nan
validating, 11, 4.01690673828125, nan
testing, 11, 18.99866952896118, nan
training, 12, 13.818726750782558, nan
validating, 12, 4.050347328186035, nan
testing, 12, 18.87386703491211, nan
training, 13, 13.738856499535697, nan
validating, 13, 4.05325756072998, nan
testing, 13, 18.673600101470946, nan
training, 14, 13.44409658568246, nan
validating, 14, 3.8658145904541015, nan
testing, 14, 17.822756195068358, nan
training, 15, 13.375197185788835, nan
validating, 15, 3.869976806640625, nan
testing, 15, 17.637796115875243, nan
training, 16, 13.29158684185573, nan
validating, 16, 3.8297571182250976, nan
testing, 16, 17.297769451141356, nan
training, 17, 13.015427950450352, nan
validating, 17, 3.859404754638672, nan
testing, 17, 17.121432781219482, nan
training, 18, 12.89843111719404, nan
validating, 18, 3.7914085388183594, nan
testing, 18, 16.670047187805174, nan
training, 19, 12.793286657333374, -1.4476800543921335
validating, 19, 3.7839231491088867, -1.2853254079818726
testing, 19, 16.389013481140136, -1.37590192258358
mode, epoch, average loss, defender utility
training, -1, 0.0, nan
validating, -1, 0.0, nan
testing, -1, 0.0, nan
training, 0, 23.58861631665911, nan
validating, 0, 26.307493591308592, nan
testing, 0, 13.038164567947387, nan
training, 1, 23.442944853646413, nan
validating, 1, 25.04102325439453, nan
testing, 1, 12.420781183242799, nan
training, 2, 19.26954174041748, nan
validating, 2, 13.570088577270507, nan
testing, 2, 6.609545183181763, nan
training, 3, 8.325617926461357, nan
validating, 3, 8.22224006652832, nan
testing, 3, 3.5163543701171873, nan
training, 4, 6.418257195608956, nan
validating, 4, 6.190447998046875, nan
testing, 4, 2.7993528842926025, nan
training, 5, 5.05987937109811, nan
