mode, epoch, average loss, defender utility
training, -1, 0.0, -3.8696225915636333, -3.3368966579437256
validating, -1, 0.0, -4.179861068725586, -3.7059764862060547
testing, -1, 0.0, -4.20950837135315, -3.597067356109619
training, 0, 1.8354149886540003, -4.170301055908203, -4.168524265289307
validating, 0, 1.8220237731933593, -4.20390625, -4.199051856994629
testing, 0, 2.0603323221206664, -4.185631513595581, -4.190502643585205
training, 1, 1.817800269808088, -4.166213389805385, -4.165528774261475
validating, 1, 1.7510945320129394, -4.185689640045166, -4.189443588256836
testing, 1, 1.9859232664108277, -4.166323804855347, -4.1699934005737305
training, 2, 1.398456335067749, -4.066926990236555, -4.1068034172058105
validating, 2, 0.831975269317627, -3.896378755569458, -3.9909286499023438
testing, 2, 0.9951974630355835, -3.8331302881240843, -3.9461071491241455
training, 3, 0.1791923863547189, -3.413018424170358, -3.5192947387695312
validating, 3, 0.32364668846130373, -3.659943151473999, -3.785752058029175
testing, 3, 0.4089124441146851, -3.549745965003967, -3.5943617820739746
training, 4, 0.12150940213884626, -3.325361101967948, -3.5147199630737305
validating, 4, 0.2784131050109863, -3.66013126373291, -3.6683220863342285
testing, 4, 0.3532101154327393, -3.565364623069763, -3.5775718688964844
training, 5, 0.10180011476789202, -3.3253669466291154, -3.4707300662994385
validating, 5, 0.3089775085449219, -3.6696616649627685, -3.8244845867156982
testing, 5, 0.3921222686767578, -3.5531023740768433, -3.6673426628112793
training, 6, 0.10001138278416224, -3.3242833478110176, -3.512497901916504
validating, 6, 0.26503739356994627, -3.6606857776641846, -3.7403717041015625
testing, 6, 0.3383927583694458, -3.5644228219985963, -3.6530601978302
training, 7, 0.08258116585867746, -3.3257841995784214, -3.502459764480591
validating, 7, 0.27319183349609377, -3.651104688644409, -3.6990902423858643
testing, 7, 0.34900593757629395, -3.5513413190841674, -3.5869052410125732
training, 8, 0.08533856528145926, -3.325010395050049, -3.4692862033843994
validating, 8, 0.2771183967590332, -3.6600669860839843, -3.817485809326172
testing, 8, 0.3546333074569702, -3.5508308887481688, -3.661500930786133
training, 9, 0.04368554524012974, -3.32338342666626, -3.470329523086548
validating, 9, 0.279403829574585, -3.668077993392944, -3.7578608989715576
testing, 9, 0.35789296627044676, -3.5499129772186278, -3.639430284500122
training, 10, 0.06257744516645158, -3.326598685128348, -3.4816954135894775
validating, 10, 0.27764096260070803, -3.669367790222168, -3.774880886077881
testing, 10, 0.35598766803741455, -3.543748927116394, -3.6446754932403564
training, 11, 0.056504522051130025, -3.3268564905439106, -3.505783796310425
validating, 11, 0.26255145072937014, -3.6685519218444824, -3.80755352973938
testing, 11, 0.33812339305877687, -3.5516573905944826, -3.666017532348633
training, 12, 0.033256612505231584, -3.3223598207746234, -3.4809868335723877
validating, 12, 0.23369665145874025, -3.658464765548706, -3.736602783203125
testing, 12, 0.3031401872634888, -3.5547815799713134, -3.6795074939727783
training, 13, 0.04899438449314662, -3.3237761088779996, -3.485069751739502
validating, 13, 0.23431119918823243, -3.658592367172241, -3.745020627975464
testing, 13, 0.30393686294555666, -3.552071475982666, -3.67158579826355
training, 14, 0.047081409181867324, -3.324319866725377, -3.508989095687866
validating, 14, 0.23437247276306153, -3.6586609363555906, -3.7336292266845703
testing, 14, 0.30404062271118165, -3.552735424041748, -3.6610004901885986
training, 15, 0.0417144843510219, -3.322837666102818, -3.4818670749664307
validating, 15, 0.2287822723388672, -3.6593071460723876, -3.7915711402893066
testing, 15, 0.2972410202026367, -3.554106879234314, -3.6302459239959717
training, 16, 0.03855788367135184, -3.322667339869908, -3.498851776123047
validating, 16, 0.2279209613800049, -3.6593742847442625, -3.6925711631774902
testing, 16, 0.2962337493896484, -3.5542752504348756, -3.6265006065368652
training, 17, 0.041151966367449076, -3.3230962889535087, -3.494257688522339
validating, 17, 0.22666387557983397, -3.65947003364563, -3.7054405212402344
testing, 17, 0.2947043180465698, -3.552918720245361, -3.6442744731903076
training, 18, 0.039917373657226564, -3.32399468421936, -3.4960854053497314
validating, 18, 0.2270993709564209, -3.6594127655029296, -3.7913384437561035
testing, 18, 0.29530813694000246, -3.5544750928878783, -3.660710096359253
training, 19, 0.032383687155587336, -3.322740146092006, -3.500999689102173
validating, 19, 0.2256765842437744, -3.6595201015472414, -3.7388153076171875
testing, 19, 0.29357085227966306, -3.5531893730163575, -3.6524500846862793
