mode, epoch, average loss, defender utility
training, -1, 0.0, -1.952597463982446, -3.8209011554718018
validating, -1, 0.0, -2.0938037157058718, -4.196112632751465
testing, -1, 0.0, -2.409262990951538, -3.920177459716797
training, 0, 1.8354149886540003, -3.3470121485846382, -4.882996082305908
validating, 0, 1.8220237731933593, -3.733303594589233, -4.963917255401611
testing, 0, 2.0603323221206664, -3.8247970819473265, -4.9076690673828125
training, 1, 1.8009013107844762, -3.2882589272090366, -4.874309062957764
validating, 1, 1.6793378829956054, -3.360649824142456, -4.867608070373535
testing, 1, 1.9065997362136842, -3.528139758110046, -4.856281757354736
training, 2, 1.0526169368198939, -2.5237516828945705, -4.50324010848999
validating, 2, 0.26209559440612795, -2.0509861946105956, -4.312831401824951
testing, 2, 0.3374691724777222, -2.2173830926418305, -4.097554683685303
training, 3, -0.3548540796552386, -2.0771367690392903, -3.6794486045837402
validating, 3, -0.29027981758117677, -2.0702691316604613, -4.235915660858154
testing, 3, -0.34159464836120607, -2.5678284108638763, -3.9858086109161377
training, 4, -0.5195127010345459, -2.3389014095067977, -3.645205497741699
validating, 4, -0.3824785232543945, -2.199171209335327, -4.033102989196777
testing, 4, -0.3865004301071167, -2.5782505571842194, -3.8880810737609863
training, 5, -0.542353766305106, -2.352444714307785, -3.7026357650756836
validating, 5, -0.4158306121826172, -2.2057293176651003, -4.015226364135742
testing, 5, -0.39663310050964357, -2.4657998025417327, -4.013896942138672
training, 6, -0.5484921387263707, -2.401861324906349, -3.773047685623169
validating, 6, -0.42781600952148435, -2.243536853790283, -4.007966041564941
testing, 6, -0.4117437839508057, -2.6456236124038695, -3.998431444168091
training, 7, -0.5524761472429548, -2.3712119332381656, -3.714153289794922
validating, 7, -0.4338374614715576, -2.232489323616028, -3.9912781715393066
testing, 7, -0.412455153465271, -2.637490636110306, -3.955808162689209
training, 8, -0.55726455279759, -2.3895482208047594, -3.737300395965576
validating, 8, -0.4468355655670166, -2.2411251306533813, -4.093188762664795
testing, 8, -0.41839869022369386, -2.742222857475281, -3.9176223278045654
training, 9, -0.5608194078717913, -2.396171623468399, -3.715083122253418
validating, 9, -0.45007009506225587, -2.2207349300384522, -4.024048328399658
testing, 9, -0.41595797538757323, -2.7173215806484223, -3.990870237350464
training, 10, -0.5646907602037702, -2.401572020139013, -3.738468647003174
validating, 10, -0.453876256942749, -2.208681893348694, -3.9966139793395996
testing, 10, -0.4202119827270508, -2.6287209570407866, -3.9479727745056152
training, 11, -0.5646887029920306, -2.4487035014799665, -3.833153009414673
validating, 11, -0.4588167667388916, -2.2132808208465575, -3.9625725746154785
testing, 11, -0.42764146327972413, -2.63615962266922, -3.9668617248535156
training, 12, -0.5708964143480574, -2.4150786506278172, -3.7319419384002686
validating, 12, -0.4606346130371094, -2.1941296100616454, -4.079354763031006
testing, 12, -0.4254870891571045, -2.6186561942100526, -4.042143821716309
training, 13, -0.5729502132960729, -2.4070629119873046, -3.712977409362793
validating, 13, -0.46511287689208985, -2.1937549829483034, -4.097249507904053
testing, 13, -0.4301599979400635, -2.562919569015503, -3.9257030487060547
training, 14, -0.5753294808523995, -2.4174427356038777, -3.743513345718384
validating, 14, -0.4774031400680542, -2.2074767112731934, -4.08649206161499
testing, 14, -0.43748581409454346, -2.724360740184784, -3.9786524772644043
training, 15, -0.5794650759015765, -2.4370208603995187, -3.7374372482299805
validating, 15, -0.47471907138824465, -2.14227454662323, -4.112046241760254
testing, 15, -0.4399909496307373, -2.568140685558319, -4.007466793060303
training, 16, -0.5811070850917271, -2.3855804434844425, -3.7326443195343018
validating, 16, -0.4797263860702515, -2.1686784505844114, -3.9647059440612793
testing, 16, -0.4350503206253052, -2.5253384470939637, -3.8768837451934814
training, 17, -0.5851505552019391, -2.4083376386335917, -3.7319440841674805
validating, 17, -0.48147056102752683, -2.1734943866729735, -3.910694122314453
testing, 17, -0.4423298120498657, -2.552848553657532, -3.9465994834899902
training, 18, -0.5902197633470808, -2.374166880335127, -3.6977834701538086
validating, 18, -0.4932352304458618, -2.1431045532226562, -4.119900703430176
testing, 18, -0.4514725685119629, -2.5822309494018554, -3.9439940452575684
training, 19, -0.5912605217524938, -2.5491612681320737, -3.799042224884033
validating, 19, -0.501439881324768, -2.173378920555115, -4.003663539886475
testing, 19, -0.4482189416885376, -2.606209230422974, -3.9189460277557373
mode, epoch, average loss, defender utility
training, -1, 0.0, -1.6139808561120714, -2.937465190887451
validating, -1, 0.0, -2.3739007472991944, -2.8538687229156494
testing, -1, 0.0, -1.9547014355659484, -3.0622570514678955
training, 0, 0.9132878576006208, -2.1306508881705146, -3.487330198287964
validating, 0, 0.7859367847442627, -2.3879048585891725, -3.4868030548095703
testing, 0, 0.8785194635391236, -2.039932441711426, -3.4965291023254395
training, 1, 0.9013181754520961, -2.1058137110301427, -3.4775688648223877
validating, 1, 0.7215285778045655, -2.3539467334747313, -3.4734160900115967
testing, 1, 0.8301251411437989, -2.0173178791999815, -3.48103404045105
