mode, epoch, average loss, defender utility
training, -1, 0.0, -1.952597463982446, -1.6137806177139282
validating, -1, 0.0, -2.0938037157058718, -1.7465314865112305
testing, -1, 0.0, -2.409262990951538, -1.9772621393203735
training, 0, 23.607191835130966, -3.3470121485846382, -3.5132484436035156
validating, 0, 13.374357795715332, -3.733303594589233, -3.78094220161438
testing, 0, 12.67545199394226, -3.8247970819473265, -3.817990779876709
training, 1, 23.422725309644427, -3.2952771357127597, -3.5532987117767334
validating, 1, 12.815226745605468, -3.421925354003906, -3.4820396900177
testing, 1, 12.146181964874268, -3.5686678171157835, -3.6770923137664795
training, 2, 18.679309586116247, -2.558648237160274, -2.995413303375244
validating, 2, 6.972815704345703, -2.215354800224304, -2.429752826690674
testing, 2, 6.63231258392334, -2.3658764481544496, -2.7918810844421387
training, 3, 7.024055753435407, -1.7270402448517936, -2.0291616916656494
validating, 3, 3.9884033203125, -1.9869344711303711, -2.226438522338867
testing, 3, 3.911317157745361, -2.1451011180877684, -2.2830655574798584
training, 4, 6.68143367767334, -1.7080216744116374, -2.0120038986206055
validating, 4, 4.403417587280273, -1.9782845497131347, -2.312648296356201
testing, 4, 4.332982349395752, -2.151918959617615, -2.4068994522094727
training, 5, 6.592845017569406, -1.7125173245157514, -1.9715913534164429
validating, 5, 4.157560920715332, -1.968417716026306, -2.1839630603790283
testing, 5, 4.127290201187134, -2.107165426015854, -2.473745346069336
training, 6, 6.639915411812918, -1.7151765035731452, -2.0231430530548096
validating, 6, 4.097138404846191, -1.966779851913452, -1.967461347579956
testing, 6, 4.079191541671753, -2.1068875432014464, -2.4282164573669434
training, 7, 6.847076497759137, -1.7204262546130589, -2.0018556118011475
validating, 7, 3.965635871887207, -1.9618341684341432, -2.187427520751953
testing, 7, 3.978181028366089, -2.1050128996372224, -2.4043197631835938
training, 8, 6.290322140284947, -1.7166548958846501, -1.933066487312317
validating, 8, 4.234351539611817, -1.9635141611099243, -2.2724735736846924
testing, 8, 4.231886291503907, -2.1301481127738953, -2.3104422092437744
training, 9, 6.313105869293213, -1.7225885863815036, -1.9816755056381226
validating, 9, 4.088293075561523, -1.9600333452224732, -2.2572436332702637
testing, 9, 4.096337366104126, -2.1030837059020997, -2.347978115081787
mode, epoch, average loss, defender utility
training, -1, 0.0, -1.952597463982446, -1.9939727783203125
validating, -1, 0.0, -2.0938037157058718, -2.023890733718872
testing, -1, 0.0, -2.409262990951538, -2.318268060684204
