mode, epoch, average loss, defender utility
training, -1, 0.0, -0.7072693820389537, -0.652959942817688
validating, -1, 0.0, -1.390315947488857, -0.20164410769939423
testing, -1, 0.0, nan, nan
training, 0, 1.3911285247121539, -3.614185278756278, -3.7031519412994385
validating, 0, 1.2650876998901368, -3.6140610218048095, -3.4896461963653564
testing, 0, 1.3392733573913573, nan, nan
training, 1, 1.3039879390171596, -3.4538661548069545, -3.2147202491760254
validating, 1, 0.983803141117096, -2.9909225940704345, -2.883043050765991
testing, 1, 1.0323791533708573, nan, nan
training, 2, 0.6052435468582968, -2.104341357098542, -2.035594940185547
validating, 2, 0.8103855117573403, -1.7596944189505144, -2.055452346801758
testing, 2, 0.5814144377131015, nan, nan
training, 3, 0.16893385113466397, -1.0233828648049086, -0.8933269381523132
validating, 3, 0.09610573564568767, -0.9345942650390555, -0.48111802339553833
testing, 3, 0.20592698749387636, nan, nan
training, 4, 0.06828238282936841, -0.6139342349097531, -0.7748727798461914
validating, 4, 0.006923834444569366, -1.237292263044951, -0.8751127123832703
testing, 4, 0.11402366543188691, nan, nan
training, 5, 0.06542113446557778, -0.5957487990087807, -0.4209374487400055
validating, 5, 0.018024162105029974, -1.0025325392307467, -0.014538789168000221
testing, 5, 0.10494977295256831, nan, nan
training, 6, 0.042830245393906806, -0.6886946753632774, -0.9290732145309448
validating, 6, 0.070142633418439, -0.9463977194325752, -1.149963140487671
testing, 6, 0.15101202000216177, nan, nan
training, 7, -0.001772275493773431, -0.766397670755269, -0.45647045969963074
validating, 7, 0.08237483234479726, -0.9655004360181965, -1.4709022045135498
testing, 7, 0.1630136790366862, nan, nan
training, 8, -0.0023527380500464037, -0.7833770556564086, -0.6896858215332031
validating, 8, 0.08274056047739861, -0.9660891271130867, -1.7316620349884033
testing, 8, 0.16336985484919636, nan, nan
training, 9, -0.002383078531720376, -0.7834765834321743, -0.6850234866142273
validating, 9, 0.08275018662825744, -0.9661050056507564, -1.4725772142410278
testing, 9, 0.1633812306452171, nan, nan
training, 10, -0.013122107685492372, -0.7978034725969886, -0.6475850939750671
validating, 10, -0.005816235774909728, -1.199079546884609, -1.1444131135940552
testing, 10, 0.049462965657608035, nan, nan
training, 11, -0.020546243053097362, -0.8451655282506997, -0.9745461344718933
validating, 11, -0.008925355980136374, -1.5441329335262752, -1.1976099014282227
testing, 11, 0.04258006049725509, nan, nan
training, 12, -0.020727355311631106, -0.8486102033992767, -0.6327869296073914
validating, 12, -0.00899782815013168, -1.5487727021733053, -2.3603439331054688e-05
testing, 12, 0.04240618083216532, nan, nan
training, 13, -0.02072729125334669, -0.8488478714787858, -1.1471443176269531
validating, 13, -0.008998060235717276, -1.5487865304508932, -1.4414750337600708
testing, 13, 0.042407028521972735, nan, nan
training, 14, -0.020727272949531944, -0.8487588783614387, -0.9385532736778259
validating, 14, -0.008998047569730262, -1.5487864350834615, -1.1997954845428467
testing, 14, 0.04240649208016976, nan, nan
training, 15, -0.020727269330678512, -0.8487586879325814, -0.7550029158592224
validating, 15, -0.008998047569730262, -1.5487864350834615, -1.1995799541473389
testing, 15, 0.04240649208016976, nan, nan
training, 16, -0.020727269330678512, -0.8487586879325814, -0.8121919631958008
validating, 16, -0.008998047569730262, -1.5487864350834615, -2.3995800018310547
testing, 16, 0.04240649208016976, nan, nan
training, 17, -0.020727269330678512, -0.8487586879325814, -0.7677275538444519
validating, 17, -0.008998047569730262, -1.5487864350834615, -2.1576850414276123
testing, 17, 0.04240649208016976, nan, nan
training, 18, -0.020727269330678512, -0.8487586879325814, -1.1497796773910522
validating, 18, -0.008998047569730262, -1.5487864350834615, -2.3997955322265625
testing, 18, 0.04240649208016976, nan, nan
training, 19, -0.020727269330678512, -0.8487586879325814, -0.5887972116470337
validating, 19, -0.008998047569730262, -1.5487864350834615, -2.3674965632380918e-05
testing, 19, 0.04240649208016976, -0.7708646939170819, -1.0999879837036133
mode, epoch, average loss, defender utility
training, -1, 0.0, -0.47451954666594287, -0.1424594670534134
validating, -1, 0.0, -1.1679216103017098, -2.442234992980957
testing, -1, 0.0, -0.24040577950434, -0.6384506225585938
training, 0, 1.3287727560315814, -3.1567487852913994, -3.4768714904785156
validating, 0, 1.4364218711853027, -3.2331121444702147, -3.879922389984131
testing, 0, 1.2917622804641724, -3.175656533241272, -2.539942979812622
training, 1, 1.3024663857051304, -3.1492242676871163, -3.620551586151123
validating, 1, 1.3130128145217896, -3.1563697814941407, -4.990270137786865
testing, 1, 1.1917600452899932, -3.1206392526626585, -3.0934746265411377
training, 2, 0.8319531432219914, -2.689150904757636, -2.875567674636841
validating, 2, -0.02789512574672699, -1.6658341884613037, -0.4791542887687683
testing, 2, 0.16230192496441304, -1.367392933368683, -1.0878485441207886
training, 3, 0.04783271766424215, -0.6138726798296545, -0.3429740071296692
validating, 3, -0.17000891537754798, -1.074850439740112, -2.1452794075012207
testing, 3, 0.005367999313614291, -0.23721143544535153, -1.4236245155334473
training, 4, -0.0187459226888324, -0.4202300903799263, -0.7078498005867004
validating, 4, -0.18468372002243996, -1.0647985891468124, -3.099441414633475e-07
testing, 4, 0.009452589328340366, -0.23878053859853027, -3.826618012681138e-06
training, 5, -0.02021333501609612, -0.41220142577471836, -0.7414860725402832
validating, 5, -0.18748181695118546, -1.0646317616832675, -0.8528569340705872
testing, 5, 0.01087607964783217, -0.23872694071662864, -2.7060509637522046e-06
training, 6, -0.01614761077298762, -0.2732680080346634, -0.14162328839302063
validating, 6, -0.19215267684776335, -1.090313556266483, -1.3742576837539673
testing, 6, 0.016359816464205323, -0.25980674793536307, -0.6172372102737427
training, 7, -0.008957189380804005, -0.03908069593411077, 0.11048232018947601
validating, 7, -0.20679088595788925, -1.1657986597478156, -1.1748818159103394
testing, 7, 0.016878876476721417, 0.38610284197784495, 0.22222669422626495
training, 8, -0.013505776580570585, 0.11000758287337686, 0.20892482995986938
validating, 8, -0.20949727583210914, -1.1699539975670632, -0.9398677945137024
testing, 8, 0.016263364631095102, 0.38777380193059796, 0.5132874250411987
training, 9, -0.016597290606469934, 0.13024696531243518, 0.38078737258911133
validating, 9, -0.21570901502855122, -1.2220848992932587, -1.3543002605438232
testing, 9, 0.01954167167691594, 0.3885262859577779, 0.43798619508743286
training, 10, -0.013892036375364115, -0.017777506153489803, 0.09308672696352005
validating, 10, -0.22041194604244083, -1.2416654302796815, -2.814936637878418
testing, 10, 0.019052491714910504, 0.39281992207252187, 0.3673883080482483
training, 11, -0.012228830520380792, 0.1988605522248211, 0.3078283369541168
validating, 11, -0.22342445750255138, -1.2475091767177218, -2.3674986362457275
testing, 11, 0.0175785688208407, 0.3969458073072019, 0.2526113986968994
training, 12, -0.019536403476288506, 0.010997832198059346, 0.03323231264948845
validating, 12, -0.1901387860036266, -1.1728687740978785, -1.6802558898925781
testing, 12, 0.0022214500299469362, 0.316237571957754, -0.25845712423324585
training, 13, -0.02982960162455543, -0.09185903862687726, 0.22109270095825195
validating, 13, -0.18981540547592884, -1.1663366557681, -0.42472487688064575
testing, 13, 0.002193708626282387, 0.3152917716346565, 0.7394680380821228
training, 14, -0.029739487608103687, -0.1630651573174421, 0.06359762698411942
validating, 14, -0.18980674995036678, -1.1693521858775058, -0.6452022790908813
testing, 14, 0.002192999790850081, 0.3154692269439693, 0.1394432932138443
