mode, epoch, average loss, defender utility
training, -1, 0.0, nan, nan
validating, -1, 0.0, nan, nan
testing, -1, 0.0, nan, nan
training, 0, 3.7535569531576973, nan, nan
validating, 0, 3.861340618133545, nan, nan
testing, 0, 3.9095685482025146, nan, nan
training, 1, 3.005158451625279, nan, nan
validating, 1, 1.532321810722351, nan, nan
testing, 1, 1.5584994375705719, nan, nan
training, 2, 0.8978827783039638, nan, nan
validating, 2, 1.4402965307235718, nan, nan
testing, 2, 0.9946446657180786, nan, nan
training, 3, 0.5424027887838228, nan, nan
validating, 3, 1.2554783761501311, nan, nan
testing, 3, 0.7124713018536568, nan, nan
training, 4, 0.32147003667695184, nan, nan
validating, 4, 0.9772363901138306, nan, nan
testing, 4, 0.5031967490911484, nan, nan
training, 5, 0.19347826737378324, nan, nan
validating, 5, 0.9100665286183357, nan, nan
testing, 5, 0.4745064277201891, nan, nan
training, 6, nan, nan, nan
validating, 6, nan, nan, nan
testing, 6, nan, nan, nan
training, 7, nan, nan, nan
validating, 7, nan, nan, nan
testing, 7, nan, nan, nan
training, 8, nan, nan, nan
validating, 8, nan, nan, nan
testing, 8, nan, nan, nan
training, 9, nan, nan, nan
validating, 9, nan, nan, nan
testing, 9, nan, nan, nan
training, 10, nan, nan, nan
validating, 10, nan, nan, nan
testing, 10, nan, nan, nan
training, 11, nan, nan, nan
validating, 11, nan, nan, nan
testing, 11, nan, nan, nan
training, 12, nan, nan, nan
validating, 12, nan, nan, nan
testing, 12, nan, nan, nan
training, 13, nan, nan, nan
validating, 13, nan, nan, nan
testing, 13, nan, nan, nan
training, 14, nan, nan, nan
validating, 14, nan, nan, nan
testing, 14, nan, nan, nan
training, 15, nan, nan, nan
validating, 15, nan, nan, nan
testing, 15, nan, nan, nan
training, 16, nan, nan, nan
validating, 16, nan, nan, nan
testing, 16, nan, nan, nan
training, 17, nan, nan, nan
validating, 17, nan, nan, nan
testing, 17, nan, nan, nan
training, 18, nan, nan, nan
validating, 18, nan, nan, nan
testing, 18, nan, nan, nan
mode, epoch, average loss, defender utility
training, -1, 0.0, nan, nan
validating, -1, 0.0, nan, nan
testing, -1, 0.0, nan, nan
training, 0, 3.1356542348861693, nan, nan
validating, 0, 3.2374349355697634, nan, nan
testing, 0, 3.19847514629364, nan, nan
training, 1, 3.017757269314357, nan, nan
validating, 1, 2.76614625453949, nan, nan
testing, 1, 2.7343685388565064, nan, nan
training, 2, 1.354684920821871, nan, nan
validating, 2, 0.6822080194950104, nan, nan
testing, 2, 0.8586435705423355, nan, nan
training, 3, 0.22902930156061693, nan, nan
validating, 3, 0.38578820414841175, nan, nan
testing, 3, 0.6255653813481331, nan, nan
training, 4, 0.10838967339119075, nan, nan
validating, 4, 0.2655696635134518, nan, nan
testing, 4, 0.5471056826412678, nan, nan
training, 5, 0.06055882940418087, nan, nan
validating, 5, 0.1987749705091119, nan, nan
testing, 5, 0.49651260087266563, nan, nan
training, 6, 0.03594845730409101, nan, nan
validating, 6, 0.09410564080035329, nan, nan
testing, 6, 0.7218548440316226, nan, nan
training, 7, nan, nan, nan
validating, 7, nan, nan, nan
testing, 7, nan, nan, nan
training, 8, nan, nan, nan
validating, 8, nan, nan, nan
testing, 8, nan, nan, nan
training, 9, nan, nan, nan
validating, 9, nan, nan, nan
testing, 9, nan, nan, nan
training, 10, nan, nan, nan
validating, 10, nan, nan, nan
testing, 10, nan, nan, nan
training, 11, nan, nan, nan
validating, 11, nan, nan, nan
testing, 11, nan, nan, nan
training, 12, nan, nan, nan
validating, 12, nan, nan, nan
testing, 12, nan, nan, nan
training, 13, nan, nan, nan
validating, 13, nan, nan, nan
testing, 13, nan, nan, nan
training, 14, nan, nan, nan
validating, 14, nan, nan, nan
testing, 14, nan, nan, nan
training, 15, nan, nan, nan
validating, 15, nan, nan, nan
testing, 15, nan, nan, nan
training, 16, nan, nan, nan
validating, 16, nan, nan, nan
testing, 16, nan, nan, nan
training, 17, nan, nan, nan
validating, 17, nan, nan, nan
testing, 17, nan, nan, nan
training, 18, nan, nan, nan
validating, 18, nan, nan, nan
testing, 18, nan, nan, nan
mode, epoch, average loss, defender utility
training, -1, 0.0, nan, nan
validating, -1, 0.0, nan, nan
testing, -1, 0.0, nan, nan
training, 0, 3.1938221386500767, nan, nan
validating, 0, 2.6140006303787233, nan, nan
testing, 0, 3.1814624309539794, nan, nan
training, 1, 2.9448456832340786, nan, nan
validating, 1, 2.1941675662994387, nan, nan
testing, 1, 2.3161685347557066, nan, nan
training, 2, 1.6913212299346925, nan, nan
validating, 2, 1.9737123012542725, nan, nan
