mode, epoch, average loss, defender utility
training, -1, 0.0, -0.5715591549008033, -0.9142856001853943
validating, -1, 0.0, -0.3344549606757937, 1.9073486612342094e-07
testing, -1, 0.0, -0.900699237070512, -0.800000011920929
training, 0, 3.753556912285941, -4.514728682381766, -4.636651992797852
validating, 0, 3.8613409042358398, -4.430528354644776, -4.771932601928711
testing, 0, 3.9095684766769407, -4.510158348083496, -4.547014236450195
training, 1, 5.300628519058227, -4.242343146460397, -4.441614151000977
validating, 1, 9.283226013183594, -2.866612195968628, -2.875901699066162
testing, 1, 9.872744369506837, -3.1971683740615844, -3.173774242401123
training, 2, 8.331538881574359, -3.092695004599435, -3.390779495239258
validating, 2, 8.251011943817138, -2.8548640251159667, -2.8571877479553223
testing, 2, 8.738651704788207, -2.9530839204788206, -3.2301700115203857
training, 3, 8.052173696245466, -3.0176170144762313, -3.0274240970611572
validating, 3, 8.901424026489257, -2.6864037990570067, -2.89436674118042
testing, 3, 9.48900146484375, -2.8070144176483156, -2.6820151805877686
training, 4, 8.19869008745466, -2.9314909526279993, -3.151113510131836
validating, 4, 7.8137434959411625, -2.7105767726898193, -3.1207568645477295
testing, 4, 8.327940511703492, -2.7214619398117064, -2.992776393890381
training, 5, 7.35291531426566, -2.729136952332088, -3.2223827838897705
validating, 5, 7.296997547149658, -1.9752837657928466, -2.1247191429138184
testing, 5, 7.881264686584473, -2.3820581316947935, -2.618638277053833
training, 6, 7.521112673623222, -2.1194761991500854, -2.5057358741760254
validating, 6, 9.101985645294189, -1.9737033605575562, -0.8794929385185242
testing, 6, 9.983142471313476, -2.2972551345825196, -2.1549248695373535
training, 7, 7.972555446624756, -2.0143379445586884, -2.3870997428894043
validating, 7, 6.816339111328125, -1.5047051313911652, -0.9367462396621704
testing, 7, 7.554678821563721, -2.0234881084412337, -2.3228836059570312
training, 8, 7.348149081638881, -1.9218881745517657, -1.6217480897903442
validating, 8, 8.639378833770753, -1.723039577083182, -1.7544552087783813
testing, 8, 9.542626190185548, -2.088367539644241, -2.8582983016967773
training, 9, 7.9136866705758235, -1.8725777079038899, -2.3776252269744873
validating, 9, 7.336812114715576, -1.4480504563602152, -0.7558847665786743
testing, 9, 8.15446333885193, -1.9494643584941513, -3.111593723297119
training, 10, 7.721436541421073, -1.8356432013142954, -1.8208764791488647
validating, 10, 7.256651401519775, -1.3972582629476165, -1.607517957687378
testing, 10, 8.089765357971192, -1.9107248749525751, -1.4214881658554077
training, 11, 7.871383380889893, -1.7575529253999516, -1.752057433128357
validating, 11, 6.490696144104004, -1.3579115248483504, -2.41422438621521
testing, 11, 7.238672065734863, -1.8759329810738563, -0.8089333772659302
training, 12, 7.4940939767020085, -1.7831428098555728, -1.9732944965362549
validating, 12, 8.282153129577637, -1.6050908633062135, -1.2539916038513184
testing, 12, 9.202443742752076, -1.9135503661469557, -2.3772366046905518
training, 13, 8.46495793206351, -1.7116952368619032, -1.9505846500396729
validating, 13, 7.456397914886475, -1.4114369681630705, -0.9551734924316406
testing, 13, 8.302464246749878, -1.8705954247969203, -0.3776777386665344
training, 14, 7.675731127602713, -1.7553984457323948, -1.9631563425064087
validating, 14, 7.4280009269714355, -1.4097587800773907, -2.6996827125549316
testing, 14, 8.273997068405151, -1.8803516467858572, -1.163944125175476
training, 15, 7.936656325204032, -1.7471062150733425, -2.1429150104522705
validating, 15, 7.610136222839356, -1.4331375904866945, -0.9752902984619141
testing, 15, 8.47215552330017, -1.895538100489648, -1.5897796154022217
training, 16, 7.9694286210196355, -1.7520687488547473, -1.3804504871368408
validating, 16, 7.623960876464844, -1.439009337738571, -1.4127341508865356
testing, 16, 8.482914638519286, -1.900034770258935, -1.0873441696166992
training, 17, 8.030823693956648, -1.6971327506117502, -0.7449920773506165
validating, 17, 7.554683589935303, -1.43195312126918, -0.9601854085922241
testing, 17, 8.404655265808106, -1.8844072974985466, -1.598112940788269
training, 18, 7.970243344988142, -1.7226218281354835, -1.4152305126190186
validating, 18, 7.531859302520752, -1.4278408385082002, -1.885547399520874
testing, 18, 8.37659707069397, -1.8932426021259743, -1.523784875869751
training, 19, 8.041252068110875, -1.7158392547830903, -1.8332545757293701
validating, 19, 7.640347194671631, -1.4383863073260728, -0.7032955288887024
testing, 19, 8.49108066558838, -1.894675483251922, -2.7379870414733887
mode, epoch, average loss, defender utility
training, -1, 0.0, -1.0492072463476299, -0.9726820588111877
validating, -1, 0.0, -1.1105718195438385, -1.4371615648269653
testing, -1, 0.0, -0.97244892292656, -0.12990331649780273
training, 0, 3.135654207638332, -2.38389710017613, -2.456472396850586
validating, 0, 3.2374348640441895, -2.380461025238037, -2.329730272293091
testing, 0, 3.198475170135498, -2.3762941360473633, -2.374480724334717
training, 1, 3.1058713265827724, -2.378488901683262, -2.407651424407959
validating, 1, 3.131617879867554, -2.3443564414978026, -2.2920219898223877
testing, 1, 3.1063106775283815, -2.3529540061950684, -2.4614691734313965
training, 2, 2.9649251631328037, -2.2105255705969675, -2.0748822689056396
validating, 2, 3.0136383056640623, -1.8232826948165894, -1.8883254528045654
testing, 2, 3.3712146520614623, -1.9848999381065369, -2.181788921356201
training, 3, 4.87857893535069, -1.5768081026417868, -1.2997863292694092
validating, 3, 4.240161323547364, -1.338718843460083, -1.3477871417999268
testing, 3, 5.4243898630142215, -1.653050470352173, -1.8205102682113647
training, 4, 5.1373745611735755, -1.3741413939744234, -1.0421884059906006
validating, 4, 3.6185680389404298, -1.304782795906067, -0.9791868329048157
testing, 4, 4.859296727180481, -1.6044666767120361, -2.014130115509033
training, 5, 4.346632354600089, -1.334409770703808, -1.943454623222351
validating, 5, 3.1605241775512694, -1.2918612003326415, -1.2113914489746094
testing, 5, 4.41419038772583, -1.6155805468559266, -1.3442399501800537
training, 6, 4.001885843276978, -1.314799644410128, -1.304376244544983
validating, 6, 2.760871076583862, -1.3091338515281676, -0.9800777435302734
testing, 6, 3.9924556732177736, -1.5971223950386046, -1.990173101425171
training, 7, 4.039521653311593, -1.317341722069042, -1.145411491394043
validating, 7, 2.687862920761108, -1.2987565755844117, -1.0350267887115479
testing, 7, 3.9278942704200746, -1.5954045534133912, -1.1176822185516357
training, 8, 3.6870247108595713, -1.2957054408167357, -1.3591105937957764
validating, 8, 2.611282777786255, -1.3071266055107116, -2.0533995628356934
testing, 8, 3.803247356414795, -1.60117826461792, -0.7031694054603577
training, 9, 3.428010056700025, -1.30831478253905, -1.3435072898864746
validating, 9, 2.695276975631714, -1.314445149898529, -1.0581022500991821
testing, 9, 3.958418047428131, -1.587309432029724, -1.8381925821304321
training, 10, 4.1402606725692745, -1.2988124119354845, -1.2942349910736084
validating, 10, 2.9162154674530028, -1.3197393417358398, -1.8009039163589478
testing, 10, 4.141062486171722, -1.6192896485328674, -1.6279010772705078
training, 11, 3.894941408293588, -1.3118733024490732, -1.5815792083740234
validating, 11, 2.9051069259643554, -1.3403273820877075, -1.93453848361969
testing, 11, 4.1765798926353455, -1.612905168533325, -1.57267427444458
training, 12, 4.345237738745553, -1.297745473262122, -1.0719146728515625
validating, 12, 2.855721664428711, -1.323386025428772, 0.0
testing, 12, 4.087008094787597, -1.5970637917518615, -1.5123999118804932
training, 13, 4.029589450359344, -1.2899038922814985, -0.935741126537323
validating, 13, 2.846288061141968, -1.318781703710556, -2.3171563148498535
testing, 13, 4.067470693588257, -1.6014842510223388, -2.289184093475342
training, 14, 4.029641500541142, -1.2913961250031467, -1.1506928205490112
validating, 14, 2.845406198501587, -1.313119238615036, -0.13586127758026123
testing, 14, 4.064585018157959, -1.602819061279297, -1.9937717914581299
training, 15, 4.062291901452201, -1.2909091322487387, -1.3877131938934326
validating, 15, 2.858526420593262, -1.3106367468833924, -0.946832537651062
