mode, epoch, average loss, defender utility
training, -1, 0.0, -0.7630253544455627, -0.7995264530181885
validating, -1, 0.0, -0.6149934108834714, -6.821210263296962e-13
testing, -1, 0.0, -0.6804571696557105, -0.800000011920929
training, 0, 3.7535569395337784, -4.776261724744525, -4.773756504058838
validating, 0, 3.8613407611846924, -4.653518199920654, -4.5886688232421875
testing, 0, 3.9095685720443725, -4.728462409973145, -4.651031970977783
training, 1, 3.037552499771118, -4.369903339658465, -4.247920989990234
validating, 1, 1.5584240198135375, -3.675141143798828, -3.026568651199341
testing, 1, 1.5853731215000153, -3.691161870956421, -3.8906161785125732
training, 2, 0.9192829072475434, -3.543349235398429, -3.508622407913208
validating, 2, 1.3652617692947389, -3.4893670082092285, -2.0948643684387207
testing, 2, 0.9645919322967529, -3.430588161945343, -3.5935428142547607
training, 3, 0.5319338785750526, -2.456490729203714, -2.0640034675598145
validating, 3, 1.1997449457645417, -2.602582949399948, -3.7438697814941406
testing, 3, 0.6750338360667228, -1.960583156044595, -2.2017369270324707
training, 4, 0.3016611825142588, -1.8097965932569162, -1.0982215404510498
validating, 4, 1.0589534610509872, -1.3429606080055236, -1.5999962091445923
testing, 4, 0.5146792367100715, -1.0672431276529095, -1.3415310382843018
mode, epoch, average loss, defender utility
training, -1, 0.0, -0.4025830633880105, -0.27699652314186096
validating, -1, 0.0, -0.34356949022039773, -0.8444997668266296
testing, -1, 0.0, -0.47566528446041045, -0.6732767224311829
training, 0, 3.1356542485100882, -2.5795203821999686, -2.5672457218170166
validating, 0, 3.237434959411621, -2.590980052947998, -2.553575038909912
testing, 0, 3.1984751224517822, -2.5508958101272583, -2.5364902019500732
training, 1, 3.0285587412970405, -2.5717225619724817, -2.5978105068206787
validating, 1, 2.7708512783050536, -2.5283586978912354, -2.458986759185791
testing, 1, 2.74038770198822, -2.5065611362457276, -2.5766189098358154
training, 2, 1.454794323870114, -1.9614589197328314, -1.9166743755340576
validating, 2, 0.6952293992042542, -0.6764003817923367, -0.45838746428489685
testing, 2, 0.8739177703857421, -1.607211273908615, -1.1100633144378662
training, 3, 0.25259121622491093, -0.6201890664863867, -0.9749202132225037
validating, 3, 0.3924873650074005, -0.1717160469852388, -1.7881393432617188e-07
testing, 3, 0.6281228139996529, -0.8537486711516976, -0.9482181668281555
training, 4, 0.11203990635196014, -0.4718652638947138, -0.6244096159934998
validating, 4, 0.2691158140078187, -0.15975989243015648, 0.0
