mode, epoch, average loss, defender utility
training, -1, 0.0, -0.4624674071752314, -0.47599291801452637
validating, -1, 0.0, -0.20025536491893944, -0.2200000286102295
testing, -1, 0.0, -0.22110973234284756, -0.22600002586841583
training, 0, 1.7690125601632254, -4.06224501473563, -4.015407562255859
validating, 0, 1.9334839582443237, -4.060448265075683, -3.9032416343688965
testing, 0, 1.763827955722809, -4.062981271743775, -3.9700522422790527
training, 1, 1.6606586456298829, -4.0472549574715755, -4.055634498596191
validating, 1, 1.4500546216964723, -4.333168411254883, -4.123039722442627
testing, 1, 1.384235394001007, -4.300855445861816, -4.441245079040527
training, 2, 0.9458610500608172, -4.034900079454695, -3.964007616043091
validating, 2, 0.6484516084194183, -4.058116483688354, -3.83732533454895
testing, 2, 0.6931428372859955, -3.9673607110977174, -3.845524311065674
training, 3, 0.4665578633546829, -2.929593018123082, -2.902829170227051
validating, 3, 0.4923219859600067, -2.7592573165893555, -2.921499252319336
testing, 3, 0.5479717567563057, -3.358787214756012, -3.4342002868652344
training, 4, 0.3377382802111762, -2.1724455136683503, -2.17952299118042
validating, 4, 0.3002719014883041, -1.368924045562744, -1.307793378829956
testing, 4, 0.4221334770321846, -2.461646042764187, -2.5109221935272217
training, 5, 0.2301340075475829, -1.3993610577148496, -1.4262464046478271
validating, 5, 0.20666963011026382, -0.08912799698546223, -0.10266240686178207
testing, 5, 0.2838240846991539, -1.969959151060084, -2.0023396015167236
training, 6, 0.15181114822626113, -0.8892157301866344, -0.8662633895874023
validating, 6, 0.10143898203969001, -0.054885892976381, -0.050266068428754807
testing, 6, 0.19542663879692554, -1.3917645523291866, -1.4650903940200806
training, 7, 0.09634830001741648, -0.45336033800345005, -0.4177204668521881
validating, 7, 0.0714186504483223, -0.0002513378965886659, -5.064010792921181e-07
testing, 7, 0.1367776408791542, -1.1288627356001826, -1.2247750759124756
training, 8, 0.06850848537204521, -0.46515870757727873, -0.4653664231300354
validating, 8, 0.06050192154943943, -0.000250670249806717, 1.4591181241030426e-07
testing, 8, 0.09937481712549925, -0.6425746739988994, -0.6560512781143188
training, 9, 0.048654664354398844, -0.31245533083660504, -0.3068509101867676
validating, 9, 0.02991257607936859, -0.0002509540652681608, -1.4114377222540497e-07
testing, 9, 0.07133964793756604, -0.7036896693609833, -0.7149138450622559
training, 10, 0.039266054674849976, -0.2389549689084469, -0.2493632435798645
validating, 10, 0.018115673679858446, -0.00025067209944609206, 1.8024351788881177e-07
testing, 10, 0.05974116530269384, -0.7540114650553165, -0.6403607130050659
training, 11, 0.027728119085492966, -0.1715315727249285, -0.18535535037517548
validating, 11, 0.01692809648811817, -0.00025076645815715894, 4.386902219266631e-08
testing, 11, 0.0431030600797385, -0.6460389627785161, -0.65987628698349
training, 12, 0.022252979613923734, -0.15745520143263816, -0.14281781017780304
validating, 12, 0.011946765473112464, -0.0002505782285879832, 2.3460358988813823e-07
testing, 12, 0.037457375624217096, -0.6430106370500084, -0.6600269079208374
training, 13, 0.02001504477520939, -0.1504143620676858, -0.14123238623142242
validating, 13, 0.010786167066544294, -0.00025086116775128173, -5.054473461996167e-08
testing, 13, 0.030842504603788255, -0.5768454507142906, -0.5480051636695862
training, 14, 0.019008878279627033, -0.11944717588215, -0.12146338075399399
validating, 14, 0.009646206465549766, -0.00025090879971685355, -1.0395049088174346e-07
testing, 14, 0.02825298982206732, -0.5466884600151065, -0.5810750722885132
training, 15, 0.01634525692456269, -0.15073764756378852, -0.16065624356269836
validating, 15, 0.008625295129604638, -0.00025086116838792807, -4.959106192359286e-08
testing, 15, 0.02218713021138683, -0.4723808526330117, -0.5273649096488953
training, 16, 0.014392581430001883, -0.08550413982849038, -0.08757377415895462
validating, 16, 0.007324158726260066, -0.0002508135037714965, 0.0
testing, 16, 0.02230766040738672, -0.4861340455925074, -0.4980524182319641
training, 17, 0.01252600631565396, -0.13336634701829883, -0.14562217891216278
validating, 17, 0.006698297662660479, -0.0002501459710401832, 6.790136239942512e-07
testing, 17, 0.01772237161640078, -0.4276463876618095, -0.44252699613571167
training, 18, 0.01386461002642006, -0.10337811549737401, -0.09444122761487961
validating, 18, 0.008297729445621372, -0.000250861256972712, -4.863738922722405e-08
testing, 18, 0.022908488992834465, -0.41902657545111877, -0.41598325967788696
training, 19, 0.013571210395795268, -0.09732463959321543, -0.08796089142560959
validating, 19, 0.007322204601950944, -0.0002508611641133029, -4.482269133632144e-08
testing, 19, 0.018519846771960148, -0.4027200551308397, -0.39160218834877014
mode, epoch, average loss, defender utility
training, -1, 0.0, -0.9096403141533019, -0.9501546621322632
validating, -1, 0.0, -0.16143469728558557, -0.12399999797344208
testing, -1, 0.0, -0.481605511700036, -0.4499160647392273
training, 0, 1.71283415385655, -4.689541285378592, -4.690207004547119
validating, 0, 1.7554261922836303, -4.726431941986084, -4.726479530334473
testing, 0, 1.776846218109131, -4.519940042495728, -4.523421287536621
training, 1, 1.5829524619238717, -4.543350764683315, -4.54307746887207
validating, 1, 1.102384054660797, -3.9150168895721436, -3.908062696456909
testing, 1, 1.294920527935028, -3.762813687324524, -3.7244675159454346
training, 2, 0.4743900548932808, -2.4867053619452886, -2.4844248294830322
validating, 2, 0.044606023281812665, -0.6467765464592958, -0.6304745674133301
testing, 2, 0.1383625566959381, -1.235112863779068, -1.257920503616333
training, 3, 0.05984537776925468, -1.0757934824916278, -1.1191109418869019
validating, 3, 0.0175383415305987, -0.37374004052107923, -0.36687883734703064
testing, 3, 0.04997162241488695, -0.6116540985385654, -0.569733738899231
training, 4, 0.031354548093388855, -0.9115531658947063, -0.9098419547080994
validating, 4, 0.011594299058197066, -0.27816177077329485, -0.2012406289577484
testing, 4, 0.029529924993403255, -0.45424899939098395, -0.4435679316520691
training, 5, 0.022448908877666846, -0.868021715920685, -0.8549067378044128
validating, 5, 0.008070990021224134, -0.2487976159158279, -0.2331136167049408
testing, 5, 0.019337400910444558, -0.39104103039135224, -0.40597182512283325
training, 6, 0.01832537651741534, -0.8619705792676502, -0.8386052250862122
validating, 6, 0.0061291111385799015, -0.2309463427591254, -0.18388424813747406
testing, 6, 0.013407097407616675, -0.38463005022204017, -0.3849523067474365
training, 7, 0.015749777179611815, -0.8598608748679756, -0.8723089694976807
validating, 7, 0.004760732584691141, -0.21258780015778028, -0.22229810059070587
testing, 7, 0.009810718090739102, -0.3997523208381608, -0.3920534551143646
training, 8, 0.01373480478934011, -0.8608434314866544, -0.8877108693122864
validating, 8, 0.0040658211430127265, -0.2053542605790426, -0.22859136760234833
testing, 8, 0.007488893465779256, -0.40644177471403964, -0.4121573567390442
training, 9, 0.01211855977320739, -0.8627422103319444, -0.8718501925468445
validating, 9, 0.003043989056641294, -0.18443635621806606, -0.17064401507377625
testing, 9, 0.005671643487585243, -0.4094101790164132, -0.34898942708969116
training, 10, 0.011781179226659992, -0.878297059018635, -0.8699771165847778
validating, 10, 0.002779096545327775, -0.18077424701332348, -0.1604544222354889
testing, 10, 0.004950791825103806, -0.4112855074170511, -0.34364598989486694
training, 11, 0.011069478234740667, -0.8782631936102634, -0.8972789645195007
validating, 11, 0.00246963061608767, -0.1751675053688814, -0.2031412422657013
