mode, epoch, average loss, defender utility
training, -1, 0.0, -3.6852360725402833, -3.935659408569336
validating, -1, 0.0, -4.014055776596069, -4.252052307128906
testing, -1, 0.0, -3.7410452127456666, -4.3629961013793945
training, 0, 1.347895564351763, -4.829796913691929, -4.832652568817139
validating, 0, 1.4485745191574098, -4.841503524780274, -4.832031726837158
testing, 0, 1.2564586639404296, -4.786001348495484, -4.817746162414551
training, 1, 1.3336131606783186, -4.815421445029123, -4.841312885284424
validating, 1, 1.3855801820755005, -4.778296375274659, -4.812375545501709
testing, 1, 1.1908061027526855, -4.6712119579315186, -4.80073356628418
training, 2, 1.1247789331844875, -4.5609705380031045, -4.645299434661865
validating, 2, 0.9713289380073548, -4.351975345611573, -4.436413764953613
testing, 2, 0.772485876083374, -4.226195073127746, -4.528329849243164
training, 3, 0.45551266159330095, -3.784189966746739, -4.0023603439331055
validating, 3, 0.33867219686508176, -3.875940275192261, -4.008488178253174
testing, 3, 0.22418283820152282, -3.7268096685409544, -4.019908905029297
training, 4, 0.26651575905936103, -3.4981256757463726, -3.777207374572754
validating, 4, 0.3307794094085693, -3.8682157039642333, -3.9330787658691406
testing, 4, 0.20795138478279113, -3.737585973739624, -3.947716474533081
training, 5, 0.23840983595166887, -3.4809148005076818, -3.6759495735168457
validating, 5, 0.3136882185935974, -3.8759679794311523, -3.8545658588409424
testing, 5, 0.18947411179542542, -3.75507128238678, -4.0271077156066895
training, 6, 0.22140105622155326, -3.4689949240003313, -3.6935293674468994
validating, 6, 0.2784806966781616, -3.886740970611572, -4.0559401512146
testing, 6, 0.16086232662200928, -3.7781441450119018, -3.9825680255889893
training, 7, 0.22895783015659876, -3.4574364900588987, -3.681912660598755
validating, 7, 0.2872206449508667, -3.8790467262268065, -4.040092468261719
testing, 7, 0.16486785411834717, -3.7769731521606444, -4.0949015617370605
training, 8, 0.2123607839856829, -3.442338238443647, -3.6977334022521973
validating, 8, 0.2957089066505432, -3.874653196334839, -3.9323928356170654
testing, 8, 0.16727585792541505, -3.78365478515625, -3.9883453845977783
training, 9, 0.20910297972815378, -3.4457211460386006, -3.685304880142212
validating, 9, 0.3193318247795105, -3.8680208683013917, -3.8397316932678223
testing, 9, 0.18204047083854674, -3.7818129777908327, -4.150374412536621
training, 10, 0.22999890191214425, -3.465735871451242, -3.691704511642456
validating, 10, 0.30920532941818235, -3.867986297607422, -3.8013930320739746
testing, 10, 0.17293404340744017, -3.7849053621292112, -4.187586307525635
training, 11, 0.19680908066885813, -3.448725598199027, -3.6116950511932373
validating, 11, 0.2799436330795288, -3.868480396270752, -4.028618812561035
testing, 11, 0.15543566942214965, -3.775616979598999, -4.098236560821533
training, 12, 0.2265055400984628, -3.4849974461964197, -3.6970462799072266
validating, 12, 0.25791785717010496, -3.878647470474243, -3.8149514198303223
testing, 12, 0.1407724440097809, -3.7752557516098024, -4.0348334312438965
training, 13, 0.18761177573885238, -3.4393747806549073, -3.686622381210327
validating, 13, 0.26316425800323484, -3.8759572505950928, -4.1269354820251465
testing, 13, 0.14385440945625305, -3.7729758739471437, -4.038837432861328
training, 14, 0.19580696310315812, -3.4407305240631105, -3.6990530490875244
validating, 14, 0.27102323770523074, -3.8704451084136964, -4.124197006225586
testing, 14, 0.14861496686935424, -3.7770668268203735, -4.078289031982422
training, 15, 0.2006110600062779, -3.4438240596226284, -3.768554210662842
validating, 15, 0.27754420042037964, -3.8657742023468016, -3.9980435371398926
testing, 15, 0.1523102879524231, -3.775979685783386, -4.060858726501465
training, 16, 0.202053587777274, -3.443671103886196, -3.695868730545044
validating, 16, 0.28135712146759034, -3.869430494308472, -3.9329330921173096
testing, 16, 0.15472626686096191, -3.7748151302337645, -4.063155174255371
