mode, epoch, average loss, defender utility
training, -1, 0.0, -4.1716458661215645, -4.1287150382995605
validating, -1, 0.0, -4.474122619628906, -4.6819748878479
testing, -1, 0.0, -4.392884516716004, -4.456622123718262
training, 0, 1.347895564351763, -4.939233248574393, -4.936863899230957
validating, 0, 1.4485745191574098, -4.909964370727539, -4.893295764923096
testing, 0, 1.2564586639404296, -4.942547559738159, -4.940313339233398
training, 1, 1.334676057951791, -4.9180797031947545, -4.908425807952881
validating, 1, 1.390636134147644, -4.782740211486816, -4.769176959991455
testing, 1, 1.1959668159484864, -4.851239490509033, -4.873957633972168
training, 2, 1.0300382375717163, -4.650699554170881, -4.653475761413574
validating, 2, 0.7175697684288025, -4.37717342376709, -4.391537666320801
testing, 2, 0.5189578354358673, -4.519009590148926, -4.530144691467285
training, 3, 0.22354867713791984, -3.9452607563563755, -3.983773708343506
validating, 3, 0.1690046787261963, -4.212949895858765, -4.346515655517578
testing, 3, 0.09079992771148682, -4.44425253868103, -4.537383079528809
training, 4, 0.18228332655770438, -3.7919225828988212, -3.7014412879943848
validating, 4, 0.2682915925979614, -4.0743200302124025, -3.8658854961395264
testing, 4, 0.1389458119869232, -4.333453226089477, -4.3466949462890625
training, 5, 0.16823355640683854, -3.7717932224273683, -3.7536778450012207
validating, 5, 0.2850103497505188, -4.027274513244629, -4.003294467926025
testing, 5, 0.14604079127311706, -4.304357314109803, -4.192465305328369
training, 6, 0.196244364125388, -3.779297637939453, -3.7728075981140137
validating, 6, 0.263109827041626, -4.025209760665893, -4.017880439758301
testing, 6, 0.13003719449043274, -4.302305221557617, -4.406999588012695
training, 7, 0.1865875176021031, -3.757810367856707, -3.7553727626800537
validating, 7, 0.2640631437301636, -4.010773086547852, -4.072789192199707
testing, 7, 0.12961038947105408, -4.301254796981811, -4.295375823974609
training, 8, 0.20251849208559308, -3.7441609144210815, -3.7239675521850586
validating, 8, 0.34152859449386597, -3.9961819648742676, -4.121939182281494
testing, 8, 0.17967657446861268, -4.2964166641235355, -4.322939872741699
training, 9, 0.1916884286063058, -3.7427799020494734, -3.7141990661621094
validating, 9, 0.2466715931892395, -4.0101148128509525, -3.9644713401794434
testing, 9, 0.11720294952392578, -4.285094285011292, -4.268095016479492
training, 10, 0.19839786972318377, -3.7377257892063684, -3.725445032119751
validating, 10, 0.28262306451797486, -4.004196453094482, -3.939760684967041
testing, 10, 0.13900210261344909, -4.29693341255188, -4.270370006561279
training, 11, 0.1927317806652614, -3.7430304663521903, -3.782365083694458
validating, 11, 0.24896376132965087, -3.9989794731140136, -4.134369373321533
testing, 11, 0.1182034432888031, -4.306638407707214, -4.324519157409668
training, 12, 0.19457267693110875, -3.737601593562535, -3.7519173622131348
validating, 12, 0.27024165391921995, -4.007168340682983, -3.991015672683716
testing, 12, 0.12974268794059754, -4.317670273780823, -4.333227157592773
training, 13, 0.18887219258717128, -3.7256208828517368, -3.754887580871582
validating, 13, 0.2744163513183594, -4.006186008453369, -3.95458722114563
testing, 13, 0.13249195218086243, -4.307846999168396, -4.223320484161377
training, 14, 0.1929122243608747, -3.730159214564732, -3.6667611598968506
validating, 14, 0.2796438574790955, -4.0041345119476315, -4.014160633087158
testing, 14, 0.13571041822433472, -4.299618768692016, -4.295725345611572
training, 15, 0.1948299731527056, -3.729478829247611, -3.731785297393799
validating, 15, 0.2812342047691345, -4.002719402313232, -3.980849504470825
testing, 15, 0.13666107654571533, -4.301213121414184, -4.271607398986816
training, 16, 0.1972652690751212, -3.7279127734048028, -3.746182680130005
validating, 16, 0.2853469967842102, -4.0000190258026125, -4.077909469604492
testing, 16, 0.13934797048568726, -4.301956844329834, -4.288769245147705
training, 17, 0.19841746262141635, -3.728642586299351, -3.762256622314453
validating, 17, 0.2855082631111145, -4.000009965896607, -3.988903522491455
testing, 17, 0.13945988416671753, -4.303319668769836, -4.373339653015137
training, 18, 0.20164124965667723, -3.7312608548573087, -3.7420644760131836
validating, 18, 0.2961809754371643, -3.9929359436035154, -4.0082502365112305
testing, 18, 0.14631457924842833, -4.293783950805664, -4.413797855377197
training, 19, 0.2072199021066938, -3.732786158152989, -3.790297269821167
validating, 19, 0.2968870997428894, -3.9945089340209963, -4.015445232391357
testing, 19, 0.14682260751724244, -4.292109251022339, -4.387264251708984
training, 20, 0.20738768066678728, -3.7323912927082605, -3.7512001991271973
validating, 20, 0.29265341758728025, -3.9919480800628664, -3.8833835124969482
testing, 20, 0.14400625228881836, -4.314086365699768, -4.34181547164917
training, 21, 0.20667242322649274, -3.7297624826431273, -3.651092767715454
validating, 21, 0.2971243023872375, -3.9935324668884276, -4.0073323249816895
testing, 21, 0.14698070883750916, -4.307759189605713, -4.375802516937256
training, 22, 0.2030846561704363, -3.728080783571516, -3.736553907394409
validating, 22, 0.2923001766204834, -3.9932272911071776, -3.9411988258361816
testing, 22, 0.14391298294067384, -4.314362716674805, -4.386849403381348
training, 23, 0.2080360003880092, -3.732795476913452, -3.7316553592681885
validating, 23, 0.29888043403625486, -3.992982578277588, -4.032222270965576
testing, 23, 0.14812379479408264, -4.287693643569947, -4.209473609924316
training, 24, 0.20945618322917392, -3.7318030970437186, -3.757204294204712
validating, 24, 0.29879897832870483, -3.993013381958008, -3.971004009246826
testing, 24, 0.14807214736938476, -4.288392782211304, -4.267645835876465
training, 25, 0.2091037256377084, -3.731535587991987, -3.7513811588287354
validating, 25, 0.2985613107681274, -3.9929609298706055, -3.889188289642334
testing, 25, 0.14792026877403258, -4.287831854820252, -4.347631931304932
training, 26, 0.20933390004294258, -3.7326426437922886, -3.7236223220825195
validating, 26, 0.2984203815460205, -3.992963171005249, -4.0446977615356445
testing, 26, 0.14783390164375304, -4.292683339118957, -4.361380577087402
training, 27, 0.20947622401373728, -3.7311315400259835, -3.6820757389068604
validating, 27, 0.29875204563140867, -3.9929086685180666, -3.9459242820739746
testing, 27, 0.1480439841747284, -4.28887722492218, -4.321597099304199
training, 28, 0.20875415120806012, -3.7307919229779927, -3.742234468460083
validating, 28, 0.2977769494056702, -3.992979717254639, -3.9564404487609863
testing, 28, 0.14742165207862853, -4.305992078781128, -4.304953098297119
training, 29, 0.20851687703813826, -3.73055146081107, -3.735264301300049
validating, 29, 0.29783446788787843, -3.9929443359375, -3.958095073699951
testing, 29, 0.1474672555923462, -4.306099009513855, -4.358978748321533
training, 30, 0.20864920956747873, -3.73134298324585, -3.639373779296875
validating, 30, 0.29794390201568605, -3.9929268836975096, -4.036880016326904
testing, 30, 0.14753933548927306, -4.306032204627991, -4.341213226318359
training, 31, 0.208774163041796, -3.731338579314096, -3.717634916305542
validating, 31, 0.2978442311286926, -3.9928561210632325, -4.019776821136475
