mode, epoch, average loss, defender utility
training, -1, 0.0, -3.6852360725402833, -3.935659408569336
validating, -1, 0.0, -4.014055776596069, -4.252052307128906
testing, -1, 0.0, -3.7410452127456666, -4.3629961013793945
training, 0, 1.347895564351763, -4.829796913691929, -4.832652568817139
validating, 0, 1.4485745191574098, -4.841503524780274, -4.832031726837158
testing, 0, 1.2564586639404296, -4.786001348495484, -4.817746162414551
training, 1, 1.3286883354187011, -4.810885783604213, -4.832516193389893
validating, 1, 1.3644212007522583, -4.758647060394287, -4.746279239654541
testing, 1, 1.1678927421569825, -4.647307825088501, -4.7471489906311035
training, 2, 0.892735128743308, -4.284236465181623, -4.395956516265869
validating, 2, 0.45463411808013915, -3.924511957168579, -3.9102718830108643
testing, 2, 0.2935120761394501, -3.813062381744385, -4.073357582092285
training, 3, 0.14037736824580602, -3.7407569680895123, -3.992760419845581
validating, 3, 0.05317348837852478, -4.634048938751221, -4.851475715637207
testing, 3, 0.09388520717620849, -4.4664775133132935, -4.781002998352051
training, 4, 0.06333045193127224, -3.8825238500322614, -4.084906578063965
validating, 4, 0.04774444103240967, -4.421826982498169, -4.576027870178223
testing, 4, 0.07222057580947876, -4.331011199951172, -4.579323768615723
training, 5, 0.052293069022042414, -3.8282761778150287, -4.042230129241943
validating, 5, 0.04482002854347229, -4.39721269607544, -4.58343505859375
testing, 5, 0.06819837689399719, -4.3248884916305546, -4.6886138916015625
training, 6, 0.048031142779759, -3.8429597650255474, -4.061261177062988
validating, 6, 0.04703080654144287, -4.331017017364502, -4.483530044555664
testing, 6, 0.058759021759033206, -4.24283983707428, -4.356835842132568
training, 7, 0.041546930585588726, -3.859117899622236, -4.042669296264648
validating, 7, 0.03770476579666138, -4.379681396484375, -4.400661468505859
testing, 7, 0.06101348400115967, -4.35738959312439, -4.636926651000977
training, 8, 0.03582131607191903, -3.8622739553451537, -4.0340094566345215
validating, 8, 0.03625279664993286, -4.415483188629151, -4.324061393737793
testing, 8, 0.057724660634994505, -4.284794497489929, -4.469048500061035
training, 9, 0.03114053351538522, -3.89336884362357, -4.123529434204102
validating, 9, 0.0341916561126709, -4.412076187133789, -4.4018120765686035
testing, 9, 0.0524029016494751, -4.2650062322616575, -4.420191764831543
training, 10, 0.02491904752595084, -3.882658113752093, -4.051252365112305
validating, 10, 0.03352554440498352, -4.399076700210571, -4.378649711608887
testing, 10, 0.04474188089370727, -4.208083605766296, -4.2923054695129395
training, 11, 0.021038006033216206, -3.8983451979500905, -4.112400054931641
validating, 11, 0.026278942823410034, -4.431190443038941, -4.386416912078857
testing, 11, 0.05119943618774414, -4.268309307098389, -4.444361686706543
training, 12, 0.015256263528551374, -3.924035358428955, -4.078319549560547
validating, 12, 0.03134395480155945, -4.379881763458252, -4.413944721221924
testing, 12, 0.03907457590103149, -4.142010426521301, -4.33302116394043
training, 13, 0.012251804556165423, -3.8784794977733066, -4.131136417388916
validating, 13, 0.02658904194831848, -4.399887275695801, -4.400938987731934
testing, 13, 0.04156254529953003, -4.164733934402466, -4.268685340881348
training, 14, 0.010854826654706683, -3.912639563424247, -4.098869323730469
validating, 14, 0.023635351657867433, -4.418992424011231, -4.421418190002441
testing, 14, 0.03891106247901917, -4.204993343353271, -4.380844593048096
training, 15, 0.005785474606922695, -3.8815124920436315, -4.064419746398926
validating, 15, 0.031228137016296387, -4.367379808425904, -4.508734226226807
testing, 15, 0.02704743146896362, -4.103280138969422, -4.2883219718933105
training, 16, 0.00361735395022801, -3.8847093922751292, -4.1683244705200195
validating, 16, 0.026200032234191893, -4.390621900558472, -4.439452171325684
testing, 16, 0.04075876474380493, -4.1343776226043705, -4.383022785186768
training, 17, 0.0031593101365225656, -3.884628776141575, -4.023327350616455
