mode, epoch, average loss, defender utility
training, -1, 0.0, -4.885932431902204, -4.6231560707092285
validating, -1, 0.0, -5.032515048980713, -2.679028034210205
testing, -1, 0.0, -4.786828994750977, -4.960216522216797
training, 0, 2.629137420654297, -4.770295510973249, -4.808444499969482
validating, 0, 2.8089350700378417, -4.808778285980225, -4.768735885620117
testing, 0, 2.605722498893738, -4.801486253738403, -4.809990882873535
training, 1, 2.5876168659755163, -4.757195867810931, -4.902732849121094
validating, 1, 2.6519342422485352, -4.731195449829102, -4.409334659576416
testing, 1, 2.4501766920089723, -4.760025072097778, -4.645814895629883
training, 2, 2.1092642886298045, -4.5684987204415455, -4.386817932128906
validating, 2, 1.8596148252487184, -4.4897514343261715, -4.9764251708984375
testing, 2, 1.6604179739952087, -4.3414177894592285, -4.404036045074463
training, 3, 1.864385151863098, -4.3342785630907334, -4.409246444702148
validating, 3, 2.0348870038986204, -4.36441445350647, -4.391544342041016
testing, 3, 1.7783584475517273, -4.157820129394532, -3.5958282947540283
training, 4, 2.0805424519947597, -4.283209766660418, -4.222952365875244
validating, 4, 2.0203712701797487, -4.387457752227784, -5.4979753494262695
testing, 4, 1.7688058495521546, -4.157788991928101, -4.416391372680664
training, 5, 1.9540810891560145, -4.277795124053955, -4.428576946258545
validating, 5, 1.9803638219833375, -4.340382862091064, -4.42128849029541
testing, 5, 1.7258338332176208, -4.140447306632995, -3.511901378631592
training, 6, 1.9003533806119646, -4.276025438308716, -4.231017112731934
validating, 6, 1.9700992822647094, -4.362195777893066, -4.171988487243652
testing, 6, 1.7213701367378236, -4.147592186927795, -4.280250072479248
training, 7, 1.970965017591204, -4.275032806396484, -4.2802815437316895
validating, 7, 1.9014809846878051, -4.335211944580078, -4.331084251403809
testing, 7, 1.6546268343925477, -4.1332964420318605, -4.198822975158691
training, 8, 1.8654185806001935, -4.269609458105904, -4.024050235748291
validating, 8, 1.7997174501419066, -4.336870765686035, -3.8777763843536377
testing, 8, 1.5606396794319153, -4.133641195297241, -5.164429664611816
training, 9, 1.8571103947503227, -4.2664184025355745, -4.212900638580322
validating, 9, 1.8853526353836059, -4.340629291534424, -4.582674980163574
testing, 9, 1.6440617918968201, -4.1262846946716305, -4.198775291442871
training, 10, 1.8144214119229998, -4.270559780938285, -3.9960854053497314
validating, 10, 1.7387167692184449, -4.332271099090576, -3.8242239952087402
testing, 10, 1.5031370997428894, -4.120486450195313, -3.953193187713623
training, 11, 1.811421765599932, -4.267584480558123, -4.333399295806885
validating, 11, 1.8115613222122193, -4.329700374603272, -4.35634708404541
testing, 11, 1.5794690012931825, -4.125340819358826, -4.603362560272217
training, 12, 1.7168803657804217, -4.262443998881749, -4.373591423034668
validating, 12, 1.7748067140579225, -4.310504627227783, -4.441472053527832
testing, 12, 1.5413843274116517, -4.116067123413086, -3.7716941833496094
training, 13, 1.7576119014195033, -4.258882236480713, -4.150581359863281
validating, 13, 1.768103575706482, -4.318941688537597, -4.1100754737854
testing, 13, 1.536214864253998, -4.119340944290161, -3.7898247241973877
training, 14, 1.7408641270228795, -4.258721201760428, -4.3454976081848145
validating, 14, 1.7521167993545532, -4.316105842590332, -4.5556135177612305
testing, 14, 1.5217604756355285, -4.118571090698242, -4.843266487121582
training, 15, 1.7330835614885602, -4.25880274772644, -4.169181823730469
validating, 15, 1.7341117143630982, -4.316085338592529, -4.318940162658691
testing, 15, 1.5053054213523864, -4.1173196792602536, -3.7914035320281982
training, 16, 1.7033978019441878, -4.257660804476057, -3.963369369506836
validating, 16, 1.7299664735794067, -4.320654296875, -3.1924185752868652
testing, 16, 1.5020134568214416, -4.1176775932312015, -4.102005958557129
training, 17, 1.70728234904153, -4.260229328700475, -4.517428874969482
validating, 17, 1.73691565990448, -4.312796306610108, -3.851266860961914
testing, 17, 1.508043372631073, -4.118575119972229, -4.396120071411133
training, 18, 1.6986419575554983, -4.257377467836652, -4.071692943572998
validating, 18, 1.7206382036209107, -4.316409111022949, -5.582893371582031
testing, 18, 1.4931990027427673, -4.118578958511352, -3.7532382011413574
training, 19, 1.715574199812753, -4.257068259375436, -4.056670665740967
validating, 19, 1.7387482881546021, -4.313446998596191, -4.665402412414551
testing, 19, 1.5106865763664246, -4.117991590499878, -3.9305965900421143
mode, epoch, average loss, defender utility
training, -1, 0.0, -2.720739541734968, -2.5264649391174316
validating, -1, 0.0, -2.669401931762695, -3.36204195022583
testing, -1, 0.0, -2.6830136299133303, -2.250397205352783
training, 0, 1.6015750714710781, -2.464185401371547, -2.4833462238311768
validating, 0, 2.302769136428833, -2.4416975021362304, -2.4286303520202637
testing, 0, 1.4114544153213502, -2.477780485153198, -2.373260259628296
training, 1, 1.6008113690785, -2.4640855993543354, -2.4417498111724854
validating, 1, 2.2981754779815673, -2.4408658504486085, -2.4272971153259277
testing, 1, 1.4087449312210083, -2.477342653274536, -2.5723161697387695
training, 2, 1.5874792201178414, -2.461775016784668, -2.495983362197876
validating, 2, 2.238376426696777, -2.429167366027832, -2.5090832710266113
testing, 2, 1.3751088619232177, -2.471574568748474, -2.513446569442749
training, 3, 1.5119717393602643, -2.444103186471122, -2.4325244426727295
validating, 3, 2.0038881301879883, -2.384085845947266, -2.3010692596435547
testing, 3, 1.2544440507888794, -2.45000581741333, -2.5547680854797363
training, 4, 1.3677647624697005, -2.416061966759818, -2.36714768409729
validating, 4, 1.7153538465499878, -2.3425193309783934, -2.4701266288757324
testing, 4, 1.161336934566498, -2.4362717151641844, -2.47285532951355
training, 5, 1.2706603186471122, -2.408438083103725, -2.380753517150879
validating, 5, 1.6241644144058227, -2.3445075511932374, -2.4835171699523926
testing, 5, 1.0894549489021301, -2.429841423034668, -2.148439884185791
training, 6, 1.216327977180481, -2.4051827362605502, -2.340778350830078
validating, 6, 1.6300419569015503, -2.345387315750122, -2.1527647972106934
testing, 6, 1.062481415271759, -2.4288217544555666, -2.335709810256958
training, 7, 1.1932949372700283, -2.4036570957728793, -2.4129724502563477
validating, 7, 1.5732057332992553, -2.344026231765747, -2.2259769439697266
testing, 7, 1.0383140444755554, -2.4279128313064575, -2.2275948524475098
training, 8, 1.149847756113325, -2.4019490105765207, -2.478407621383667
validating, 8, 1.5342878580093384, -2.343340349197388, -2.6652464866638184
testing, 8, 1.0048670172691345, -2.425762486457825, -2.3144805431365967
training, 9, 1.111824059486389, -2.4010134288242884, -2.3027682304382324
validating, 9, 1.5230709791183472, -2.3427783966064455, -2.6180975437164307
testing, 9, 0.9769612669944763, -2.4264155864715575, -2.325294256210327
training, 10, 1.0700403451919556, -2.3994841030665808, -2.331918716430664
validating, 10, 1.4488807916641235, -2.3425639152526854, -2.4788756370544434
testing, 10, 0.9290601372718811, -2.4239187479019164, -2.338440418243408
training, 11, 1.005531999043056, -2.397963217326573, -2.33876895904541
validating, 11, 1.39154155254364, -2.341418504714966, -2.2645678520202637
testing, 11, 0.8834133744239807, -2.4225680351257326, -2.5029048919677734
training, 12, 0.9570843526295253, -2.397063343865531, -2.2662665843963623
validating, 12, 1.3338600873947144, -2.339151668548584, -2.198370933532715
testing, 12, 0.8295494437217712, -2.4222952127456665, -2.4858028888702393
training, 13, 0.9175034625189645, -2.3956687450408936, -2.464573621749878
