mode, epoch, average loss, defender utility
training, -1, 0.0, -4.3752850123814175, -4.04540491104126
validating, -1, 0.0, -4.288259410858155, -4.928674221038818
testing, -1, 0.0, -4.144245576858521, -4.320709228515625
training, 0, 2.6291374002184185, -4.909481743403844, -4.871455192565918
validating, 0, 2.8089348793029787, -4.977270889282226, -4.820677757263184
testing, 0, 2.6057222843170167, -4.8599577903747555, -4.576380252838135
training, 1, 2.5415650367736817, -4.853560216086251, -4.747004985809326
validating, 1, 2.4020957946777344, -4.744969081878662, -4.9851975440979
testing, 1, 2.2135828495025636, -4.648604822158814, -4.678828239440918
training, 2, 1.443217979158674, -4.721506105150495, -4.556548118591309
validating, 2, 0.8867451906204223, -5.626731014251709, -4.920616149902344
testing, 2, 0.8357018530368805, -5.113626718521118, -5.51270866394043
training, 3, 1.029654664652688, -5.046402222769601, -4.849553108215332
validating, 3, 0.9032519102096558, -5.251361751556397, -6.233851432800293
testing, 3, 0.8390892446041107, -4.718857622146606, -4.404479026794434
training, 4, 1.00294246503285, -5.192896938323974, -4.944538116455078
validating, 4, 0.8572538614273071, -5.2982738494873045, -6.174835205078125
testing, 4, 0.8017734467983246, -4.8621625900268555, -4.7058563232421875
training, 5, 0.9997309940201896, -5.046154308319092, -4.523652076721191
validating, 5, 0.8738457918167114, -5.224410629272461, -5.502437591552734
testing, 5, 0.8084629952907563, -4.692153406143189, -4.588452339172363
training, 6, 0.9829397559165954, -5.015116930007935, -5.135304927825928
validating, 6, 0.8419691801071167, -5.248667907714844, -5.922031879425049
testing, 6, 0.7812656700611115, -4.814457178115845, -5.426380634307861
training, 7, 0.9589376841272627, -5.032820224761963, -4.997145175933838
validating, 7, 0.8063003182411194, -5.277033710479737, -6.048436164855957
testing, 7, 0.7510582864284515, -4.8311025381088255, -5.404613494873047
training, 8, 0.9574360183307102, -4.875168064662389, -4.994809150695801
validating, 8, 0.7849988341331482, -5.2708944320678714, -5.395146369934082
testing, 8, 0.7301566183567048, -4.546680212020874, -4.640528202056885
training, 9, 0.9332360080310277, -4.85350443976266, -5.048598766326904
validating, 9, 0.7440198302268982, -5.303782272338867, -3.694786787033081
testing, 9, 0.6956139385700226, -4.577465319633484, -5.6054182052612305
training, 10, 0.906001695564815, -4.829205656051636, -4.805123805999756
