mode, epoch, average loss, defender utility
training, -1, 0.0, -4.884934909003121, -4.623908519744873
validating, -1, 0.0, -5.032530975341797, -2.679107666015625
testing, -1, 0.0, -4.786896181106568, -4.960019111633301
training, 0, 2.6291374002184185, -4.770297363826207, -4.80844783782959
validating, 0, 2.8089348793029787, -4.808778381347656, -4.768734455108643
testing, 0, 2.6057222843170167, -4.80148754119873, -4.8099894523620605
training, 1, 2.5439435209546772, -4.750093514578683, -4.870391368865967
validating, 1, 2.4157316207885744, -4.726259994506836, -4.894069671630859
testing, 1, 2.226604437828064, -4.703567743301392, -4.637758255004883
training, 2, 1.5273036718368531, -4.753440536771502, -4.698322772979736
validating, 2, 0.9232069253921509, -5.015957546234131, -5.153311729431152
testing, 2, 0.8594285428524018, -4.7815845012664795, -5.2637434005737305
training, 3, 1.027323956148965, -4.824587951387678, -5.208010196685791
validating, 3, 0.8714868783950805, -5.081689357757568, -5.455521583557129
testing, 3, 0.8161979854106903, -4.839850568771363, -5.153170108795166
training, 4, 1.0049824050494602, -4.763893052509853, -4.657429218292236
validating, 4, 0.922378134727478, -4.921687984466553, -5.760609149932861
testing, 4, 0.8473308622837067, -4.718830394744873, -3.917170286178589
training, 5, 1.0251770411218917, -4.843563086645943, -4.8421630859375
validating, 5, 0.8952708005905151, -4.917594051361084, -6.192513942718506
testing, 5, 0.8220887839794159, -4.675601863861084, -4.688569068908691
training, 6, 0.9910922476223537, -4.777493606294905, -4.788423538208008
validating, 6, 0.8657092809677124, -4.9126770973205565, -5.012873649597168
testing, 6, 0.795596569776535, -4.70006046295166, -4.869275093078613
training, 7, 0.9728269832474845, -4.810232891355242, -4.716562747955322
validating, 7, 0.8538672208786011, -4.864677143096924, -4.910608768463135
testing, 7, 0.7785675466060639, -4.655183887481689, -4.9897894859313965
training, 8, 0.9264804005622864, -4.719060243879046, -4.291752815246582
validating, 8, 0.8255080938339233, -4.862116146087646, -4.589932918548584
testing, 8, 0.7540668785572052, -4.66233344078064, -4.002761363983154
training, 9, 0.9132260067122323, -4.721522229058402, -5.076354026794434
validating, 9, 0.7743747472763062, -4.8894453048706055, -5.527449607849121
testing, 9, 0.7079319536685944, -4.73247218132019, -4.939709663391113
training, 10, 0.8902282970292228, -4.8386717183249335, -3.9212000370025635
validating, 10, 0.7225569367408753, -4.913259220123291, -4.9926557540893555
testing, 10, 0.6600628554821014, -4.756293106079101, -4.372496128082275
training, 11, 0.8318432569503784, -4.772530562537057, -5.454516887664795
validating, 11, 0.6561593770980835, -4.997635841369629, -5.499299049377441
testing, 11, 0.6011499226093292, -4.7341655731201175, -4.4487175941467285
training, 12, 0.7947454060826983, -4.800551795959473, -4.972629070281982
validating, 12, 0.6045771598815918, -4.975218772888184, -6.302880764007568
testing, 12, 0.5497842371463776, -4.745742702484131, -4.742553234100342
training, 13, 0.739439012323107, -4.921561241149902, -5.639298439025879
validating, 13, 0.5242584943771362, -5.0111696243286135, -4.2409210205078125
testing, 13, 0.4747052490711212, -4.808030652999878, -4.177761554718018
training, 14, 0.6923203306538718, -4.808110318865094, -5.336852550506592
validating, 14, 0.44701573848724363, -5.039724063873291, -4.848752498626709
testing, 14, 0.4096152752637863, -4.839957547187805, -4.982958793640137
training, 15, 0.6301119216850826, -4.94938714163644, -4.850221633911133
validating, 15, 0.3962170362472534, -4.946089172363282, -5.584822654724121
testing, 15, 0.350302192568779, -4.7427003383636475, -4.763246059417725
training, 16, 0.5558872537953513, -4.923845079966954, -5.580118656158447
validating, 16, 0.32322394847869873, -4.876482391357422, -4.911850452423096
testing, 16, 0.2769559293985367, -4.690564489364624, -5.582083702087402
training, 17, 0.49914311766624453, -4.871511616025653, -5.326754093170166
validating, 17, 0.2495483160018921, -4.8732075691223145, -4.529453277587891
testing, 17, 0.2115855723619461, -4.73864254951477, -5.402480125427246
training, 18, 0.45727478180612835, -4.959774793897356, -5.262559413909912
validating, 18, 0.19210550785064698, -4.885966777801514, -5.474939823150635
testing, 18, 0.159759321808815, -4.771555328369141, -5.763448238372803
training, 19, 0.4319748546395983, -4.895896918433053, -4.913205623626709
validating, 19, 0.17891945838928222, -4.855125141143799, -5.8522047996521
testing, 19, 0.13855750858783722, -4.716468620300293, -4.543323516845703
mode, epoch, average loss, defender utility
training, -1, 0.0, -2.7205761909484862, -2.526750087738037
validating, -1, 0.0, -2.6692309379577637, -3.3617660999298096
testing, -1, 0.0, -2.683083963394165, -2.2503669261932373
training, 0, 1.6015750714710781, -2.464185346875872, -2.4833462238311768
validating, 0, 2.302769136428833, -2.4416974067687987, -2.4286301136016846
testing, 0, 1.4114544868469239, -2.477780342102051, -2.373260021209717
training, 1, 1.5987168618610927, -2.4641417367117744, -2.4418880939483643
validating, 1, 2.2884913444519044, -2.4414246559143065, -2.4282867908477783
testing, 1, 1.3993112802505494, -2.4774412870407105, -2.5717616081237793
training, 2, 1.5288022347858974, -2.4628843988691056, -2.4973366260528564
validating, 2, 2.0865875244140626, -2.441317653656006, -2.5081746578216553
testing, 2, 1.2224530458450318, -2.4758187532424927, -2.5196592807769775
training, 3, 1.1504804100309098, -2.456881400517055, -2.4604759216308594
validating, 3, 1.4178480863571168, -2.450773572921753, -2.4567580223083496
testing, 3, 0.6705438017845153, -2.4727569103240965, -2.4710566997528076
training, 4, 0.5308950594493321, -2.44750862121582, -2.401988983154297
validating, 4, 0.6381600975990296, -2.43835506439209, -2.6691768169403076
testing, 4, 0.19656063318252565, -2.460747504234314, -2.6513466835021973
training, 5, 0.21252587522779193, -2.4377810886928013, -2.3901336193084717
validating, 5, 0.26541935205459594, -2.4305660247802736, -2.385164260864258
testing, 5, 0.1360817074775696, -2.4378886938095095, -2.491425037384033
training, 6, 0.1397875530379159, -2.4399591037205286, -2.4352426528930664
validating, 6, 0.13973169922828674, -2.5052438259124754, -2.6405186653137207
testing, 6, 0.1495406985282898, -2.4682592153549194, -2.7141103744506836
