mode, epoch, average loss, defender utility
training, -1, 0.21797225645610263, -3.7118466794490814, 0.0
validating, -1, 0.22424474954605103, -3.4882216453552246, 0.0
testing, -1, 0.20643783807754518, -3.743217372894287, 0.0
training, 0, 2.6081513064248223, -6.1800589288984025, 0.0
validating, 0, 3.013928842544556, -6.137342262268066, 0.0
testing, 0, 2.812178945541382, -6.091849708557129, 0.0
training, 1, 2.640454946245466, -6.115663705553327, 0.0
validating, 1, 3.2126841068267824, -5.79429407119751, 0.0
testing, 1, 2.961823296546936, -5.674059629440308, 0.0
training, 2, 3.3623696054731096, -5.453982094355992, 0.0
validating, 2, 5.668523597717285, -4.723768091201782, 0.0
testing, 2, 5.299734210968017, -4.497168564796448, 0.0
mode, epoch, average loss, defender utility
training, -1, 0.3530860321862357, -2.5424754500988684, 0.0
validating, -1, 0.356050443649292, -3.066741132736206, 0.0
testing, -1, 0.3564180552959442, -3.042352092266083, 0.0
training, 0, 2.997135196413313, -3.5384492942265102, 0.0
validating, 0, 2.917189693450928, -3.5407388687133787, 0.0
testing, 0, 2.9931225299835207, -3.5251222610473634, 0.0
training, 1, 2.557816645077297, -3.430760533469064, 0.0
validating, 1, 1.6280986309051513, -3.0083712577819823, 0.0
testing, 1, 1.674108350276947, -2.9513189077377318, 0.0
training, 2, 1.3478516169956751, -2.5454086031232563, 0.0
validating, 2, 1.2371657371520997, -2.818104887008667, 0.0
testing, 2, 1.3095691084861756, -2.658965277671814, 0.0
training, 3, 1.277154016494751, -2.4954227106911797, 0.0
validating, 3, 1.1936034679412841, -2.744899797439575, 0.0
testing, 3, 1.2459794878959656, -2.6094187021255495, 0.0
training, 4, 1.1559825897216798, -2.480246639251709, 0.0
validating, 4, 1.1173124313354492, -2.7204168796539308, 0.0
testing, 4, 1.15792156457901, -2.5954427480697633, 0.0
training, 5, 1.0543540682111467, -2.4776581866400584, 0.0
validating, 5, 0.976253080368042, -2.713519811630249, 0.0
testing, 5, 1.0054646849632263, -2.58913836479187, 0.0
training, 6, 0.886676447732108, -2.422430423327855, 0.0
validating, 6, 0.7049171209335328, -2.7848155975341795, 0.0
testing, 6, 0.731027466058731, -2.6401363372802735, 0.0
training, 7, 0.667851413999285, -2.384498579161508, 0.0
validating, 7, 0.6046810388565064, -2.716589403152466, 0.0
testing, 7, 0.6023038685321808, -2.611551308631897, 0.0
training, 8, 0.586750510760716, -2.3807892084121702, 0.0
validating, 8, 0.5040535211563111, -2.7650577545166017, 0.0
testing, 8, 0.5056433260440827, -2.666279339790344, 0.0
training, 9, 0.5368005854742868, -2.3827942405428204, 0.0
validating, 9, 0.44100801944732665, -2.8559569835662844, 0.0
testing, 9, 0.44355490803718567, -2.792198371887207, 0.0
training, 10, 0.5401133673531668, -2.370933016708919, 0.0
validating, 10, 0.5019039392471314, -2.738454818725586, 0.0
testing, 10, 0.4935683190822601, -2.6582595109939575, 0.0
training, 11, 0.5155608313424247, -2.356249068464552, 0.0
validating, 11, 0.4388831853866577, -2.8005456924438477, 0.0
testing, 11, 0.43117052912712095, -2.746167540550232, 0.0
training, 12, 0.5106237854276384, -2.359519055911473, 0.0
validating, 12, 0.4667575120925903, -2.753266191482544, 0.0
testing, 12, 0.4520385444164276, -2.7184787511825563, 0.0
training, 13, 0.49389373574938095, -2.3505434223583768, 0.0
validating, 13, 0.4816982984542847, -2.7438578605651855, 0.0
testing, 13, 0.46659266352653506, -2.719333267211914, 0.0
training, 14, 0.49631269318716864, -2.3450319392340524, 0.0
validating, 14, 0.4778858423233032, -2.7477040767669676, 0.0
testing, 14, 0.4624720513820648, -2.7260344505310057, 0.0
training, 15, 0.5051223448344639, -2.3486943176814488, 0.0
validating, 15, 0.479591965675354, -2.74578537940979, 0.0
