mode, epoch, average loss, defender utility
training, -1, 0.0, -3.757118238721575, 0.0
validating, -1, 0.0, -3.8099891185760497, 0.0
testing, -1, 0.0, -3.663073205947876, 0.0
training, 0, 0.7431393776621137, -3.6733968666621615, 0.0
validating, 0, -0.27270625829696654, -3.704946517944336, 0.0
testing, 0, 0.5302273333072662, -3.655818557739258, 0.0
training, 1, 0.7367079138755799, -3.6702349526541576, 0.0
validating, 1, -0.2779768109321594, -3.6934179306030273, 0.0
testing, 1, 0.5081234395503997, -3.643918204307556, 0.0
training, 2, 0.6249756574630737, -3.6246127605438234, 0.0
validating, 2, -0.3040828168392181, -3.6062052726745604, 0.0
testing, 2, 0.28159672021865845, -3.5333126068115233, 0.0
training, 3, 0.3148542038031987, -3.5322442054748535, 0.0
validating, 3, -0.25656113028526306, -3.5922598361968996, 0.0
testing, 3, 0.16883239448070525, -3.4632883071899414, 0.0
training, 4, 0.2885676171098437, -3.5112154620034355, 0.0
validating, 4, -0.23893041014671326, -3.588175916671753, 0.0
testing, 4, 0.16375648677349092, -3.4490552663803102, 0.0
training, 5, 0.29260639122554233, -3.5057116644723076, 0.0
validating, 5, -0.23680618405342102, -3.584716033935547, 0.0
testing, 5, 0.16379201114177705, -3.445823407173157, 0.0
training, 6, 0.2931810557842255, -3.503305700847081, 0.0
validating, 6, -0.2423359215259552, -3.582830715179443, 0.0
testing, 6, 0.1612708240747452, -3.4443495988845827, 0.0
training, 7, 0.29234987071582247, -3.5006527151380267, 0.0
validating, 7, -0.24337504506111146, -3.581745672225952, 0.0
testing, 7, 0.1653487801551819, -3.4436383962631227, 0.0
training, 8, 0.2877869461263929, -3.498610748563494, 0.0
validating, 8, -0.2449735939502716, -3.5832684516906737, 0.0
testing, 8, 0.15838402211666108, -3.443030762672424, 0.0
training, 9, 0.2923850340502603, -3.4980693680899484, 0.0
validating, 9, -0.25037931799888613, -3.5817161083221434, 0.0
testing, 9, 0.16631584763526916, -3.4431984186172486, 0.0
training, 10, 0.29683943731444223, -3.496604013442993, 0.0
validating, 10, -0.246099990606308, -3.581467866897583, 0.0
testing, 10, 0.1700829803943634, -3.4427501916885377, 0.0
training, 11, 0.2858356969697135, -3.495684664590018, 0.0
validating, 11, -0.2615103662014008, -3.578551435470581, 0.0
testing, 11, 0.20565791726112365, -3.4502474069595337, 0.0
mode, epoch, average loss, defender utility
training, -1, 0.09658174855368477, -3.5643636703491213, 0.0
validating, -1, 0.10366618633270264, -3.6005946159362794, 0.0
testing, -1, 0.08560414910316468, -3.5748777389526367, 0.0
training, 0, 0.49512113843645367, -3.647274514607021, 0.0
validating, 0, 0.6550564169883728, -3.726384687423706, 0.0
testing, 0, 0.6029591083526611, -3.6519564151763917, 0.0
training, 1, 0.49295570509774345, -3.645837940488543, 0.0
validating, 1, 0.6410099625587463, -3.716648530960083, 0.0
testing, 1, 0.5866687774658204, -3.6390289545059202, 0.0
training, 2, 0.43527775832584925, -3.60536527633667, 0.0
validating, 2, 0.46696354150772096, -3.6108633518218993, 0.0
testing, 2, 0.39408780336380006, -3.4865116119384765, 0.0
