mode, epoch, average loss, defender utility
training, -1, 0.7183514867510115, -3.789789710726057, 0.0
validating, -1, 0.5891882896423339, -3.8323873043060304, 0.0
testing, -1, 0.7711793899536132, -3.854086136817932, 0.0
training, 0, 0.9337318352290562, -3.762381410598755, 0.0
validating, 0, 0.8824391841888428, -3.8293309211730957, 0.0
testing, 0, 1.025417184829712, -3.8288931131362913, 0.0
training, 1, 0.9318685054779052, -3.7620677062443324, 0.0
validating, 1, 0.8734060764312744, -3.8288548946380616, 0.0
testing, 1, 1.0157867431640626, -3.8276196479797364, 0.0
training, 2, 0.8957454749516078, -3.756462982722691, 0.0
validating, 2, 0.7782889366149902, -3.823762893676758, 0.0
testing, 2, 0.920163631439209, -3.824023628234863, 0.0
training, 3, 0.8061504295894077, -3.7715563024793353, 0.0
validating, 3, 0.6685675144195556, -3.862638807296753, 0.0
testing, 3, 0.8540349006652832, -3.890801191329956, 0.0
training, 4, 0.7939078365053449, -3.8097619806017193, 0.0
validating, 4, 0.671724271774292, -3.851508903503418, 0.0
testing, 4, 0.847201132774353, -3.8784462451934814, 0.0
training, 5, 0.7899272373744419, -3.797338077000209, 0.0
validating, 5, 0.6666421890258789, -3.8535998821258546, 0.0
testing, 5, 0.8436823844909668, -3.8793344259262086, 0.0
training, 6, 0.7869216510227748, -3.798488071986607, 0.0
validating, 6, 0.6640857696533203, -3.8520047664642334, 0.0
testing, 6, 0.840156364440918, -3.8767072916030885, 0.0
training, 7, 0.7842412982668195, -3.8005199977329798, 0.0
validating, 7, 0.6555735111236572, -3.8584807395935057, 0.0
testing, 7, 0.8372584819793701, -3.884350633621216, 0.0
training, 8, 0.7813512393406459, -3.7914803300585067, 0.0
validating, 8, 0.6580908298492432, -3.850600337982178, 0.0
testing, 8, 0.8335014104843139, -3.8723018646240233, 0.0
training, 9, 0.7789951392582485, -3.8001703057970317, 0.0
validating, 9, 0.6541419506072998, -3.850188112258911, 0.0
testing, 9, 0.8298084259033203, -3.8706525325775147, 0.0
training, 10, 0.7740997620991298, -3.798322663988386, 0.0
validating, 10, 0.6438844203948975, -3.8567038059234617, 0.0
testing, 10, 0.8258021831512451, -3.877792978286743, 0.0
training, 11, 0.7710259369441441, -3.7998794419424873, 0.0
validating, 11, 0.6429777622222901, -3.851314878463745, 0.0
testing, 11, 0.8215004920959472, -3.8704509496688844, 0.0
