mode, epoch, average loss, defender utility
training, -1, 0.18875464307410375, -3.21543869972229, 0.0
validating, -1, 0.15541576016694308, -2.9532612323760987, 0.0
testing, -1, 0.12258081473410129, -3.2667468547821046, 0.0
training, 0, 1.3792155981063843, -4.159938832691737, 0.0
validating, 0, 1.398083782196045, -4.163311290740967, 0.0
testing, 0, 1.4078925371170044, -4.159072828292847, 0.0
training, 1, 1.3667284011840821, -4.152412210191999, 0.0
validating, 1, 1.3287321090698243, -4.156443691253662, 0.0
testing, 1, 1.3427670001983643, -4.1318155288696286, 0.0
training, 2, 1.1211800490106856, -3.859628643308367, 0.0
validating, 2, 0.7030356168746948, -3.3409299850463867, 0.0
testing, 2, 0.744783741235733, -3.4439244270324707, 0.0
training, 3, 0.5637642157929285, -3.293342079435076, 0.0
validating, 3, 0.3226933844387531, -2.968432140350342, 0.0
testing, 3, 0.2674256473779678, -3.151665759086609, 0.0
training, 4, 0.35903246040855136, -3.187633834566389, 0.0
validating, 4, 0.28870757948607206, -2.984494924545288, 0.0
testing, 4, 0.19848172068595887, -3.200486254692078, 0.0
training, 5, 0.30068699259843146, -3.188856976372855, 0.0
validating, 5, 0.25264342930167916, -2.9831969261169435, 0.0
testing, 5, 0.17485884055495263, -3.2122016191482543, 0.0
training, 6, 0.2669618847114699, -3.1942681993756974, 0.0
validating, 6, 0.2336904790252447, -2.9856592178344727, 0.0
testing, 6, 0.15788880307227374, -3.235107946395874, 0.0
training, 7, 0.24368635565042496, -3.1905713149479458, 0.0
validating, 7, 0.2076667357236147, -2.9739378452301026, 0.0
testing, 7, 0.14957496263086795, -3.225750708580017, 0.0
training, 8, 0.2281042660985674, -3.1938324928283692, 0.0
validating, 8, 0.19583389908075333, -2.9708611488342287, 0.0
testing, 8, 0.13884934317320585, -3.24664192199707, 0.0
training, 9, 0.2172111377120018, -3.196754264831543, 0.0
validating, 9, 0.18720874637365342, -2.965851163864136, 0.0
testing, 9, 0.13492783457040786, -3.2490331649780275, 0.0
training, 10, 0.21297477771128928, -3.1967505999973844, 0.0
