mode, epoch, average loss, defender utility
training, -1, 0.16069432667323522, -1.1639195340020316, 0.0
validating, -1, 0.09459495544433594, -0.2862817645072937, 0.0
testing, -1, 0.17242193222045898, -0.7885832190513611, 0.0
training, 0, 9.963471344539098, -2.1317866700036183, 0.0
validating, 0, 20.215272903442383, -0.8501663208007812, 0.0
testing, 0, 11.236365795135498, -1.2182515561580658, 0.0
training, 1, 10.033034324645996, -2.117847979068756, 0.0
validating, 1, 20.171297073364258, -0.7484009265899658, 0.0
testing, 1, 11.262342929840088, -1.2339910566806793, 0.0
training, 2, 9.926823479788643, -2.031044977051871, 0.0
validating, 2, 19.7365665435791, -0.7268819212913513, 0.0
testing, 2, 11.015350818634033, -1.2162463665008545, 0.0
training, 3, 9.73486042022705, -2.0044610840933665, 0.0
validating, 3, 18.913034439086914, -0.6554287672042847, 0.0
testing, 3, 10.599236965179443, -1.2182880640029907, 0.0
training, 4, 9.335935933249337, -1.9292659589222498, 0.0
validating, 4, 17.859270095825195, -0.5959607362747192, 0.0
testing, 4, 10.066968441009521, -1.205292820930481, 0.0
training, 5, 9.193024839673724, -1.896330646106175, 0.0
validating, 5, 17.120515823364258, -0.5592333078384399, 0.0
testing, 5, 9.776059627532959, -1.1983859539031982, 0.0
training, 6, 9.396404130118233, -1.883896997996739, 0.0
validating, 6, 16.790624618530273, -0.5768722891807556, 0.0
testing, 6, 9.399034023284912, -1.163569688796997, 0.0
training, 7, 8.851479121616908, -1.8497619118009294, 0.0
validating, 7, 16.242063522338867, -0.5332242250442505, 0.0
testing, 7, 9.248911380767822, -1.1878897547721863, 0.0
training, 8, 9.26728596006121, -1.9619375382150923, 0.0
validating, 8, 18.122461318969727, -0.6364675760269165, 0.0
testing, 8, 10.135032176971436, -1.1728899478912354, 0.0
training, 9, 9.390190328870501, -1.935411878994533, 0.0
validating, 9, 18.58812141418457, -0.6412463784217834, 0.0
testing, 9, 10.44670820236206, -1.2331322133541107, 0.0
training, 10, 9.511752264840263, -1.856572253363473, 0.0
validating, 10, 18.21576499938965, -0.7180665731430054, 0.0
testing, 10, 10.265530109405518, -1.3886828422546387, 0.0
training, 11, 9.23461423601423, -1.8736664993422372, 0.0
validating, 11, 17.44737434387207, -0.613559365272522, 0.0
testing, 11, 9.834134578704834, -1.113498568534851, 0.0
training, 12, 9.292968886239189, -1.8889952387128557, 0.0
validating, 12, 16.79637336730957, -0.5708304643630981, 0.0
testing, 12, 9.56159257888794, -1.1842177212238312, 0.0
training, 13, 9.319691453661237, -1.8871090497289384, 0.0
validating, 13, 16.766374588012695, -0.5569596886634827, 0.0
testing, 13, 9.547080516815186, -1.1743748784065247, 0.0
training, 14, 9.257532732827324, -1.8614439197949, 0.0
validating, 14, 16.803918838500977, -0.5497407913208008, 0.0
testing, 14, 9.553635120391846, -1.183902531862259, 0.0
training, 15, 9.221863201686315, -1.8568578277315413, 0.0
validating, 15, 16.839078903198242, -0.5495672225952148, 0.0
testing, 15, 9.57207441329956, -1.1913191676139832, 0.0
training, 16, 9.22557020187378, -1.8594403862953186, 0.0
validating, 16, 16.83847999572754, -0.5494467616081238, 0.0
testing, 16, 9.571863651275635, -1.1903592348098755, 0.0
training, 17, 9.22330801827567, -1.8593201807567052, 0.0
mode, epoch, average loss, defender utility
training, -1, 0.1015492592539106, -1.6637212548937117, 0.0
mode, epoch, average loss, defender utility
