mode, epoch, average loss, defender utility
training, -1, 0.09020885569708688, -2.1895890406199863, 0.0
validating, -1, 0.0957443118095398, -2.227022981643677, 0.0
testing, -1, 0.09504685997962951, -2.207017993927002, 0.0
training, 0, 1.1928867135729109, -2.5192357131413052, 0.0
validating, 0, 1.083134078979492, -2.5196455478668214, 0.0
testing, 0, 1.1834014058113098, -2.520020365715027, 0.0
training, 1, 1.1928345441818238, -2.5193944249834335, 0.0
validating, 1, 1.082813572883606, -2.519359064102173, 0.0
testing, 1, 1.1829421758651733, -2.519623875617981, 0.0
training, 2, 1.1924949645996095, -2.5188770702907015, 0.0
validating, 2, 1.082516074180603, -2.5190741062164306, 0.0
testing, 2, 1.1828060626983643, -2.519498610496521, 0.0
training, 3, 1.1922532217843191, -2.5185749394553048, 0.0
validating, 3, 1.0809956550598145, -2.517925500869751, 0.0
testing, 3, 1.1812403440475463, -2.5183460474014283, 0.0
training, 4, 1.191422462463379, -2.518024935041155, 0.0
validating, 4, 1.0807576179504395, -2.5176201343536375, 0.0
testing, 4, 1.1807857394218444, -2.5180568218231203, 0.0
training, 5, 1.1908485412597656, -2.5174992765699113, 0.0
validating, 5, 1.0791374921798706, -2.516416597366333, 0.0
testing, 5, 1.17872474193573, -2.516773891448975, 0.0
training, 6, 1.1895777497972762, -2.516663408279419, 0.0
validating, 6, 1.0744864702224732, -2.5134461879730225, 0.0
testing, 6, 1.1729793787002563, -2.5130225896835325, 0.0
training, 7, 1.1896867411477225, -2.5162723881857736, 0.0
validating, 7, 1.0720449209213256, -2.5118125915527343, 0.0
testing, 7, 1.1683164358139038, -2.5137948989868164, 0.0
training, 8, 1.1865556512560163, -2.515055138724191, 0.0
validating, 8, 1.0675628662109375, -2.5085304737091065, 0.0
testing, 8, 1.1678309679031371, -2.5106868743896484, 0.0
training, 9, 1.1862837621143887, -2.5160581724984303, 0.0
validating, 9, 1.069710874557495, -2.5089805126190186, 0.0
testing, 9, 1.1681071639060974, -2.514834690093994, 0.0
training, 10, 1.1833863871438162, -2.5132381302969797, 0.0
validating, 10, 1.061913537979126, -2.5029650688171388, 0.0
testing, 10, 1.1579607605934144, -2.504491686820984, 0.0
training, 11, 1.1807155166353498, -2.5125030517578124, 0.0
validating, 11, 1.0590266942977906, -2.5008121967315673, 0.0
testing, 11, 1.153100311756134, -2.5060279607772826, 0.0
training, 12, 1.178928198133196, -2.5130228315080916, 0.0
validating, 12, 1.0514278173446656, -2.49619779586792, 0.0
testing, 12, 1.1464470505714417, -2.5016271829605103, 0.0
training, 13, 1.1758795363562449, -2.5103442260197233, 0.0
validating, 13, 1.0511057376861572, -2.4958847999572753, 0.0
testing, 13, 1.1462468147277831, -2.501495027542114, 0.0
training, 14, 1.1757877383913313, -2.5103646891457694, 0.0
validating, 14, 1.0511924743652343, -2.496003341674805, 0.0
testing, 14, 1.1458991765975952, -2.501366639137268, 0.0
training, 15, 1.1755465269088745, -2.510258552006313, 0.0
validating, 15, 1.0510296821594238, -2.4958619594573976, 0.0
testing, 15, 1.1455469250679016, -2.501237630844116, 0.0
training, 16, 1.1752676895686558, -2.5131669521331785, 0.0
validating, 16, 1.0513018846511841, -2.4960766792297364, 0.0
testing, 16, 1.1449990272521973, -2.5011167526245117, 0.0
training, 17, 1.1751279830932617, -2.510134778703962, 0.0
validating, 17, 1.0512481451034545, -2.4959918022155763, 0.0
testing, 17, 1.1449036240577697, -2.501006531715393, 0.0
training, 18, 1.1750104427337646, -2.510046543393816, 0.0
validating, 18, 1.0504122495651245, -2.4954105377197267, 0.0
testing, 18, 1.1445840001106262, -2.500918745994568, 0.0
training, 19, 1.1748657328741892, -2.510000923701695, 0.0
validating, 19, 1.0520466327667237, -2.496130132675171, 0.0
testing, 19, 1.144253659248352, -2.500860333442688, 0.0
training, 20, 1.174705147743225, -2.5109164919172016, 0.0
validating, 20, 1.0515881299972534, -2.495888185501099, 0.0
testing, 20, 1.1440774083137513, -2.500796675682068, 0.0
training, 21, 1.1745338916778565, -2.5097820826939174, 0.0
validating, 21, 1.050244188308716, -2.4950981616973875, 0.0
testing, 21, 1.1437487959861756, -2.5006354093551635, 0.0
training, 22, 1.1748532431466239, -2.5124380316053117, 0.0
validating, 22, 1.050042176246643, -2.4948662757873534, 0.0
testing, 22, 1.143508780002594, -2.500543999671936, 0.0
training, 23, 1.174598285130092, -2.5098033905029298, 0.0
validating, 23, 1.0498584270477296, -2.4948757171630858, 0.0
testing, 23, 1.1432060718536377, -2.5004893064498903, 0.0
training, 24, 1.1745083127702987, -2.510569415773664, 0.0
validating, 24, 1.0498259782791137, -2.4948540210723875, 0.0
testing, 24, 1.1431538462638855, -2.500476861000061, 0.0
training, 25, 1.1744934558868407, -2.5097931657518657, 0.0
validating, 25, 1.0498133897781372, -2.494846820831299, 0.0
testing, 25, 1.1431347727775574, -2.5004714250564577, 0.0
training, 26, 1.1744853292192732, -2.5108208656311035, 0.0
validating, 26, 1.0498026609420776, -2.494838905334473, 0.0
testing, 26, 1.1431156516075134, -2.500439929962158, 0.0
training, 27, 1.1744765758514404, -2.5097860881260465, 0.0
validating, 27, 1.0497929334640503, -2.4948307037353517, 0.0
testing, 27, 1.1430955886840821, -2.500456619262695, 0.0
training, 28, 1.1744719130652292, -2.5107631274632047, 0.0
validating, 28, 1.0497707366943358, -2.494816255569458, 0.0
testing, 28, 1.1430582284927369, -2.500446581840515, 0.0
training, 29, 1.174454665184021, -2.510551643371582, 0.0
validating, 29, 1.0497572898864747, -2.4948050498962404, 0.0
testing, 29, 1.1430309414863586, -2.5004358530044555, 0.0
mode, epoch, average loss, defender utility
training, -1, 0.15724309512547086, -5.144375487736293, 0.0
validating, -1, 0.1536858558654785, -4.982162380218506, 0.0
testing, -1, 0.17440725564956666, -5.125201988220215, 0.0
training, 0, 1.0125594854354858, -5.738549872807094, 0.0
validating, 0, 1.0015369176864624, -5.655365371704102, 0.0
testing, 0, 0.8608477950096131, -5.666558742523193, 0.0
training, 1, 1.01010673727308, -5.737201118469239, 0.0
validating, 1, 0.9952197790145874, -5.650792980194092, 0.0
testing, 1, 0.8555155158042907, -5.663284587860107, 0.0
training, 2, 0.9974108048847743, -5.729906218392508, 0.0
validating, 2, 0.9734463930130005, -5.635017776489258, 0.0
testing, 2, 0.8389805674552917, -5.653169870376587, 0.0
training, 3, 0.9557852370398385, -5.704924065726144, 0.0
validating, 3, 0.902964186668396, -5.582812023162842, 0.0
testing, 3, 0.786146342754364, -5.619414949417115, 0.0
training, 4, 0.8441561937332154, -5.637901496887207, 0.0
validating, 4, 0.8190440893173218, -5.499655628204346, 0.0
testing, 4, 0.6623825192451477, -5.5341721534729, 0.0
training, 5, 0.6522200056484767, -5.515220219748361, 0.0
validating, 5, 0.5056485414505005, -5.293847465515137, 0.0
testing, 5, 0.49591749906539917, -5.428427457809448, 0.0
training, 6, 0.41803306341171265, -5.363181373051234, 0.0
validating, 6, 0.3026538372039795, -5.139099407196045, 0.0
testing, 6, 0.3407577633857727, -5.311968898773193, 0.0
training, 7, 0.251465676512037, -5.251485674721854, 0.0
validating, 7, 0.20465335845947266, -5.044091701507568, 0.0
testing, 7, 0.27437055110931396, -5.246696043014526, 0.0
training, 8, 0.2075832554272243, -5.206885283333914, 0.0
validating, 8, 0.17936525344848633, -5.022212219238281, 0.0
testing, 8, 0.2701439142227173, -5.231411409378052, 0.0
training, 9, 0.20989727122443064, -5.194948073795864, 0.0
validating, 9, 0.1727064371109009, -5.006644439697266, 0.0
testing, 9, 0.2681741237640381, -5.229373121261597, 0.0
training, 10, 0.2017462338720049, -5.1899628230503625, 0.0
validating, 10, 0.17032213211059571, -5.013128852844238, 0.0
testing, 10, 0.2692142128944397, -5.22403130531311, 0.0
training, 11, 0.2017464416367667, -5.187364782605853, 0.0
validating, 11, 0.17209906578063966, -5.014486408233642, 0.0
testing, 11, 0.26664655208587645, -5.221475124359131, 0.0
training, 12, 0.20177039759499685, -5.185927513667515, 0.0
validating, 12, 0.16925537586212158, -5.0057117462158205, 0.0
testing, 12, 0.25740947723388674, -5.218098402023315, 0.0
training, 13, 0.20316792045320783, -5.192957169669015, 0.0
validating, 13, 0.16927967071533204, -5.0066062927246096, 0.0
testing, 13, 0.25722246170043944, -5.218414783477783, 0.0
training, 14, 0.20208949702126638, -5.184681797027588, 0.0
validating, 14, 0.16763100624084473, -5.005807399749756, 0.0
testing, 14, 0.26012468338012695, -5.217986822128296, 0.0
training, 15, 0.1999080845287868, -5.189867074148996, 0.0
validating, 15, 0.1666893720626831, -5.006052875518799, 0.0
