mode, epoch, average loss, defender utility
training, -1, 0.0, -2.291223989214216, 0.0
validating, -1, 0.0, -2.2938620686531066, 0.0
testing, -1, 0.0, -2.148842602968216, 0.0
training, 0, 1.0949927244867597, -3.432907543863569, 0.0
validating, 0, 1.1329514861106873, -3.455134081840515, 0.0
testing, 0, 1.1306659311056138, -2.51830735206604, 0.0
training, 1, 1.0851908360208784, -3.4226970876966205, 0.0
validating, 1, 1.0800022721290587, -3.371429109573364, 0.0
testing, 1, 1.0790013641119003, -2.490781605243683, 0.0
training, 2, 1.0226302972861698, -3.0737009627478464, 0.0
validating, 2, 0.9484323918819427, -2.8188427448272706, 0.0
testing, 2, 0.9963333010673523, -2.5967300176620483, 0.0
training, 3, 1.0466822011130197, -2.902902899469648, 0.0
validating, 3, 0.9340928137302399, -2.82844455242157, 0.0
testing, 3, 1.0182027339935302, -2.8756557941436767, 0.0
training, 4, 1.0734871532235826, -2.9631250960486275, 0.0
validating, 4, 0.9272877275943756, -2.803884172439575, 0.0
testing, 4, 1.0379109680652618, -3.0902587890625, 0.0
training, 5, 1.1079099306038447, -2.9663911751338414, 0.0
validating, 5, 0.906657212972641, -2.7833850622177123, 0.0
testing, 5, 1.02928729057312, -3.105333721637726, 0.0
training, 6, 1.0879260863576616, -2.9432748998914446, 0.0
validating, 6, 0.8838235914707184, -2.776198148727417, 0.0
testing, 6, 1.006943279504776, -3.1775792717933653, 0.0
training, 7, 1.0608800368649618, -2.9107920135770526, 0.0
validating, 7, 0.8465928494930267, -2.759375548362732, 0.0
testing, 7, 0.9712219417095185, -3.148510825634003, 0.0
training, 8, 1.0334637241704123, -2.881653720991952, 0.0
validating, 8, 0.829879492521286, -2.721790146827698, 0.0
testing, 8, 0.9746001303195954, -3.3245712757110595, 0.0
training, 9, 1.0334895423480444, -2.864613706724984, 0.0
validating, 9, 0.7973607957363129, -2.684727931022644, 0.0
testing, 9, 0.9662271440029144, -3.3866190552711486, 0.0
training, 10, 1.0097425486360276, -2.832588999611991, 0.0
validating, 10, 0.7671730816364288, -2.6809014320373534, 0.0
testing, 10, 0.9544955968856812, -3.1896777629852293, 0.0
training, 11, 0.9747649916580745, -2.8157585654939923, 0.0
validating, 11, 0.7385592043399811, -2.7000259876251222, 0.0
testing, 11, 0.9560491412878036, -2.9996387362480164, 0.0
training, 12, 0.9631093425410134, -2.789488366671971, 0.0
validating, 12, 0.7158996641635895, -2.668236780166626, 0.0
testing, 12, 0.9631216734647751, -2.978704059123993, 0.0
training, 13, 0.9665005930832454, -2.7867176703044345, 0.0
validating, 13, 0.7135553658008575, -2.6676140308380125, 0.0
testing, 13, 0.9631587028503418, -2.976964735984802, 0.0
training, 14, 0.9629437557288578, -2.7868958064488, 0.0
validating, 14, 0.7098455369472504, -2.6674393892288206, 0.0
testing, 14, 0.9602449506521225, -2.9749457836151123, 0.0
training, 15, 0.955900809594563, -2.784806673867362, 0.0
