mode, epoch, average loss, defender utility, simulated defender utility, fast defender utility
training, -1, 0.031311877284731185, 0.0, 0.0, 0.0
validating, -1, 0.030055034160614013, 0.0, 0.0, 0.0
testing, -1, 0.03225429058074951, -1.5937010586261748, 0.0, -1.8148933112621308
training, 0, 37.59336700439453, 0.0, 0.0, 0.0
validating, 0, 31.94728813171387, 0.0, 0.0, 0.0
testing, 0, 44.219710731506346, -5.033729434013367, 0.0, -5.033802151679993
training, 1, 8.310035373483386, 0.0, 0.0, 0.0
validating, 1, 2.6856629848480225, 0.0, 0.0, 0.0
testing, 1, 3.3929038882255553, -2.6595978438854218, 0.0, -2.6345953345298767
training, 2, 3.3626669696399145, 0.0, 0.0, 0.0
validating, 2, 2.5089293241500856, 0.0, 0.0, 0.0
testing, 2, 3.2429247558116914, -2.6022023439407347, 0.0, -2.506257253885269
training, 3, 3.283403483458928, 0.0, 0.0, 0.0
validating, 3, 2.5409497022628784, 0.0, 0.0, 0.0
testing, 3, 3.3126017451286316, -2.5916234254837036, 0.0, -2.5584809303283693
training, 4, 3.315797133105142, 0.0, 0.0, 0.0
validating, 4, 2.5765995264053343, 0.0, 0.0, 0.0
testing, 4, 3.4030989468097688, -2.5869186997413633, 0.0, -2.567714923620224
training, 5, 3.264846783024924, 0.0, 0.0, 0.0
validating, 5, 2.4244272708892822, 0.0, 0.0, 0.0
testing, 5, 3.23293719291687, -2.49133443236351, 0.0, -2.46078120470047
training, 6, 3.1758567214012148, 0.0, 0.0, 0.0
validating, 6, 2.3076637744903565, 0.0, 0.0, 0.0
testing, 6, 3.193479907512665, -2.304624044895172, 0.0, -2.3229960680007933
training, 7, 3.235175495488303, 0.0, 0.0, 0.0
validating, 7, 2.704214537143707, 0.0, 0.0, 0.0
testing, 7, 3.422190713882446, -3.5074536591768264, 0.0, -2.2257892549037934
training, 8, 3.514054935319083, 0.0, 0.0, 0.0
validating, 8, 2.3646992206573487, 0.0, 0.0, 0.0
testing, 8, 3.194889485836029, -2.3707045793533323, 0.0, -2.4175234615802763
training, 9, 3.1926154358046395, 0.0, 0.0, 0.0
validating, 9, 2.4603145837783815, 0.0, 0.0, 0.0
testing, 9, 3.380983757972717, -2.3813115477561952, 0.0, -2.423338544368744
training, 10, 3.1822280594280787, 0.0, 0.0, 0.0
validating, 10, 2.4516539573669434, 0.0, 0.0, 0.0
testing, 10, 3.1999468564987184, -2.590608370304108, 0.0, -2.5375575840473177
training, 11, 3.1933718391827175, 0.0, 0.0, 0.0
validating, 11, 2.4150847434997558, 0.0, 0.0, 0.0
testing, 11, 3.2815255165100097, -2.4332212090492247, 0.0, -2.4854219377040865
training, 12, 3.1481068525995526, 0.0, 0.0, 0.0
validating, 12, 2.80833261013031, 0.0, 0.0, 0.0
testing, 12, 3.863999956846237, -2.5499219834804534, 0.0, -2.5217564761638642
training, 13, 3.178238809108734, 0.0, 0.0, 0.0
validating, 13, 2.4679934978485107, 0.0, 0.0, 0.0
testing, 13, 3.1525647222995756, -2.595579946041107, 0.0, -2.4587779104709626
training, 14, 3.2848737563405717, 0.0, 0.0, 0.0
validating, 14, 2.353814387321472, 0.0, 0.0, 0.0
testing, 14, 3.1192063331604003, -2.534895771741867, 0.0, -2.457528704404831
training, 15, 3.087982448509761, 0.0, 0.0, 0.0
validating, 15, 2.3052427530288697, 0.0, 0.0, 0.0
testing, 15, 3.0746939063072203, -2.2648792207241057, 0.0, -2.301841801404953
training, 16, 3.2251080087253023, 0.0, 0.0, 0.0
validating, 16, 2.3783934473991395, 0.0, 0.0, 0.0
testing, 16, 3.0994084060192106, -2.5375852286815643, 0.0, -2.328609937429428
training, 17, 3.0616443072046553, 0.0, 0.0, 0.0
validating, 17, 2.2666261434555053, 0.0, 0.0, 0.0
testing, 17, 3.135911190509796, -2.301764464378357, 0.0, -2.3237086594104768
training, 18, 3.0717805215290617, 0.0, 0.0, 0.0
validating, 18, 2.7604902029037475, 0.0, 0.0, 0.0
testing, 18, 3.9139910697937013, -2.526426023244858, 0.0, -2.4889658987522125
training, 19, 3.2640760694231306, 0.0, 0.0, 0.0
validating, 19, 2.2841094493865968, 0.0, 0.0, 0.0
testing, 19, 3.1131879329681396, -2.3161468684673308, 0.0, -2.3576890766620635
training, 20, 3.106634836537497, 0.0, 0.0, 0.0
validating, 20, 2.3701825380325316, 0.0, 0.0, 0.0
testing, 20, 3.264021110534668, -2.4487326979637145, 0.0, -2.4549586176872253
training, 21, 3.125705649171557, 0.0, 0.0, 0.0
validating, 21, 2.4019370794296266, 0.0, 0.0, 0.0
testing, 21, 3.3288409233093263, -2.4215416312217712, 0.0, -2.4645997405052187
training, 22, 3.04870376927512, 0.0, 0.0, 0.0
validating, 22, 2.29501953125, 0.0, 0.0, 0.0
testing, 22, 3.282995676994324, -2.3071211218833922, 0.0, -2.332061731815338
training, 23, 3.075276551927839, 0.0, 0.0, 0.0
validating, 23, 2.41958566904068, 0.0, 0.0, 0.0
testing, 23, 3.1414600193500517, -2.914559704065323, 0.0, -2.257097619771957
training, 24, 3.0324307560920714, 0.0, 0.0, 0.0
validating, 24, 2.237859010696411, 0.0, 0.0, 0.0
testing, 24, 3.199492359161377, -2.2845109045505523, 0.0, -2.301707625389099
training, 25, 3.0519953795841763, 0.0, 0.0, 0.0
validating, 25, 2.227071666717529, 0.0, 0.0, 0.0
testing, 25, 3.053516387939453, -2.3180957436561584, 0.0, -2.3629280626773834
training, 26, 3.0399634429386686, 0.0, 0.0, 0.0
validating, 26, 2.258195662498474, 0.0, 0.0, 0.0
testing, 26, 3.1567909359931945, -2.343075430393219, 0.0, -2.3862381100654604
training, 27, 3.081610012054443, 0.0, 0.0, 0.0
validating, 27, 2.2567121028900146, 0.0, 0.0, 0.0
testing, 27, 3.032421338558197, -2.4890595197677614, 0.0, -2.334310495853424
training, 28, 3.0847353458404543, 0.0, 0.0, 0.0
validating, 28, 2.1620251297950746, 0.0, 0.0, 0.0
testing, 28, 3.0184659361839294, -2.1782669901847838, 0.0, -2.205304729938507
training, 29, 3.0225955860955374, 0.0, 0.0, 0.0
validating, 29, 2.2112905621528625, 0.0, 0.0, 0.0
testing, 29, 3.0097871840000154, -2.24117129445076, 0.0, -2.2360475420951844
mode, epoch, average loss, defender utility, simulated defender utility, fast defender utility
training, -1, 0.032336537327085225, 0.0, 0.0, 0.0
validating, -1, 0.031295490264892575, 0.0, 0.0, 0.0
testing, -1, 0.03439582586288452, -1.3844346441328526, 0.0, -1.7454420877182515
training, 0, 12.253837454319001, 0.0, 0.0, 0.0
validating, 0, 18.23083891868591, 0.0, 0.0, 0.0
testing, 0, 10.361594128608704, -4.550797796249389, 0.0, -5.144311249256134
training, 1, 5.665267654827663, 0.0, 0.0, 0.0
validating, 1, 4.171187627315521, 0.0, 0.0, 0.0
testing, 1, 2.623245596885681, -3.5827380776405335, 0.0, -3.463003921508789
training, 2, 3.521725455352238, 0.0, 0.0, 0.0
validating, 2, 4.267139327526093, 0.0, 0.0, 0.0
testing, 2, 2.6063404440879823, -3.605056440830231, 0.0, -3.4788854002952574
training, 3, 3.4553932547569275, 0.0, 0.0, 0.0
validating, 3, 4.240803229808807, 0.0, 0.0, 0.0
testing, 3, 2.606811356544495, -3.600022327899933, 0.0, -3.477562391757965
training, 4, 3.4662268672670637, 0.0, 0.0, 0.0
validating, 4, 4.428073132038117, 0.0, 0.0, 0.0
testing, 4, 2.6352296352386473, -3.6140766203403474, 0.0, -3.489199662208557
training, 5, 3.445464631489345, 0.0, 0.0, 0.0
validating, 5, 4.1934498906135556, 0.0, 0.0, 0.0
testing, 5, 2.609096336364746, -3.593953537940979, 0.0, -3.477462112903595
training, 6, 3.446116440636771, 0.0, 0.0, 0.0
validating, 6, 4.186985051631927, 0.0, 0.0, 0.0
testing, 6, 2.606448245048523, -3.5903180480003356, 0.0, -3.4764769434928895
training, 7, 3.419178884369986, 0.0, 0.0, 0.0
validating, 7, 4.372413742542267, 0.0, 0.0, 0.0
testing, 7, 2.628192436695099, -3.6020763993263243, 0.0, -3.487844181060791
training, 8, 3.4370721544538227, 0.0, 0.0, 0.0
validating, 8, 4.3100461602211, 0.0, 0.0, 0.0
testing, 8, 2.6141034841537474, -3.59188089966774, 0.0, -3.4838451147079468
training, 9, 3.400951726096017, 0.0, 0.0, 0.0
validating, 9, 4.146866023540497, 0.0, 0.0, 0.0
