mode, epoch, average loss, defender utility, simulated defender utility, fast defender utility
training, -1, 0.05808177867106029, -2.226611990588052, 0.0, 0.0
validating, -1, 0.05251752734184265, -2.223844188451767, 0.0, 0.0
testing, -1, 0.06316286623477936, 0.0, 0.0, 0.0
training, 0, 10.854224065371922, -3.463568983759199, 0.0, 0.0
validating, 0, 10.96443259716034, -3.789443516731262, 0.0, 0.0
testing, 0, 12.985914778709411, 0.0, 0.0, 0.0
training, 1, 7.211234947613307, -3.1072153312819344, 0.0, 0.0
validating, 1, 5.702032053470612, -3.203097236156464, 0.0, 0.0
testing, 1, 7.68116854429245, 0.0, 0.0, 0.0
training, 2, 6.5110665116991315, -3.0796144689832414, 0.0, 0.0
validating, 2, 5.698195827007294, -3.1976536870002747, 0.0, 0.0
testing, 2, 7.674458980560303, 0.0, 0.0, 0.0
training, 3, 6.587489468710763, -3.086615468774523, 0.0, 0.0
validating, 3, 5.698433768749237, -3.2046124935150146, 0.0, 0.0
testing, 3, 7.64404866695404, 0.0, 0.0, 0.0
training, 4, 6.528535105500903, -3.0855391553470066, 0.0, 0.0
validating, 4, 5.734500277042389, -3.231379675865173, 0.0, 0.0
testing, 4, 7.636329770088196, 0.0, 0.0, 0.0
training, 5, 6.5155374765396115, -3.0773323025022234, 0.0, 0.0
validating, 5, 5.697422587871552, -3.1937097311019897, 0.0, 0.0
testing, 5, 7.669855451583862, 0.0, 0.0, 0.0
training, 6, 6.468850323132107, -3.0797562122344972, 0.0, 0.0
validating, 6, 5.670528542995453, -3.175245189666748, 0.0, 0.0
testing, 6, 7.621131229400635, 0.0, 0.0, 0.0
training, 7, 6.486437811170306, -3.078825155326298, 0.0, 0.0
validating, 7, 5.65167590379715, -3.1918253183364866, 0.0, 0.0
testing, 7, 7.495581483840942, 0.0, 0.0, 0.0
training, 8, 6.525648370810917, -3.0897224528448923, 0.0, 0.0
validating, 8, 5.688553273677826, -3.1956560611724854, 0.0, 0.0
testing, 8, 7.644457638263702, 0.0, 0.0, 0.0
training, 9, 6.458026647567749, -3.083396099294935, 0.0, 0.0
validating, 9, 5.6470102906227115, -3.1605673313140867, 0.0, 0.0
testing, 9, 7.558965337276459, 0.0, 0.0, 0.0
training, 10, 6.4526584454945155, -3.078464082309178, 0.0, 0.0
validating, 10, 5.669369256496429, -3.1744124412536623, 0.0, 0.0
testing, 10, 7.598650670051574, 0.0, 0.0, 0.0
training, 11, 6.43881595815931, -3.079939237662724, 0.0, 0.0
validating, 11, 5.616817319393158, -3.156233716011047, 0.0, 0.0
testing, 11, 7.515803253650665, 0.0, 0.0, 0.0
training, 12, 6.449497130938939, -3.0746800235339573, 0.0, 0.0
validating, 12, 5.607459008693695, -3.145092725753784, 0.0, 0.0
testing, 12, 7.50833671092987, 0.0, 0.0, 0.0
training, 13, 6.4437532697405135, -3.0865725755691527, 0.0, 0.0
validating, 13, 5.695598709583282, -3.19269654750824, 0.0, 0.0
testing, 13, 7.6441111207008365, 0.0, 0.0, 0.0
training, 14, 6.455580449104309, -3.0848685434886387, 0.0, 0.0
validating, 14, 5.693358695507049, -3.1886369705200197, 0.0, 0.0
testing, 14, 7.6401564359664915, 0.0, 0.0, 0.0
training, 15, 6.48479814529419, -3.080239140987396, 0.0, 0.0
validating, 15, 5.648126423358917, -3.16346116065979, 0.0, 0.0
testing, 15, 7.558457589149475, 0.0, 0.0, 0.0
training, 16, 6.466161530358451, -3.07213066305433, 0.0, 0.0
validating, 16, 5.64701646566391, -3.1640108704566954, 0.0, 0.0
testing, 16, 7.556024301052093, 0.0, 0.0, 0.0
training, 17, 6.450081423350743, -3.072601774760655, 0.0, 0.0
validating, 17, 5.63167804479599, -3.158350682258606, 0.0, 0.0
testing, 17, 7.531840229034424, 0.0, 0.0, 0.0
training, 18, 6.4410412890570505, -3.0712830254009793, 0.0, 0.0
validating, 18, 5.617254269123078, -3.15401109457016, 0.0, 0.0
testing, 18, 7.512574172019958, 0.0, 0.0, 0.0
training, 19, 6.4310872861317225, -3.071207790715354, 0.0, 0.0
validating, 19, 5.609395635128021, -3.1521528720855714, 0.0, 0.0
testing, 19, 7.502594757080078, 0.0, 0.0, 0.0
training, 20, 6.42125495161329, -3.071069305283683, 0.0, 0.0
validating, 20, 5.5961820721626285, -3.147699570655823, 0.0, 0.0
testing, 20, 7.488035094738007, 0.0, 0.0, 0.0
training, 21, 6.4160570587430685, -3.0708426134926934, 0.0, 0.0
validating, 21, 5.58309189081192, -3.144226050376892, 0.0, 0.0
testing, 21, 7.475076818466187, 0.0, 0.0, 0.0
training, 22, 6.41695088659014, -3.0713544283594403, 0.0, 0.0
validating, 22, 5.576410067081452, -3.141777718067169, 0.0, 0.0
testing, 22, 7.468446373939514, 0.0, 0.0, 0.0
training, 23, 6.411684594835553, -3.070500034945352, 0.0, 0.0
validating, 23, 5.572150933742523, -3.1416702270507812, 0.0, 0.0
testing, 23, 7.466750288009644, 0.0, 0.0, 0.0
training, 24, 6.405801268986293, -3.0710680774280004, 0.0, 0.0
validating, 24, 5.567178022861481, -3.139145290851593, 0.0, 0.0
testing, 24, 7.45990549325943, 0.0, 0.0, 0.0
training, 25, 6.4004432439804075, -3.072314599582127, 0.0, 0.0
validating, 25, 5.563625156879425, -3.1383792638778685, 0.0, 0.0
testing, 25, 7.458161580562591, 0.0, 0.0, 0.0
training, 26, 6.401706652981894, -3.0735748410224915, 0.0, 0.0
validating, 26, 5.569988191127777, -3.138881731033325, 0.0, 0.0
