Random seed, 1
mode, epoch, average loss, defender utility, simulated defender utility, fast defender utility
training, -1, 0.2666961533682687, -1.855636653486565, 0.0, 0.0
validating, -1, 0.28497910499572754, -1.638129037618637, 0.0, -2.0953724801540377
testing, -1, 0.2636878252029419, -1.198079811074973, 0.0, -1.5551028871580708
training, 0, 5.585724803379604, -2.5272095535482677, 0.0, 0.0
validating, 0, 6.6015636920928955, -2.6919867992401123, 0.0, -2.66474449634552
testing, 0, 6.229283571243286, -2.305848014354706, 0.0, -2.200208342075348
training, 1, 17.190116378239225, -2.4072490538869586, 0.0, 0.0
validating, 1, 32.745497131347655, -4.183917784690857, 0.0, -2.375844657421112
testing, 1, 25.015647983551027, -3.1995878398418425, 0.0, -1.9102567582610586
training, 2, 30.039022704533167, -2.3400392391620333, 0.0, 0.0
validating, 2, 40.08830108642578, -4.3319171667099, 0.0, -2.391135609149933
testing, 2, 31.679584121704103, -3.4379916906356813, 0.0, -1.97120541036129
training, 3, 33.77114440373012, -2.400918992928096, 0.0, 0.0
validating, 3, 41.98818244934082, -4.330097007751465, 0.0, -2.391147029399872
testing, 3, 32.46421451568604, -3.373329758644104, 0.0, -2.029530245065689
training, 4, 34.323349189758304, -2.43867541210992, 0.0, 0.0
validating, 4, 42.123412132263184, -4.330755758285522, 0.0, -2.3911491990089417
testing, 4, 32.51304922103882, -3.3745251655578614, 0.0, -2.0298950493335726
training, 5, 34.28110525948661, -2.433380550997598, 0.0, 0.0
validating, 5, 41.95172386169433, -4.331009888648987, 0.0, -2.3911471247673033
testing, 5, 32.42804365158081, -3.3756370186805724, 0.0, -2.02979399561882
training, 6, 34.13503706795829, -2.4208301612309047, 0.0, 0.0
validating, 6, 41.68772659301758, -4.3305669784545895, 0.0, -2.3911463618278503
testing, 6, 32.29262504577637, -3.370306134223938, 0.0, -2.029516726732254
training, 7, 33.927795791625975, -2.407826200553349, 0.0, 0.0
validating, 7, 41.418495178222656, -4.330788540840149, 0.0, -2.3911442875862123
testing, 7, 32.13982191085815, -3.363868236541748, 0.0, -2.0291114151477814
training, 8, 33.713117490495954, -2.4035088113376073, 0.0, 0.0
validating, 8, 41.09936943054199, -4.331386947631836, 0.0, -2.3911405920982363
testing, 8, 31.96017904281616, -3.3642914056777955, 0.0, -2.028535896539688
training, 9, 33.46223940168108, -2.399670035498483, 0.0, 0.0
validating, 9, 40.77987213134766, -4.331719517707825, 0.0, -2.391135203838348
testing, 9, 31.778942012786864, -3.370632994174957, 0.0, -2.027942770719528
training, 10, 33.32170306614467, -2.4094660980360847, 0.0, 0.0
validating, 10, 40.722906494140624, -4.3331140041351315, 0.0, -2.391128647327423
testing, 10, 31.641389083862304, -3.3601850628852845, 0.0, -2.063863092660904
training, 11, 33.11962190355573, -2.4131634618554796, 0.0, 0.0
validating, 11, 40.44925498962402, -4.334071779251099, 0.0, -2.3911068081855773
testing, 11, 31.383238315582275, -3.3583946585655213, 0.0, -2.063933235406876
training, 12, 32.961028126307895, -2.406304418189185, 0.0, 0.0
validating, 12, 40.28631324768067, -4.334101986885071, 0.0, -2.3911200404167174
testing, 12, 31.26692419052124, -3.359127676486969, 0.0, -2.0638650566339494
training, 13, 32.96666761125837, -2.4065516352653504, 0.0, 0.0
validating, 13, 40.357622909545896, -4.32725338935852, 0.0, -2.3911229014396667
testing, 13, 31.28347682952881, -3.360378885269165, 0.0, -2.063861367106438
training, 14, 32.921372168404716, -2.4228265779359, 0.0, 0.0
validating, 14, 40.385888671875, -4.327495503425598, 0.0, -2.3911239743232726
testing, 14, 31.266511535644533, -3.3496766209602358, 0.0, -2.0639662563800814
training, 15, 32.874448204040526, -2.4232547163963316, 0.0, 0.0
validating, 15, 40.242256546020506, -4.329089641571045, 0.0, -2.391101372241974
testing, 15, 31.14958076477051, -3.3500513076782226, 0.0, -2.063833701610565
training, 16, 32.548985780988424, -2.433956388064793, 0.0, 0.0
validating, 16, 39.78521842956543, -4.328669548034668, 0.0, -2.391076076030731
testing, 16, 30.8529541015625, -3.344010925292969, 0.0, -2.0631991058588026
training, 17, 32.172007288251606, -2.4319855885846273, 0.0, 0.0
validating, 17, 39.246398544311525, -4.327761387825012, 0.0, -2.3909075617790223
testing, 17, 30.562592697143554, -3.344538187980652, 0.0, -2.0477710515260696
training, 18, 31.559397997174944, -2.42470572079931, 0.0, 0.0
validating, 18, 38.7510046005249, -4.232234477996826, 0.0, -2.375861918926239
testing, 18, 30.228013610839845, -3.3569510221481322, 0.0, -2.032578355073929
training, 19, 30.95898425238473, -2.414971456357411, 0.0, 0.0
validating, 19, 37.81968536376953, -4.205675816535949, 0.0, -2.375811517238617
testing, 19, 29.603935527801514, -3.339276599884033, 0.0, -2.0324299335479736
training, 20, 30.2108809198652, -2.388997575214931, 0.0, 0.0
validating, 20, 37.35464458465576, -4.207193899154663, 0.0, -2.3757879376411437
testing, 20, 29.26742105484009, -3.3586897015571595, 0.0, -2.0190796464681626
training, 21, 29.759250109536307, -2.384085966859545, 0.0, 0.0
validating, 21, 37.70936546325684, -4.204954051971436, 0.0, -2.3758119225502012
testing, 21, 29.460399436950684, -3.332496404647827, 0.0, -2.0191038340330123
training, 22, 30.243128163473948, -2.368639179638454, 0.0, 0.0
validating, 22, 37.95356788635254, -4.206868743896484, 0.0, -2.375802719593048
testing, 22, 29.571889877319336, -3.401278626918793, 0.0, -2.0191383600234984
training, 23, 30.383875914982386, -2.3524890295096808, 0.0, 0.0
validating, 23, 38.211450004577635, -4.203725457191467, 0.0, -2.3758368372917174
testing, 23, 29.763778686523438, -3.4147026181221007, 0.0, -2.0191461741924286
training, 24, 30.38604917526245, -2.3537400313786097, 0.0, 0.0
validating, 24, 38.185044860839845, -4.204547023773193, 0.0, -2.37582985162735
testing, 24, 29.74699983596802, -3.4049344182014467, 0.0, -2.019146519899368
training, 25, 30.408248397282193, -2.3605567583015987, 0.0, 0.0
validating, 25, 38.28022155761719, -4.204296278953552, 0.0, -2.375815188884735
testing, 25, 29.817202949523924, -3.415044069290161, 0.0, -2.0191454857587816
training, 26, 30.4036025592259, -2.3532793956143516, 0.0, 0.0
validating, 26, 38.20206146240234, -4.204892659187317, 0.0, -2.375827729701996
testing, 26, 29.767518520355225, -3.405027377605438, 0.0, -2.019144171476364
training, 27, 30.391727461133684, -2.3544828133923668, 0.0, 0.0
validating, 27, 38.27485980987549, -4.2048423290252686, 0.0, -2.3758097529411315
testing, 27, 29.821602249145506, -3.414950156211853, 0.0, -2.019144856929779
training, 28, 30.42588254383632, -2.3682699850627356, 0.0, 0.0
validating, 28, 38.28623676300049, -4.2045011758804325, 0.0, -2.3758310675621033
testing, 28, 29.81919641494751, -3.4150082230567933, 0.0, -2.019148311018944
training, 29, 30.430058819907053, -2.3564015431063514, 0.0, 0.0
validating, 29, 38.30469932556152, -4.204383683204651, 0.0, -2.375837194919586
testing, 29, 29.829290294647215, -3.4150744557380674, 0.0, -2.0191362321376802
training, 30, 30.46558806555612, -2.375857746601105, 0.0, 0.0
validating, 30, 38.336317253112796, -4.204638862609864, 0.0, -2.3758323073387144
testing, 30, 29.85735731124878, -3.4151250243186952, 0.0, -2.0191485613584517
Random seed, 2
mode, epoch, average loss, defender utility, simulated defender utility, fast defender utility
training, -1, 0.2984541348048619, -1.859080147104604, 0.0, 0.0
validating, -1, 0.25430727005004883, -2.7223929166793823, 0.0, -3.201306140422821
testing, -1, 0.3166085362434387, -1.5066848300397395, 0.0, -2.013303430378437
training, 0, 16.523133761542184, -2.1168507501482963, 0.0, 0.0
validating, 0, 9.25367088317871, -4.31610666513443, 0.0, -3.5826223373413084
testing, 0, 17.177865087985992, -3.461109313368797, 0.0, -2.283786605298519
training, 1, 19.63528605188642, -2.1418463049190386, 0.0, 0.0
validating, 1, 9.384412097930909, -4.12169578075409, 0.0, -3.530461323261261
testing, 1, 31.733530700206757, -3.92902050614357, 0.0, -2.4098991736769677
training, 2, 22.595228460856845, -2.0439207085541318, 0.0, 0.0
validating, 2, 8.682857036590576, -4.182279658317566, 0.0, -3.5445123434066774
testing, 2, 25.714104926586153, -3.4700304478406907, 0.0, -2.240954229235649
training, 3, 23.17083694594247, -2.049695821745055, 0.0, 0.0
validating, 3, 9.466952133178712, -4.209994316101074, 0.0, -3.529776322841644
testing, 3, 27.864011466503143, -3.6862113416194915, 0.0, -2.2584209576249124
training, 4, 25.46563035420009, -2.069379725413663, 0.0, 0.0
validating, 4, 12.255884170532227, -4.461833810806274, 0.0, -3.718565487861633
testing, 4, 31.006952393054963, -4.019953334331513, 0.0, -2.4236036464571953
training, 5, 24.264736972536358, -2.037175904853003, 0.0, 0.0
validating, 5, 8.29912805557251, -4.2277637958526615, 0.0, -3.4939292669296265
testing, 5, 25.690617430210114, -3.5254432946443557, 0.0, -2.3492940202355386
training, 6, 23.899167891911098, -2.043549989589623, 0.0, 0.0
validating, 6, 11.76109209060669, -4.478712034225464, 0.0, -3.7575234889984133
testing, 6, 28.46149002313614, -3.971987733244896, 0.0, -2.3397919349372387
training, 7, 25.441724157333375, -2.0099958017468453, 0.0, 0.0
validating, 7, 9.717171669006348, -4.504217314720154, 0.0, -3.668528425693512
testing, 7, 26.499140441417694, -3.809993952512741, 0.0, -2.2420884646475314
training, 8, 24.947165972845895, -2.0273841408746582, 0.0, 0.0
validating, 8, 10.646652507781983, -4.230732822418213, 0.0, -3.5813138484954834
testing, 8, 27.248361384868623, -3.7017466336488725, 0.0, -2.325800631940365
training, 9, 23.608808176858084, -2.046251698902675, 0.0, 0.0
validating, 9, 10.520048141479492, -4.489602315425873, 0.0, -3.6364325046539308
testing, 9, 27.00812782049179, -4.004033732414245, 0.0, -2.34780702739954
training, 10, 23.558287681852068, -1.9929209336638452, 0.0, 0.0
validating, 10, 9.925671577453613, -4.5719400405883786, 0.0, -3.6544816136360168
testing, 10, 27.46323331594467, -3.8220262199640276, 0.0, -2.2671894639730454
training, 11, 22.720191737583704, -1.9858041786721774, 0.0, 0.0
validating, 11, 10.666016387939454, -4.390537452697754, 0.0, -3.6025524854660036
testing, 11, 22.519383466243745, -3.651194280385971, 0.0, -2.2926584109663963
training, 12, 27.21285162653242, -2.074166057578155, 0.0, 0.0
validating, 12, 16.71618413925171, -5.057108759880066, 0.0, -3.7519712328910826
testing, 12, 33.18051944971084, -4.3570899695158, 0.0, -2.4805093787610533
training, 13, 25.00787843976702, -2.028717187685626, 0.0, 0.0
validating, 13, 10.418135833740234, -4.547487211227417, 0.0, -3.6293672561645507
testing, 13, 26.557260501384736, -3.931087762117386, 0.0, -2.303790721297264
training, 14, 26.396713917596, -2.068296825885773, 0.0, 0.0
validating, 14, 9.972116279602051, -4.639268898963929, 0.0, -3.6937089920043946
testing, 14, 28.998134887218477, -3.8349281936883926, 0.0, -2.4808669336140157
training, 15, 23.155146537508283, -2.012126670564924, 0.0, 0.0
validating, 15, 10.35287971496582, -4.763414764404297, 0.0, -3.61169890165329
testing, 15, 24.679078853130342, -3.8900197952985764, 0.0, -2.559343250095844
training, 16, 23.852014929907664, -1.9990319669246674, 0.0, 0.0
validating, 16, 14.28606595993042, -5.124712347984314, 0.0, -3.8266260862350463
testing, 16, 28.732815182209016, -4.164337402582168, 0.0, -2.6785391554236413
training, 17, 23.43585467338562, -1.9846570798328944, 0.0, 0.0
validating, 17, 11.773172855377197, -4.807651519775391, 0.0, -3.6773487329483032
testing, 17, 25.287349331378937, -3.7917936593294144, 0.0, -2.428235360980034
training, 18, 22.68931386130197, -1.973533690401486, 0.0, 0.0
validating, 18, 9.512764263153077, -4.385914778709411, 0.0, -3.5787592053413393
testing, 18, 27.81400512456894, -4.01298850774765, 0.0, -2.4961918011307715
training, 19, 25.231252922330583, -1.9749141350388526, 0.0, 0.0
validating, 19, 9.793113327026367, -4.604510879516601, 0.0, -3.5801301121711733
testing, 19, 25.58794242143631, -4.0923606008291245, 0.0, -2.4920767828822137
training, 20, 23.99723803656442, -2.0037864240152494, 0.0, 0.0
validating, 20, 9.282913398742675, -4.592702317237854, 0.0, -3.635643720626831
testing, 20, 23.89408518075943, -3.801115557551384, 0.0, -2.30037045776844
training, 21, 23.02096391405378, -1.9758426561951636, 0.0, 0.0
validating, 21, 12.026773452758789, -4.737747597694397, 0.0, -3.6999566316604615
testing, 21, 27.21578882932663, -3.9202621042728425, 0.0, -2.41596951931715
training, 22, 24.56007899556841, -1.993725957615035, 0.0, 0.0
validating, 22, 9.993248176574706, -4.610872459411621, 0.0, -3.5789729595184325
testing, 22, 23.578524506092073, -3.7978469491004945, 0.0, -2.3512200996279717
training, 23, 24.15457590648106, -1.9769678241440227, 0.0, 0.0
validating, 23, 16.021588611602784, -5.165747261047363, 0.0, -3.920227026939392
testing, 23, 28.545831739902496, -4.316254967451096, 0.0, -2.7043088927865027
training, 24, 23.240201425552367, -1.9911356845072337, 0.0, 0.0
validating, 24, 10.723917770385743, -4.630593013763428, 0.0, -3.6854944109916685
testing, 24, 24.376019537448883, -4.0327758401632305, 0.0, -2.387899026274681
training, 25, 25.248958165305, -2.0220731884241103, 0.0, 0.0
validating, 25, 12.854039764404297, -4.8385758876800535, 0.0, -3.7110559940338135
testing, 25, 30.314651954174042, -4.141359403729439, 0.0, -2.415133808553219
training, 26, 24.245585557392666, -1.9912857000316893, 0.0, 0.0
validating, 26, 11.253359603881837, -4.53233540058136, 0.0, -3.625409412384033
testing, 26, 24.40561314821243, -3.9982239991426467, 0.0, -2.404726381599903
training, 27, 26.224534681865148, -2.0406342693737574, 0.0, 0.0
validating, 27, 14.83706579208374, -5.169261837005616, 0.0, -3.6659162759780886
