Random seed, 4
mode, epoch, average loss, defender utility, simulated defender utility, fast defender utility
training, -1, 0.15957040446145193, 0.0, 0.0, -2.1220571994781494
validating, -1, 0.1462061285972595, -2.6153753101825714, 0.0, -2.8056605458259583
testing, -1, 0.1580201804637909, -2.125620071589947, 0.0, -2.454997757077217
Random seed, 4
mode, epoch, average loss, defender utility, simulated defender utility, fast defender utility
training, -1, 0.15957040446145193, 0.0, 0.0, -2.1220571994781494
validating, -1, 0.1462061285972595, -2.6153753101825714, 0.0, -2.8056605458259583
testing, -1, 0.1580201804637909, -2.125620071589947, 0.0, -2.454997757077217
training, 0, 4.24261451448713, 0.0, 0.0, -3.2689013481140137
validating, 0, 3.4746750473976133, -4.651416850090027, 0.0, -4.0321814775466915
testing, 0, 4.389190262556076, -4.050814008712768, 0.0, -3.496747523546219
training, 1, 4.142903283664158, 0.0, 0.0, -3.280082941055298
validating, 1, 3.112611174583435, -4.133781349658966, 0.0, -3.484694480895996
testing, 1, 4.502531284093857, -4.108471632003784, 0.0, -3.5034475326538086
training, 2, 3.8627828649112157, 0.0, 0.0, -3.1198952198028564
validating, 2, 2.811935770511627, -3.8059196949005125, 0.0, -3.4201993703842164
testing, 2, 3.8178646206855773, -3.5865622043609617, 0.0, -3.149230933189392
training, 3, 3.6856077534811837, 0.0, 0.0, -2.9525206089019775
validating, 3, 2.6954269289970396, -3.7027732968330382, 0.0, -3.4744221687316896
testing, 3, 3.895452857017517, -3.656365472078323, 0.0, -3.1513110876083372
training, 4, 3.6103176747049606, 0.0, 0.0, -3.0106945037841797
validating, 4, 2.788827288150787, -3.729333829879761, 0.0, -3.4091101765632628
testing, 4, 3.778671658039093, -3.6663493514060974, 0.0, -3.1579959750175477
training, 5, 3.7371527143887113, 0.0, 0.0, -2.9576892852783203
validating, 5, 3.0273385047912598, -4.1797840118408205, 0.0, -3.4272086143493654
testing, 5, 4.280259317159652, -4.064911782741547, 0.0, -3.475247913599014
training, 6, 3.897249732698713, 0.0, 0.0, -3.128835439682007
validating, 6, 2.678587460517883, -3.743365967273712, 0.0, -3.4841610908508303
testing, 6, 3.881157177686691, -3.6527480840682984, 0.0, -3.1589354038238526
training, 7, 3.5798796926225935, 0.0, 0.0, -2.9028725624084473
validating, 7, 2.6452163815498353, -3.6829874992370604, 0.0, -3.454923987388611
testing, 7, 3.817318671941757, -3.5979810059070587, 0.0, -3.1461815178394317
training, 8, 3.9712523783956257, 0.0, 0.0, -3.1453239917755127
validating, 8, 2.6771199703216553, -3.590769910812378, 0.0, -3.3787490487098695
testing, 8, 3.586739331483841, -3.5329259514808653, 0.0, -3.1381810665130616
training, 9, 3.90030540568488, 0.0, 0.0, -3.0604169368743896
validating, 9, 2.7743773102760314, -3.714118313789368, 0.0, -3.383421230316162
testing, 9, 3.7433709859848023, -3.586233747005463, 0.0, -3.232783758640289
training, 10, 3.8603737660816737, 0.0, 0.0, -3.1133131980895996
validating, 10, 2.933560085296631, -3.958123779296875, 0.0, -3.7190834999084474
testing, 10, 4.055186527967453, -3.70694762468338, 0.0, -3.2745082139968873
training, 11, 3.729554786000933, 0.0, 0.0, -2.9228131771087646
Random seed, 4
Random seed, 4
mode, epoch, average loss, defender utility, simulated defender utility, fast defender utility
training, -1, 0.15957040446145193, 0.0, 0.0, -2.1220571994781494
validating, -1, 0.1462061285972595, -2.6153753101825714, 0.0, -2.8056605458259583
testing, -1, 0.1580201804637909, -2.125620071589947, 0.0, -2.454997757077217
training, 0, 4.24261451448713, 0.0, 0.0, -3.2689013481140137
validating, 0, 3.4746750473976133, -4.651416850090027, 0.0, -4.0321814775466915
testing, 0, 4.389190262556076, -4.050814008712768, 0.0, -3.496747523546219
training, 1, 4.174781290122441, 0.0, 0.0, -3.195162296295166
validating, 1, 3.399421918392181, -4.617051768302917, 0.0, -4.021097636222839
testing, 1, 4.314174872636795, -4.022350519895554, 0.0, -3.4714908480644224
training, 2, 4.117820525169373, 0.0, 0.0, -3.2122464179992676
validating, 2, 2.7375876665115357, -3.7266473293304445, 0.0, -3.509049344062805
testing, 2, 3.9501666724681854, -3.6559395253658296, 0.0, -3.1686733186244966
