Random seed, 7
mode, epoch, average loss, defender utility, simulated defender utility, fast defender utility
training, -1, 0.14949767930167063, 0.0, 0.0, -0.9783851504325867
validating, -1, 0.16572299003601074, -1.2224235773086547, 0.0, -1.2399353742599488
testing, -1, 0.1671422004699707, -1.3083153307437896, 0.0, -1.2526326954364777
training, 0, 1.4639261313847134, 0.0, 0.0, -2.0319862365722656
validating, 0, 1.8251712799072266, -2.0017473220825197, 0.0, -2.0306785345077514
testing, 0, 1.4117289066314698, -2.094959783554077, 0.0, -2.0937321186065674
training, 1, 1.6343849658966065, -1.9291313341685703, 0.0, -1.5741864442825317
validating, 1, 2.2502445220947265, -1.6872520685195922, 0.0, -1.3833690881729126
testing, 1, 1.9149482727050782, -1.8438198208808898, 0.0, -1.4340202927589416
training, 2, 2.2627474171774726, -1.782131770678929, 0.0, -1.338597059249878
validating, 2, 2.7325392723083497, -1.6669636726379395, 0.0, -1.406124186515808
testing, 2, 2.4357099533081055, -1.8361306548118592, 0.0, -1.4662151217460633
training, 3, 2.320370898927961, -1.7414920704705374, 0.0, -1.3349114656448364
validating, 3, 2.2866065979003904, -1.5934577703475952, 0.0, -1.3780360698699952
testing, 3, 1.9848689556121826, -1.7283078670501708, 0.0, -1.4095868468284607
training, 4, 1.9420293467385428, -1.6164120265415736, 0.0, -1.2615147829055786
validating, 4, 2.117879104614258, -1.5455828428268432, 0.0, -1.3701199531555175
testing, 4, 1.8405128002166748, -1.656622302532196, 0.0, -1.386220681667328
training, 5, 1.7720087391989572, -1.5157280104500908, 0.0, -1.2246229648590088
validating, 5, 1.8676145553588868, -1.4946093797683715, 0.0, -1.3747663497924805
testing, 5, 1.599441909790039, -1.568056547641754, 0.0, -1.3610788464546204
training, 6, 1.3327977521078926, -1.338670529638018, 0.0, -1.190943717956543
validating, 6, 1.409907054901123, -1.3815983533859253, 0.0, -1.380637288093567
testing, 6, 1.0014315128326416, -1.365509068965912, 0.0, -1.3525370478630065
training, 7, 0.9476697240556989, -1.2621994733810424, 0.0, -1.1720279455184937
validating, 7, 1.3762581825256348, -1.3878866672515868, 0.0, -1.3923413038253785
testing, 7, 0.9974909067153931, -1.4374416589736938, 0.0, -1.3345928907394409
training, 8, 1.0365786348070418, -1.1881655148097447, 0.0, -1.128341555595398
validating, 8, 1.3511543273925781, -1.5809998035430908, 0.0, -1.4258327722549438
