Random seed, 3
mode, epoch, average loss, defender utility, simulated defender utility, fast defender utility
training, -1, 1.8548185212271555, 0.0, 0.0, -3.235058069229126
validating, -1, 2.0122995376586914, -3.219766616821289, 0.0, -3.3317191362380982
testing, -1, 1.8792370796203612, -3.0050356507301332, 0.0, -3.0588793456554413
training, 0, 24.197295216151645, 0.0, 0.0, -3.5638034343719482
validating, 0, 30.142557525634764, -4.049073243141175, 0.0, -4.049051189422608
testing, 0, 24.3771053314209, -3.4587452352046966, 0.0, -3.4587337195873262
training, 1, 16.363549831935337, -3.563804905755179, 0.0, -3.5638034343719482
validating, 1, 16.66365451812744, -4.049051189422608, 0.0, -4.049051189422608
testing, 1, 13.774234056472778, -3.4587337195873262, 0.0, -3.4587337195873262
training, 2, 14.319874954223632, -3.563803860119411, 0.0, -3.5638034343719482
validating, 2, 19.353397178649903, -4.049051189422608, 0.0, -4.049051189422608
testing, 2, 15.754691028594971, -3.4587337195873262, 0.0, -3.4587337195873262
training, 3, 16.47410342352731, -3.563803926536015, 0.0, -3.5638034343719482
validating, 3, 24.568538093566893, -4.049051189422608, 0.0, -4.049051189422608
testing, 3, 19.668795251846312, -3.4587337195873262, 0.0, -3.4587337195873262
training, 4, 20.978424031393867, -3.5638039776257107, 0.0, -3.5638034343719482
validating, 4, 28.491354370117186, -4.049051189422608, 0.0, -4.049051189422608
testing, 4, 22.68535304069519, -3.458733743429184, 0.0, -3.4587337195873262
training, 5, 22.244033404758998, -3.563804517473493, 0.0, -3.5638034343719482
validating, 5, 27.906007385253908, -4.049051237106323, 0.0, -4.049051189422608
testing, 5, 22.293816804885864, -3.4587337195873262, 0.0, -3.4587337195873262
training, 6, 21.121474061693466, -3.5638048308236256, 0.0, -3.5638034343719482
validating, 6, 25.436296272277833, -4.049051189422608, 0.0, -4.049051189422608
testing, 6, 20.46164984703064, -3.4587337195873262, 0.0, -3.4587337195873262
training, 7, 19.492593506404333, -3.563804074696132, 0.0, -3.5638036727905273
validating, 7, 23.85194034576416, -4.049051189422608, 0.0, -4.049051189422608
testing, 7, 19.27030415534973, -3.4587337195873262, 0.0, -3.4587337195873262
training, 8, 18.56629932948521, -3.5638043199266707, 0.0, -3.5638034343719482
validating, 8, 22.679209327697755, -4.049051189422608, 0.0, -4.049051189422608
testing, 8, 18.356816291809082, -3.4587337195873262, 0.0, -3.4587337195873262
training, 9, 17.7056106703622, -3.563804318223681, 0.0, -3.5638034343719482
validating, 9, 21.92339916229248, -4.049051189422608, 0.0, -4.049051189422608
testing, 9, 17.711173248291015, -3.4587337195873262, 0.0, -3.4587337195873262
training, 10, 17.44553643635341, -3.5638041394097466, 0.0, -3.5638034343719482
validating, 10, 21.888859748840332, -4.049051189422608, 0.0, -4.049051189422608
testing, 10, 17.674869346618653, -3.4587337195873262, 0.0, -3.4587337195873262
training, 11, 17.525225462232317, -3.563803928239005, 0.0, -3.5638039112091064
validating, 11, 22.175220680236816, -4.049051189422608, 0.0, -4.049051189422608
testing, 11, 17.88026065826416, -3.4587337195873262, 0.0, -3.4587337195873262
training, 12, 17.966297149658203, -3.563803790296827, 0.0, -3.5638034343719482
validating, 12, 23.118429756164552, -4.049051189422608, 0.0, -4.049051189422608
testing, 12, 18.57436075210571, -3.4587337195873262, 0.0, -3.4587337195873262
training, 13, 18.305008779253278, -3.563803860119411, 0.0, -3.5638039112091064
validating, 13, 23.117016410827638, -4.049051189422608, 0.0, -4.049051189422608
testing, 13, 18.57198820114136, -3.458733743429184, 0.0, -3.4587337195873262
training, 14, 18.351990481785364, -3.563803860119411, 0.0, -3.5638034343719482
validating, 14, 23.242187309265137, -4.049051189422608, 0.0, -4.049051189422608
testing, 14, 18.664495849609374, -3.4587337195873262, 0.0, -3.4587337195873262
training, 15, 18.411995560782298, -3.5638038975851876, 0.0, -3.5638034343719482
validating, 15, 23.278267860412598, -4.049051189422608, 0.0, -4.049051189422608
testing, 15, 18.69029541015625, -3.4587337195873262, 0.0, -3.4587337195873262
training, 16, 18.45204767499651, -3.5638037988117763, 0.0, -3.5638034343719482
validating, 16, 23.362292671203612, -4.049051189422608, 0.0, -4.049051189422608
testing, 16, 18.75224256515503, -3.4587337195873262, 0.0, -3.4587337195873262
training, 17, 18.521059254237585, -3.5638038771493092, 0.0, -3.5638034343719482
validating, 17, 23.462636375427245, -4.049051189422608, 0.0, -4.049051189422608
testing, 17, 18.826282596588136, -3.4587337195873262, 0.0, -3.4587337195873262
training, 18, 18.592377867017472, -3.563803846495492, 0.0, -3.5638034343719482
validating, 18, 23.55958957672119, -4.049051189422608, 0.0, -4.049051189422608
testing, 18, 18.89798288345337, -3.4587337195873262, 0.0, -3.4587337195873262
training, 19, 18.64374794278826, -3.563803826059614, 0.0, -3.5638034343719482
validating, 19, 23.609854316711427, -4.049051189422608, 0.0, -4.049051189422608
testing, 19, 18.93449640274048, -3.4587337195873262, 0.0, -3.4587337195873262
training, 20, 18.666803809574674, -3.563803790296827, 0.0, -3.5638034343719482
